uuid,female,male,other,skip,total
061ae887-8e7f-45be-9ef2-84a18fd4dd45,0,25,1,0,26
4703e873-67fd-4322-9659-39f6d47b8eab,0,25,1,0,26
48723cfe-9970-4ce7-92da-ff6b91dfa2b5,0,25,1,0,26
66d1f769-3e52-40cb-9ddb-1e5ffbec8456,0,25,1,0,26
6baacce2-655a-493f-883a-29feea8a799d,0,25,1,0,26
70b26d38-ae65-4e90-9a99-15b948b9784b,19,0,1,6,26
77f036f7-c8ca-4388-be74-74aea27b7652,0,25,1,0,26
a11887ce-2c42-4555-bfd9-0843f3a9ced0,0,25,1,0,26
a3833a8a-61b0-415a-a459-b6726d916f7b,0,25,1,0,26
b9a6c59e-a3cf-406e-88b8-9bba70ffbb30,0,22,1,3,26
