uuid,female,male,other,skip,total
1bb17e37-fe6b-4aeb-bee6-3eaa5fc87efb,1,0,0,5,6
2c1b00d2-9c0e-4c3c-8466-d0d9d61893d2,1,0,0,6,7
41c07ba6-4740-4e96-95a9-ce9d1c837055,0,1,0,3,4
51f6cc40-2d33-4136-b931-40dd1a21c6c2,0,1,0,4,5
62eff89f-5a19-4194-b26b-321aa5e30a7b,1,2,0,4,7
75ab2e43-b23a-4883-9e87-b31989eb1a9b,0,2,0,4,6
79727204-8b03-4827-8146-a5be5098a6c7,0,1,0,4,5
7e92d0d9-0b8b-4dac-9ab5-72e5d34f23ae,0,1,0,4,5
928b9c7a-52cb-42b3-b6fb-4d006f78382d,0,1,0,2,3
951f4389-bf21-4dbf-9d64-4d77343c6b45,1,0,0,3,4
991b5a8e-3d15-4ecc-84c4-afbed8cbfc44,0,1,0,4,5
a5c945b3-4553-467a-900f-8eeb2b1599d5,1,0,0,4,5
cd49d53c-d517-4673-b2ff-e15da6188c22,1,1,0,6,8
d3aa8c10-4cc9-4408-8a4d-80d03d925c76,0,2,0,5,7
d7da1ac9-73dc-4e2a-9e28-f272fd08e911,0,3,0,3,6
e4ab7245-8830-43dd-ac4b-b37754ee65d8,1,0,0,4,5
