id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
aabraham,Alejandro Abraham,"Abraham, Alejandro",Mendoza,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aabraham/,"","","",135
aargumedo,Alcira Susana Argumedo,"Argumedo, Alcira Susana",Ciudad De Buenos Aires,2013-12-10,2017-12-09,PROYECTO SUR - UNEN,http://www.hcdn.gob.ar/diputados/aargumedo/,"","","",135
abesada,Alicia Irma Besada,"Besada, Alicia Irma",Ciudad De Buenos Aires,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/abesada/,"","","",135
acalleri,Agustin Santiago Calleri,"Calleri, Agustin Santiago",Cordoba,2013-12-10,2017-12-09,UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/acalleri/,"","","",135
acarol,Analuz Ailen Carol,"Carol, Analuz Ailen",Tierra Del Fuego,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/acarol/,"","","",135
aciampini,Jose Alberto Ciampini,"Ciampini, Jose Alberto",Neuquen,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aciampini/,"","","",135
aciciliani,Alicia Mabel Ciciliani,"Ciciliani, Alicia Mabel",Santa Fe,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/aciciliani/,"","","",135
acopes,Ana Isabel Copes,"Copes, Ana Isabel",Santa Fe,2013-12-10,2017-12-09,DEMOCRATA PROGRESISTA,http://www.hcdn.gob.ar/diputados/acopes/,"","","",135
aechegaray,Alejandro Carlos Augusto Echegaray,"Echegaray, Alejandro Carlos Augusto",Buenos Aires,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/aechegaray/,"","","",135
aferreyra,Araceli Ferreyra,"Ferreyra, Araceli",Corrientes,2015-12-10,2019-12-09,PERONISMO PARA LA VICTORIA,http://www.hcdn.gob.ar/diputados/aferreyra/,"","","",135
agaillard,Ana Carolina Gaillard,"Gaillard, Ana Carolina",Entre Rios,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agaillard/,"","","",135
agonzalez,Alvaro Gustavo Gonzalez,"Gonzalez, Alvaro Gustavo",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/agonzalez/,"","","",135
