id,name__en,name__es,name__nl,name__fr,name__de,name__nb,name__da,name__nn,name__sv,name__ru,name__zh,name__hu,name,wikipedia__en,wikipedia__zh,gender,birth_date,given_name,original_wikiname,name__pl,wikipedia__pl,image,family_name,name__cs,wikipedia__commons,wikipedia__cswikiquote,wikipedia__enwikiquote,wikipedia__enwikisource,identifier__VIAF,identifier__NLAtrove,wikipedia__de,name__it,website,twitter,wikipedia__fr,name__zh_hant,name__zh_cn,wikipedia__ru,identifier__IMDB,name__el,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NLA,identifier__FAST,wikipedia__nl,identifier__freebase,name__vep,wikipedia__vep,name__vi,wikipedia__vi,wikipedia__it,wikipedia__sv,identifier__IIAF,name__ar,wikipedia__ar,wikipedia__simple,name__fa,wikipedia__fa,name__pt,wikipedia__pt,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__ko,name__id,wikipedia__id,wikipedia__ko,name__fi,wikipedia__fi,facebook,death_date,name__la,name__ja,name__ca,name__oc,name__en_gb,name__mg,wikipedia__ja,wikipedia__la,wikipedia__mg,wikipedia__plwikiquote,identifier__MusicBrainz,wikipedia__cs,wikipedia__es,name__cy,identifier__BNF,name__th,wikipedia__th,identifier__GND,name__en_ca,name__nds,name__vmf,identifier__NTA,identifier__Munzinger,identifier__CSPAN,identifier__ULAN,name__uk,wikipedia__uk,name__he,wikipedia__he,wikipedia__sh,name__sh,identifier__youtube,wikipedia__tr,identifier__NNDB,name__tr,occupation,identifier__wikitree,identifier__google_knowledge,identifier__Britannica,identifier__snac,identifier__quora,wikipedia__fawikiquote,identifier__AuDB,identifier__Gutenberg,identifier__NPG,name__wuu,wikipedia__wuu,name__lmo,name__sk,wikipedia__skwikiquote,name__si,wikipedia__si,name__pa,wikipedia__pa,name__bg,wikipedia__bgwikiquote,identifier__Oxforddnb,identifier__OLID,wikipedia__hu,name__sl,wikipedia__sl,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,name__bs,wikipedia__bs,wikipedia__hr,name__hi,name__be,name__yo,name__mr,name__ne,wikipedia__be,wikipedia__da,wikipedia__ga,wikipedia__hi,wikipedia__mr,wikipedia__ne,wikipedia__no,wikipedia__sk,wikipedia__yo,noble_title,identifier__hansard,identifier__CONOR,name__mi,wikipedia__ms,identifier__BIBSYS,name__bn,identifier__NUKAT,identifier__SELIBR,identifier__NLP,name__sq,wikipedia__cy,identifier__national_archives,identifier__GTAA,honorific_prefix,name__is,name__yue,wikipedia__zh_yue,name__fo,name__kl,wikipedia__gl,identifier__rush,identifier__NKC,wikipedia__enwikinews,wikipedia__et,name__dsb,name__hsb,name__jv,name__pdc,name__stq,name__tl,name__war,name__ur,wikipedia__ur,name__mt,name__ty
Q1070523,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,,,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,,female,1948-12-05,Cheryl,Cheryl Kernot,,,,Kernot,,,,,,73485014,,Cheryl Kernot,,,,,,,,,,0000 0000 6405 7226,,,,,,/m/034tlr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,שריל  קרנוט,,,,,,,,politician,,,biography/Cheryl-Kernot,,,,,,,,,,,,,,,,,,,,,Cheryl Kernot,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheryl Kernot,,,,,,,,,,,,,,,,,,,,,,,,,
Q11727915,John Keating,John Keating,John Keating,John Keating,John Keating,,,,,,,,John Keating,John Keating (Australian politician),,male,1872-06-28,John,,John Keating,John Keating,https://upload.wikimedia.org/wikipedia/commons/1/1d/John_Henry_Keating.jpg,Keating,,Category:John Keating (Australian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940-10-31,,,John Keating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,keating-john-henry-6904,,,,,,,,,,,,,,,,,John Keating,,,,John Keating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Keating,,,,,,,,,,,,,,,,,,,,,,,,,
Q118051,Anderson Dawson,Anderson Dawson,Anderson Dawson,Anderson Dawson,Anderson Dawson,,,,,,,Anderson Dawson,Anderson Dawson,Anderson Dawson,,male,1863-07-16,Anderson,,Anderson Dawson,Anderson Dawson,https://upload.wikimedia.org/wikipedia/commons/0/0d/Anderson_Dawson_-_Swiss_Studios_(cropped).jpg,Dawson,,Category:Anderson Dawson,,,,,,,,,,Anderson Dawson,,,,,,,,,,,,/m/042_rm,,,,,,,,أندرسون داوسون,أندرسون دوسن,,,,,,,,,,,,,,,,,1910-07-20,,,Anderson Dawson,Anderson Dawson,,,,,,,,,Anderson Dawson,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,dawson-andrew-5921,,,,,,,,,,,,,,,,,Anderson Dawson,,,,Anderson Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anderson Dawson,,,,,,,,,,,,,,,,,,,,,,,,,
Q14201517,Nick McKim,Nick McKim,Nick McKim,Nick McKim,Nick McKim,,,,,,尼克·麥金姆,Nick McKim,Nick McKim,Nick McKim,尼克·麥金姆,male,1965-06-11,Nick,Nick McKim,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Nick_McKim_June_2010.jpg,McKim,,Category:Nick McKim,,,,,,,,,NickMcKim,,,,,,,,,,,,,/m/07khdn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick McKim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Nick McKim,,,,Nick McKim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick McKim,,,,,,,,,,,,,,,,,,,,,,,,,
Q1494887,Gary Humphries,Gary Humphries,Gary Humphries,Gary Humphries,Gary Humphries,,,,,,,Gary Humphries,Gary Humphries,Gary Humphries,,male,1958-07-06,Gary,Gary Humphries,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Gary_Humphries_2010.jpg,Humphries,,Category:Gary Humphries,,,,,,Gary Humphries,,,,,,,,,,,,,,,,/m/02q4hw,,,,,,,,غاري همفريز,غاري همفريز,,,,,,,,,,,,,,,,,,,ゲイリー・ハンフリーズ,Gary Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Gary Humphries,,,,Gary Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Humphries,,,,,,,,,,,,,,,,,,,,,,,,,
Q15452355,Jim Keeffe,Jim Keeffe,Jim Keeffe,Jim Keeffe,Jim Keeffe,,,,,,,,Jim Keeffe,Jim Keeffe,,male,1919-08-20,Jim,,,,,Keeffe,,,,,,94401822,,,,,,,,,,,,0000 0000 6573 9413,n89658482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-05-15,,,Jim Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,w6w395cb,,,keeffe-james-bernard-jim-12718,,,,,,,,,,,,,,,,,Jim Keeffe,,,,Jim Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,
Q15452356,Thomas Givens,Thomas Givens,Thomas Givens,Thomas Givens,Thomas Givens,,,,,,,Thomas Givens,Thomas Givens,Thomas Givens,,male,1864-02-26,Thomas,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Thomas_Givens.jpg,Givens,,Category:Thomas Givens,,,,92203953,,,Thomas Givens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928-06-19,,,Thomas Givens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,givens-thomas-6395,,,,,,,,,,,,,,,,,Thomas Givens,,,,Thomas Givens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Givens,,,,,,,,,,,,,,,,,,,,,,,,,
Q15462333,Fred Chaney,Fred Chaney,Fred Chaney,Fred Chaney,Fred Chaney,,,,,,,,Fred Chaney,Fred Chaney,,male,1941-10-28,Fred,Fred Chaney,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Recognise_Campaign_Fred_Chaney_Presser.jpg,Chaney,,Category:Fred Chaney,,,,94479641,,,,,,,,,,,,0000 0000 6452 5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Chaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,w6rk2dr3,,,,,,,,,,,,,,,,,,,,Fred Chaney,,,,Fred Chaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Chaney,,,,,,,,,,,,,,,,,,,,,,,,,
Q15500828,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,,,Karin Sowada,Karin Sowada,Karin Sowada,,female,1961-11-01,Karin,Karin Sowada,Karin Sowada,,,Sowada,Karin Sowada,,,,,95603444,,,Karin Sowada,,,,,,,,,0000 0001 1690 3050,nb99154668,,,,,,,,Karin Sowada,,,,,,,,,,Karin Sowada,Karin Sowada,,,,,,Karin Sowada,,,Karin Sowada,,,,,,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,,,,,,,,Karin Sowada,,,,139003436,Karin Sowada,Karin Sowada,Karin Sowada,,,,,,,,,,,,,,Karin Sowada,politician,,,,,,,,,,,,,Karin Sowada,,,,,,,,,,,Karin Sowada,,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,Karin Sowada,,,,,,,,,,,,,,,,,,,,,,,6037425,,n2009137700,,A32781209,Karin Sowada,,,,,,,,,,,,,,,,,,,,,,,,,
Q15506241,Mal Colston,Mal Colston,Mal Colston,Mal Colston,Mal Colston,,,,,,,,Mal Colston,Mal Colston,,male,1938-04-05,,Mal Colston,,,,,,,,,,93492075,,,Mal Colston,,,,馬兒·克爾斯頓,马儿·克尔斯顿,,,,0000 0000 6559 1578,,,,,,,,,,,,,,,,,,,,,马儿·克尔斯顿,,,,,,,,,,,2003-08-23,,,Mal Colston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Mal Colston,,,,Mal Colston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mal Colston,,,,,,,,,,,,,,,,,,,,,,,,,
