id,name,position_id,position,label,start_date,end_date,ordinal
Q1392112,Mizanur Rahman Chowdhury,Q1392112-1FDAC70B-3AF0-44EF-AE09-F90CE68DCEBC,Q14565638,Prime Minister of Bangladesh,1986-07-09,1988-03-27,0
Q20823951,M.K. Anwar,Q20823951-34FF24B8-14CA-44E3-AA08-D7630E0D7566,Q10540834,agriculture minister,,,0
Q234814,Khaleda Zia,Q234814-b3c8239a-4b37-6d01-ab19-9c064c0daccf,Q14565638,Prime Minister of Bangladesh,1991-03-20,1996-03-30,0
Q234814,Khaleda Zia,Q234814-515EFEF7-A102-405C-B34E-AF08EF6BC33A,Q14565638,Prime Minister of Bangladesh,2001-10-10,2006-10-29,9
Q3250277,Maudud Ahmed,Q3250277-addd3ce2-4e32-535a-aaa5-16597ea3db31,Q14565638,Prime Minister of Bangladesh,1988-03-27,1989-08-12,0
Q52183,Sheikh Hasina,Q52183-3878734a-40e1-53e2-2133-5ba20d3743ca,Q14565638,Prime Minister of Bangladesh,1996-06-23,2001-07-15,0
Q52183,Sheikh Hasina,Q52183-df101ad0-4630-ee43-ece5-e6a38198927f,Q14565638,Prime Minister of Bangladesh,2009-01-06,,0
Q52619118,Shamsul Islam,Q52619118-7ce9c6f8-499b-e3e4-b32f-ec2f28440c5a,Q13424386,information minister,,,0
Q7319851,Rezaul Karim Hira,Q7319851-b277bbe9-4560-5156-b9d4-f5614a804bb7,Q60329160,Land Minister of Bangladesh,2009,2014,0
Q8046660,Yafes Osman,Q8046660-c6143cd6-4318-8caf-59d5-af86aee98d07,Q29383100,Minister of Science and Technology,2009,,0
