id,name,position,start_date,end_date,type
5ec20a81-a075-4465-a530-3805e1b316ad,AGEEV ALEKSANDR,member of the House of Representatives of Belarus,2012-10-18,,self
2fa57e13-8a9f-43f6-85be-b29e33098868,ALEKSEENKO VASILY,member of the House of Representatives of Belarus,2012-10-18,,self
16bc0c20-2ce6-4038-a2d7-c6a50b1453c5,ANDREICHENKO VLADIMIR,member of the House of Representatives of Belarus,2008-10-27,,self
8fd9f65c-29ac-497c-9c02-542c647d4a7b,APANASYUK LEONID,member of the House of Representatives of Belarus,2012-10-18,,self
0cc30115-c2f5-4dde-9e67-cf38f57a1025,BAZANOV VLADIMIR,member of the House of Representatives of Belarus,2012,,self
0cc30115-c2f5-4dde-9e67-cf38f57a1025,BAZANOV VLADIMIR,Deputy of Brest Oblast Council of Deputies,,,other_legislatures
7c5058ea-e4d5-4099-b378-8fb722b44f61,BOGDANOVICH LARISA,member of the House of Representatives of Belarus,2008-10-27,,self
40a20903-b05d-4b7f-b481-ba2d012a27e5,BOKHAN SERGEY,member of the House of Representatives of Belarus,2012-10-18,,self
d8f902b8-42c3-4c63-a375-1cd85c4ed7cd,BUSKO VITALY,member of the House of Representatives of Belarus,,,self
2e438a2e-837a-4fd5-bc37-ced16244d6c4,MYAKINNIK ALEKSANDR,member of the House of Representatives of Belarus,2012-10-18,,self
61aa5f90-80ad-4ad9-8eaf-ad9e0d72834c,OBOLENSKY EVGENY,member of the House of Representatives of Belarus,2008-10-27,,self
1b0a70f3-d55f-41ec-831a-a0d59b91a02f,RASSOKHA NIKOLAI,member of the House of Representatives of Belarus,2012-10-18,,self
b299d252-7482-448a-bfcd-8ea228e72964,VALEVACH ZYGMUND,member of the House of Representatives of Belarus,2012-10-18,,self
4a6ccdb7-4f74-4b06-b87c-08d8fcd59d35,VASHKOV ADAM,member of the House of Representatives of Belarus,2012-11-18,,self
48ddaeaa-abed-4453-946b-58e57162fadb,YAROSHEVICH ALEKSANDR,member of the House of Representatives of Belarus,2012-10-18,,self
48ddaeaa-abed-4453-946b-58e57162fadb,YAROSHEVICH ALEKSANDR,Deputy of Brest Oblast Council of Deputies,,,other_legislatures
