id,uuid
ps,0afe7ebb-b59b-4a0c-a44c-c158f8d4b454
sp.a,aff54454-e0da-46c4-ab22-708578d63486
parti_populaire,cb079981-d359-42ab-84d5-888ef1815a2b
open_vld,4cec1dec-a4a5-42d6-a070-622c6e835670
n-va,d4fce305-4752-4bf1-87f3-d1ade2bbbb91
groen,79632b3e-c40d-4579-860c-b85519f1e5d3
vlaams_belang,4dbd20ef-e858-48e6-bbcc-44d49c925d81
ecolo,a0434202-37d2-4908-833d-14b8bf689c40
cdh,7780499e-f191-4206-84ee-1bb573a69aec
mr,db25a523-ad1d-423a-83a2-c56309215df0
cd&v,2212f944-30f6-47ec-a169-32002c4d3a83
ptb-go!,84fe0275-d3a9-4f77-a46e-40cc0d3298e3
fdf,6c417ff1-0cc2-4654-b6d8-022d6ad2f409
