id,wikidata
d4fce305-4752-4bf1-87f3-d1ade2bbbb91,Q28982
db25a523-ad1d-423a-83a2-c56309215df0,Q533384
0afe7ebb-b59b-4a0c-a44c-c158f8d4b454,Q645787
2212f944-30f6-47ec-a169-32002c4d3a83,Q750673
4cec1dec-a4a5-42d6-a070-622c6e835670,Q1160192
aff54454-e0da-46c4-ab22-708578d63486,Q939354
a0434202-37d2-4908-833d-14b8bf689c40,Q655611
79632b3e-c40d-4579-860c-b85519f1e5d3,Q513521
7780499e-f191-4206-84ee-1bb573a69aec,Q840814
4dbd20ef-e858-48e6-bbcc-44d49c925d81,Q682990
84fe0275-d3a9-4f77-a46e-40cc0d3298e3,Q925616
6c417ff1-0cc2-4654-b6d8-022d6ad2f409,Q1470087
cb079981-d359-42ab-84d5-888ef1815a2b,Q929882
