statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q16729784-E723A55E-CD38-4323-84C3-EA52047D4882,Q16729784,Manuel Heredia,Q20313236,Belize Rural South,Q1809323,United Democratic Party,"","",9
Q20640457-0AB774D5-78F4-4D25-B658-037B5D14A5C6,Q20640457,Ivan Ramos,Q21188184,Dangriga,Q1759613,People's United Party,"","",9
Q24953636-42C958C5-6C62-4997-AAA5-E6B64C13E3EC,Q24953636,Hugo Patt,Q21188181,Corozal North,Q1809323,United Democratic Party,"","",9
Q24953655-F6D4E2BD-AB7A-43A3-B9C8-793C806815E5,Q24953655,Herman Longsworth,Q4709564,"Albert, Belize",Q1809323,United Democratic Party,"","",9
Q24953658-FF255732-60BA-46FD-8C27-EBCECB1A99D6,Q24953658,Julius Espat,Q20645561,Cayo South,Q1759613,People's United Party,"","",9
Q24953659-A66AB133-B9C7-4E26-A117-E5CB7DF6B8FF,Q24953659,Florencio Marin Jr.,Q21196389,Corozal South East,Q1759613,People's United Party,"","",9
Q24953660-04D94F27-76EE-4AE3-BBDF-5F8168A3D47D,Q24953660,Ramiro Ramirez,Q25405053,Corozal South West,Q1759613,People's United Party,"","",9
Q24953677-B0D72076-AE14-4981-9AEC-DF4105EDC574,Q24953677,Marco Tulio Mendez,Q25405052,Orange Walk East,Q1759613,People's United Party,"","",9
Q24953679-88A731CA-F6CE-456F-95A7-E7F63C959442,Q24953679,Michael Espat,Q21196640,Toledo East,Q1759613,People's United Party,"","",9
Q24953680-73736D4C-B365-40BC-8955-31828FF7D1AE,Q24953680,Jose Abelardo Mai,Q25405065,Orange Walk South,Q1759613,People's United Party,"","",9
Q25354502-2990856B-EF04-4239-B7BD-C46F1D9089C0,Q25354502,Mark King,Q20645464,Lake Independence,Q1809323,United Democratic Party,"","",9
Q335215-2692C8CF-0C36-42FD-976C-5A3472F689F1,Q335215,Said Musa,Q20645459,Fort George,Q1759613,People's United Party,"","",9
Q4773030-E82FDBDD-6F0A-455B-A865-4245C6F40150,Q4773030,Anthony Martinez,Q16975862,Port Loyola,Q1809323,United Democratic Party,"","",9
Q5338849-FD399EFE-FA8C-4435-9E37-48BDB2745EAB,Q5338849,Edmond Castro,Q20313235,Belize Rural North,Q1809323,United Democratic Party,"","",9
Q5368083-5E7C900A-8941-4CC6-8EEE-C59A5590CB20,Q5368083,Elvin Penner,Q20645530,Cayo North East,Q1809323,United Democratic Party,"","",9
Q5480967-2F52E3E8-63A9-4213-8FC7-5BE6CE05416B,Q5480967,Francis Fonseca,Q20645460,Freetown,Q1759613,People's United Party,"","",9
Q5526559-27687443-BE8B-4E2D-AE20-FC5170BB3FD7,Q5526559,Gaspar Vega,Q25405054,Orange Walk North,Q1809323,United Democratic Party,"","",9
Q57701-8FFC9DA2-5866-436C-A85A-79DB3EC556A3,Q57701,Dean Barrow,Q20645377,Queen's Square,Q1809323,United Democratic Party,"","",9
Q58325-F707C3EC-FB9B-4A16-A118-F5246387CFBE,Q58325,Wilfred Elrington,Q21188737,Pickstock,Q1809323,United Democratic Party,"","",9
Q58878027-B2AA6365-4EA7-4B5F-A89C-A891E7E03E08,Q58878027,Santiago Castillo,Q20645442,Caribbean Shores,Q1809323,United Democratic Party,"","",9
Q6256510-A692BFBB-3235-4B80-AB7F-0CEE5C8AB2F2,Q6256510,John Saldivar,Q20645525,Belmopan,Q1809323,United Democratic Party,"","",9
Q6266369-0E3DD707-37BC-47F9-A7FE-0BF5D0498CEB,Q6266369,Johnny Briceño,Q25405061,Orange Walk Central,Q1759613,People's United Party,"","",9
Q6285230-7FFC6BE4-5B64-46FF-9785-8A7CE1E13DA9,Q6285230,Joseph Mahmud,Q20645566,Cayo North,Q1759613,People's United Party,"","",9
Q6830297-1404BBA9-D3E5-4E3B-9F7A-91106352D8DC,Q6830297,Michael Finnegan,Q21188477,Mesopotamia,Q1809323,United Democratic Party,"","",9
Q7146470-05dfffa7-4e91-3fc5-7282-4a7e59914342,Q7146470,Patrick Faber,Q21188177,Collet,Q1809323,United Democratic Party,"","",9
Q7312920-15FAF290-D7D6-4F7F-BB47-E05EE3FF4DC5,Q7312920,Rene Montero,Q18922578,Cayo Central,Q1809323,United Democratic Party,"","",9
