name,id
H.E. Dasho Sherub Gyeltshen,edbeefc3-c433-4c03-9763-0ff92a270a77
H.E. Dechen Wangmo,b210a5b2-78a1-4b33-b3d7-1667b9f71d31
H.E. Dorji Tshering,aeb574d2-2638-400e-be73-cd2145c37fea
H.E. Dr. Lotay Tshering,76cd3d8f-818f-4df3-a874-aa140d857509
H.E. Dr. Pema Gyamtsho(Ph.D),5394027f-0cdc-4315-b556-165e578f932e
H.E. Dr. Tandi Dorji,19ed2441-bc2c-49f3-8f07-067edf4d6f32
H.E. Jai Bir Rai,1d18c048-3cdd-4f59-9be9-afceb8f5ac79
H.E. Karma Donnen Wangdi,b2ab84ff-c95e-4359-95f7-bfe3f3032d8d
H.E. Loknath Sharma,d1376e3f-3363-451f-bcb6-eda5ed0a80f5
H.E. Namgay Tshering,e0a3ddc1-c179-4cc3-87e0-d4320bfa73aa
H.E. Ugyen Dorji,5cc88ce3-4b2d-404d-a206-3096f701bb9e
H.E. Wangchuk Namgyel,954b2091-822f-4445-9a0e-12453fc8b45f
H.E. Yeshey Penjor,7ca3e99c-cfc4-448a-aa3d-87b5fb266be8
Hon. Dorjee Wangmo,66ef1883-28a5-4477-b3b8-0aa7b20d3606
Hon. Drungtsho Karma Wangchuk,aa90b48f-5a7f-40b1-915c-3b903affc099
Hon. Hemant Gurung,434ab032-4e3c-434a-93a0-13a0b1906560
Hon. Jurmi Wangchuk,ec5c0841-18d5-40ca-8888-bf6e8cb920e6
Hon. Kinga Penjor,a93cd009-4b73-444d-9553-c3489bb622b4
Hon. Tenzin,7b6e0c11-5d59-47f2-a947-66fa743ce1f4
Hon. Tshencho Wangdi,0e04970d-8ca9-4e43-848e-fcff07807d1b
Hon. Tshewang Lhamo,c0f34fae-f4ca-4037-b694-86ca1ec3848d
Hon. Ugen Tenzin,d15142f8-2e2c-4469-a127-7b67f7fd5506
Hon. Yeshey Dem,e6602aa6-0d05-407d-83f3-d29a87e23a71
Kinga Tshering,602d0a26-eb66-484c-a27c-b9ba26860c66
