id,name,name__fr,name__en,name__en_ca,name__en_gb,name__de,name__nl,wikipedia__en,wikipedia__fr,birth_date,gender,given_name,occupation,original_wikiname,name__nb,name__da,name__nn,name__sv,name__it,name__eu,wikipedia__eu,image,identifier__VIAF,name__ru,wikipedia__ru,name__sr,name__es,name__hu,name__zh,wikipedia__de,wikipedia__sr,identifier__LCAuth,identifier__freebase,website,identifier__ISNI,identifier__BNF,identifier__SUDOC,name__ko,wikipedia__ko,family_name,identifier__PACE,identifier__NNDB,name__ar,wikipedia__ar,name__ja,name__cs,wikipedia__cs,wikipedia__it,wikipedia__ja,identifier__IIAF,name__fa,wikipedia__fa,name__nds,name__tr,wikipedia__nl,name__uk,wikipedia__commons,wikipedia__uk,identifier__GND,name__sl,wikipedia__sl,name__pt,name__pl,name__sr_el,name__sr_ec,name__ca,name__fi,name__sh,wikipedia__ca,wikipedia__es,wikipedia__fi,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__sh,wikipedia__sv,identifier__GTAA,identifier__FAST,identifier__snac,name__vi,wikipedia__vi,identifier__ioc_athlete,name__el,identifier__NTA,identifier__wikitree,identifier__nlg,identifier__NLAtrove,identifier__Britannica,identifier__BIBSYS,name__id,name__ace,identifier__SELIBR,twitter,name__he,wikipedia__he,facebook,wikipedia__zh,wikipedia__simple,death_date,name__cy,wikipedia__enwikiquote,wikipedia__tr,honorific_suffix,name__bn,identifier__LAC,identifier__NKC
Q1357406,Peter Boehm,Peter Boehm,Peter Boehm,,,Peter Michael Boehm,Peter Boehm,Peter Boehm,,1954-04-26,male,Peter,diplomat,Peter Boehm,Peter Boehm,Peter Boehm,Peter Boehm,Peter Boehm,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Peter_Boehm_-_2015_(16399694871)_(cropped).jpg,,,,,Peter Boehm,,,Peter Michael Boehm,,,,,,,,,,Boehm,,,,,,,,,,,,,,,,,Category:Peter Michael Boehm,,,Peter Boehm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G7Sherpa,,,,,,,,,,,,,
Q14942774,Paul McIntyre,Paul McIntyre,Paul McIntyre,Paul McIntyre,Paul McIntyre,Paul McIntyre,Paul McIntyre,Paul McIntyre (politician),Paul McIntyre,1944-11-02,male,Paul,politician,Paul McIntyre (politician),,,,,,,,,,,,,,,,,,,,,,,,,,McIntyre,,,,,,,,,,,,,,,,,,,,Paul McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16186656,Tobias Enverga,Tobias Enverga,Tobias Enverga,,,Tobias Enverga,Tobias Enverga,Tobias Enverga,,1955-12-02,male,Tobias,politician,,,,,,Tobias Enverga,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Tobias_Enverga_(38647995776)_(cropped).jpg,,,,,,,,,,,,,,,,,,Enverga,,,,,,,,,,,,,,,,,,,,Tobias Enverga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobias Enverga,2017-11-16,,,,,,,
Q1680169,Larry Campbell,Larry Campbell,Larry Campbell,,,Larry Campbell,Larry Campbell,Larry Campbell,,1948-02-28,male,Larry,politician,Larry Campbell,Larry Campbell,Larry Campbell,Larry Campbell,Larry Campbell,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Larry_Campbell_(2714953856).jpg,104929197,Ларри Кэмпбелл,,Лари Кембел,Larry Campbell,Larry Campbell,李建堡,Larry Campbell (Politiker),Лари Кембел,no2010045171,/m/01df91,http://www.larrycampbell.ca,0000 0000 7738 0022,,,,,Campbell,,,,,,,,,,,,,,,,,,,,Larry Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ল্যারি ক্যাম্পবেল,,
Q17386522,Kim Pate,,Kim Pate,,,Kim Pate,,Kim Pate,,1959-11-10,female,,politician,Kim Pate,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/69/Senator_Kim_Pate_cropped.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Pate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPateontheHill,,,,,,,,,,,,,
Q2272463,Serge Joyal,Serge Joyal,Serge Joyal,,,Serge Joyal,Serge Joyal,Serge Joyal,Serge Joyal,1945-02-01,male,Serge,lawyer,Serge Joyal,Serge Joyal,Serge Joyal,Serge Joyal,Serge Joyal,,,,,70202940,,,,Serge Joyal,Serge Joyal,,Serge Joyal,,n79047824,,,0000 0000 7837 6631,135300618,050441914,,,Joyal,,,,,,,,,,,,,,,,,,,,Serge Joyal,,,,,,,,,,,,,,,,,,,,,,,,,323976905,,,,,,,,,,,,,,,,,,,,,,
Q23771365,Raymonde Gagné,Raymonde Gagné,Raymonde Gagné,,,,Raymonde Gagné,Raymonde Gagné,Raymonde Gagné,1956-01-07,female,Raymonde,politician,Raymonde Gagné,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Raymonde_Gagné_reçois_le_Prix_Riel.jpg,105019825,,,,,,,,,,,,,,,,,Gagné,,,,,,,,,,,,,,,,,,,,Raymonde Gagné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23771366,Ratna Omidvar,,Ratna Omidvar,,,,Ratna Omidvar,Ratna Omidvar,,1949-06-11,female,,politician,Ratna Omidvar,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Senator_Ratna_Omidvar.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,راتنا امیدوار,راتنا امیدوار,,,,,,,,Ratna Omidvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ratnaomi,,,,,,,,,,,,,
Q238041,Nancy Greene,Nancy Greene,Nancy Greene,,,Nancy Greene,Nancy Greene,Nancy Greene Raine,Nancy Greene,1943-05-11,female,Nancy,alpine skier,,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Nancy_Greene_at_Sun_Peaks_in_2000.jpg,18470192,"Грин, Нэнси","Грин, Нэнси",Ненси Грин,Nancy Greene,Nancy Greene,,Nancy Greene,Ненси Грин,n50058778,/m/01yl0k,http://www.nancygreene.com,0000 0000 7413 9161,,,,,Greene,,,نانسي غرين,نانسي غرين,ナンシー・グリーン,Nancy Greeneová,Nancy Greeneová,Nancy Greene,,,,,,Nancy Greene Raine,Nancy Greene,,Category:Nancy Greene,,,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nensi Grin,Ненси Грин,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,Nancy Greene,104358,18536,,,,,,,,,,biography/Nancy-Greene,,,,,SenNGreeneRaine,,,,,,,,Nancy Greene,Nancy Greene Raine,,,,
Q2402200,Lillian Dyck,Lillian Dyck,Lillian Dyck,,,Lillian Dyck,Lillian Dyck,Lillian Dyck,Lillian Dyck,1945-08-24,female,Lillian,biologist,Lillian Dyck,Lillian Dyck,Lillian Dyck,Lillian Dyck,Lillian Dyck,Lillian Dyck,,,,104615077,,,,Lillian Dyck,Lillian Dyck,,,,,,,0000 0000 7486 0493,,,,,Dyck,,,,,,,,,,,,,,,,,,,,Lillian Dyck,Lillian Dyck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lillian Dyck,Lillian Dyck,,,,,100005131950086,,,,,,,,,,
Q25189394,Peter Harder,,Peter Harder,,,,Peter Harder,Peter Harder (politician),,1952-08-25,male,Peter,politician,Peter Harder (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Harder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenHarder,,,,,,,,,,,,,
Q27656978,Lucie Moncion,,Lucie Moncion,,,,Lucie Moncion,Lucie Moncion,,1958-10-25,female,,politician,Lucie Moncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucie Moncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27656982,Nancy Hartling,,Nancy Hartling,,,,Nancy Hartling,Nancy Hartling,,1950-02-01,female,Nancy,politician,Nancy Hartling,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Sen_207800_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nancy Hartling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenatorHartling,,,,,,,,,,,,,
Q27656987,Patricia Bovey,,Patricia Bovey,,,,Patricia Bovey,Patricia Bovey,,1948-05-15,female,Patricia,politician,Patricia Bovey,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Patricia_E._Bovey.jpg,,,,,,,,,,,,,,,,,,Bovey,,,,,,,,,,,,,,,,,Category:Patricia Bovey,,,Patricia Bovey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27656999,Wanda Thomas Bernard,Wanda Thomas Bernard,Wanda Thomas Bernard,,,,Wanda Thomas Bernard,Wanda Thomas Bernard,Wanda Thomas Bernard,1953-08-01,female,,politician,Wanda Thomas Bernard,,,,,,,,,11687638,,,,,,,,,n2003101782,,,0000 0000 7420 0639,,,,,,,,,,,,,,,,,,,,,,,,,Wanda Thomas Bernard,,,,,,,,,,,,,,,,,,,493327,,,,,,,,,,,,,,,SenatorWanda,,,,,,,,,,,,,
Q27657049,Diane Griffin,Diane Griffin,Diane Griffin,,,,Diane Griffin,Diane Griffin (conservationist),Diane Griffin,1947-03-18,female,Diane,politician,Diane Griffin (conservationist),,,,,,,,,,,,,,,,,,,,,,,,,,Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenDianeGriffin,,,,,,,,,,,,,
Q27673144,Rosa Galvez,Rosa Galvez,Rosa Galvez,,,,Rosa Galvez,Rosa Galvez,Rosa Galvez,1962-06-21,female,Rosa,politician,Rosa Galvez,,,,,,,,,105357416,,,,,,,,,n2009080552,,,0000 0000 7900 2455,,,,,,,,,,,,,,,,,,,,,,,,,Rosa Galvez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27680092,Marie-Françoise Mégie,Marie-Françoise Mégie,Marie-Françoise Mégie,,,,Marie-Françoise Mégie,Marie-Françoise Mégie,Marie-Françoise Mégie,1950-09-21,female,Marie-Françoise,physician,Marie-Françoise Mégie,,,,,,,,,,,,,,,,,,,,,,,,,,Mégie,,,,,,,,,,,,,,,,,,,,Marie-Françoise Mégie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27680096,Raymonde Saint-Germain,Raymonde Saint-Germain,Raymonde Saint-Germain,,,,Raymonde Saint-Germain,Raymonde Saint-Germain,Raymonde Saint-Germain,1950-09-21,female,Raymonde,politician,Raymonde Saint-Germain,,,,,,,,,317010367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raymonde Saint-Germain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27680102,Renée Dupuis,Renée Dupuis,Renée Dupuis,,,,Renée Dupuis,Renée Dupuis,Renée Dupuis (avocate),1949-01-17,female,Renée,writer,Renée Dupuis,,,,,,,,,37017764,,,,,,,,,n92084367,,,0000 0000 7248 1502,12476326j,033959323,,,Dupuis,,,,,,,,,,,,,,,,,,,,Renée Dupuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90760893,,,,,,,,,,,,,,,,,
Q27688775,René Cormier,René Cormier,René Cormier,,,,René Cormier,René Cormier,René Cormier,1956-04-27,male,René,politician,René Cormier,,,,,,,,,126630177,,,,,,,,,,,,,,,,,Cormier,,,,,,,,,,,,,,,,,,,,René Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenCormier,,,,,,,,,,,,,
Q27734329,Daniel Christmas,Dan Christmas,Daniel Christmas,,,,Daniel Christmas,Daniel Christmas,Dan Christmas,1956-09-10,male,Daniel,politician,Daniel Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27734910,Sabi Marwah,,Sabi Marwah,,,,Sabi Marwah,Sabi Marwah,,1951-07-12,male,,politician,Sabi Marwah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabi Marwah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27735011,Eric Forest,Éric Forest,Eric Forest,,,,Eric Forest,Éric Forest,Éric Forest,1952-04-06,male,Eric,politician,Éric Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EricForestRiki,,,,,,,,,,,,,
Q27735015,Marc Gold,Marc Gold,Marc Gold,,,,Marc Gold,Marc Gold,Marc Gold,1950-06-30,male,Marc,politician,Marc Gold,,,,,,,,,,,,,,,,,,,,http://marcgold.ca/,0000 0000 8453 1642,,,,,,,,,,,,,,,,,,,,,,,,,Marc Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2848475,André Pratte,André Pratte,André Pratte,,,André Pratte,André Pratte,André Pratte,André Pratte,1957,male,André,journalist,André Pratte,,,,,André Pratte,,,,119564330,,,,André Pratte,,,,,n97092863,/m/025wxwp,,0000 0000 8335 4787,,077685245,,,,,,,,,,,,,,,,,,,,,,133626652,André Pratte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2851043,Anne Cools,Anne Cools,Anne Cools,,,Anne Cools,Anne Cools,Anne Cools,Anne Cools,1943-08-12,female,Anne,politician,,Anne Cools,Anne Cools,Anne Cools,Anne Cools,,,,,106212672,,,,Anne Cools,Anne Cools,,,,,,http://senatorcools.sencanada.ca/,,,,,,Cools,,,,,,,,,,,,,,,Anne Cools,,,,,Anne Cools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2907803,Bob Runciman,Bob Runciman,Bob Runciman,,,Bob Runciman,Bob Runciman,Bob Runciman,Bob Runciman,1942-08-10,male,Bob,politician,,,,,,,,,,,,,,Bob Runciman,Bob Runciman,,,,,,,,,,,,Runciman,,,,,,,,,,,,,,,,,,,,Bob Runciman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2960890,Charlie Watt,Charlie Watt,Charlie Watt,,,Charlie Watt,Charlie Watt,Charlie Watt,Charlie Watt,1944-06-29,male,Charlie,politician,,Charlie Watt,Charlie Watt,Charlie Watt,Charlie Watt,,,,,106221352,,,,Charlie Watt,Charlie Watt,,,,,,,,,,,,Watt,,,,,,,,,,,,,,,,,,,,Charlie Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2977137,Claude Carignan,Claude Carignan,Claude Carignan,,,Claude Carignan,Claude Carignan,Claude Carignan,Claude Carignan,1964-12-04,male,Claude,politician,Claude Carignan,,,,,,,,,105092118,,,,,,,,,,,,0000 0000 7435 9690,,,,,Carignan,,,,,,,,,,,,,,,,,,,,Claude Carignan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senatcarignan,,,,,,,,,,,,,
Q2978387,Claudette Tardif,Claudette Tardif,Claudette Tardif,,,Claudette Tardif,Claudette Tardif,Claudette Tardif,Claudette Tardif,1947-07-27,female,Claudette,politician,,Claudette Tardif,Claudette Tardif,Claudette Tardif,Claudette Tardif,,,,,104361212,,,,Claudette Tardif,Claudette Tardif,,,,,,,0000 0000 7666 2378,,,,,Tardif,,,,,,,,,,,,,,,,,,,,Claudette Tardif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2982619,Colin Kenny,Colin Kenny,Colin Kenny,,,Colin Kenny,Colin Kenny,Colin Kenny,Colin Kenny,1943-12-10,male,Colin,politician,,Colin Kenny,Colin Kenny,Colin Kenny,Colin Kenny,,,,,43683088,Колин Кенни,,,Colin Kenny,Colin Kenny,,,,n2003114312,,,0000 0000 7365 580X,144589078,,,,Kenny,,,,,,,,,,,,,,,,,,,173703348,Colin Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
