uuid,female,male,other,skip,total
00573e80-76c3-4f15-8aa7-aa2b35602b3d,0,5,0,1,6
01d863d9-a0b0-451a-9148-24732713a590,0,16,0,0,16
01e3ce57-8b52-43e8-9bed-82e2692c359e,0,17,0,0,17
05ccee26-ecba-4a2d-b720-7e132bce2794,0,4,0,3,7
05f61602-661d-4484-9820-b9a0bef94bb6,16,0,0,0,16
07931c6f-81e9-4cfe-b994-70e72c985c9c,1,4,1,3,9
08a7b3a3-c9f8-47d6-ba1b-06bc5dd8a1d7,17,0,0,0,17
08ba17fe-526e-4ced-b250-2e14324033f4,0,17,0,0,17
0b67ea77-3750-44e7-96f8-5d8b594ced9a,0,5,0,1,6
0e816da0-6585-4b18-b52a-1725945a68a0,0,2,0,0,2
0f13cc50-3ed4-4e38-8063-07a9c56582ac,5,0,0,1,6
125b3737-7e9d-4af0-aad3-d68868644024,15,0,0,2,17
14392f1c-be22-4c44-a840-03ac31779931,0,17,0,0,17
1669bebf-a91c-420c-b99d-c7eaf6905cb6,0,16,0,0,16
16b03f0f-957c-4bd5-b495-13a0fd6be76a,17,0,0,0,17
1873d8b1-7433-4b43-9bf6-de0d27774755,0,17,0,0,17
1984be40-f405-4c28-8999-0af5d5c23303,16,0,1,0,17
1999f15a-d488-42ac-9525-c4b049e7929c,5,0,0,1,6
19f19380-25f8-4216-bff5-a51b02ab14a2,16,0,0,0,16
1b07794d-aa09-4039-8b2e-87238f6ebef5,0,17,0,0,17
1d0df550-4a63-4738-892e-523b5f0d670e,0,16,0,0,16
1f977f6a-b1ca-414f-aef8-4d3051e532fd,5,0,0,2,7
1fceadd9-3621-4db4-b2d2-80e1a57f6748,16,0,0,0,16
1fcf11ee-8de6-4cd2-87dd-0c61c7c0f19f,0,15,0,1,16
210c1b8a-3237-4b38-9777-620186dc6823,0,16,0,0,16
21d8536d-c10d-47de-a447-d8595b2d2978,17,0,0,0,17
241f6900-43d2-4b24-aa0d-1924933bebcf,0,16,0,0,16
2435f497-9534-4055-af82-562a114efee0,11,0,0,4,15
254d0c17-9dc5-4a75-90c1-40d096710c7b,0,17,0,0,17
255d91c5-698c-48ab-bbe5-9a77844758c0,0,15,0,2,17
25b724c2-7ec1-48f7-aae8-caeefd5c2ee8,0,17,0,0,17
25dfc80d-4bdb-4328-a9dc-ab9fd883cef7,0,17,0,0,17
26b328c3-c1ed-49e1-96e8-a5bd4714f01f,4,0,0,1,5
27a87a34-cbcb-4054-bd46-370346df41f7,0,4,0,0,4
289c4a12-226a-4176-b32e-e3b5dbf49951,0,17,0,0,17
296ebb33-3e0b-4556-abaa-803e76bf23c5,0,17,0,0,17
2a4a9b40-36d2-469b-bac5-cd00587d9541,0,3,0,4,7
2e0856f6-7661-4a15-b744-961e41681f27,17,0,0,0,17
2f5ad02d-cbb6-41d4-b6c1-239709109420,4,0,0,0,4
30bc6486-ca2f-436e-868a-832e447c4055,0,16,0,0,16
31151217-898b-45b2-928f-6138d6584a57,17,0,0,0,17
317dc125-67da-4d11-a8ad-78ed53c353fc,0,5,0,0,5
31d21aad-5350-401a-b791-b90eb29298fc,18,0,0,0,18
3374c4fa-00b4-4c78-80c3-679f1960be8e,15,1,0,0,16
33783874-45db-4f40-8860-84e5b9ff3581,1,15,1,0,17
33a0e932-fb04-490b-9381-3ed001cf0d52,0,16,0,0,16
33d0955b-b732-4fa5-a3bb-70b56f7f4745,16,1,0,0,17
33d3b0e8-c068-4151-a409-4b394a215c42,0,16,0,0,16
3425488b-0645-45a2-8361-a21d8f8ed1f8,15,0,0,1,16
35c88fd9-d989-4cdd-b616-dd1793b98053,0,5,0,1,6
365beffb-53fa-4474-b8c8-6d7d14f26668,0,16,0,0,16
3910cb07-5291-4ead-a20e-93f467326b22,0,17,0,0,17
3b42c481-3385-4a30-a97a-195b9de44fec,0,15,0,0,15
3bf15547-71a0-427a-93e6-defb50bcdd70,0,16,0,0,16
3c7148dd-f611-4481-9278-3bcdbe2b18af,0,17,0,0,17
3cff9001-e1a6-44f7-935d-babbd2a9721d,0,17,0,0,17
3dcf31c7-63d3-4c03-8fc9-c3f338c8ef24,0,16,1,0,17
3f4361d2-cb43-44ee-b5ce-1986694a4c1a,0,5,0,0,5
3fd88077-cb50-4d1a-b264-f75eaf3b9121,17,0,0,0,17
414f23db-575b-435d-a1b4-534e32f5f598,16,0,0,0,16
42daa729-96c9-48e8-89b2-fe07a8fa8d8c,15,1,0,0,16
431d67a2-9d88-4a9a-bb8b-fd575ffe983a,0,6,0,4,10
434a9f49-73e9-43df-bbf4-9187c7550a33,0,17,0,0,17
444bdd5e-6c23-4b4e-8648-1fa75ce8a601,16,1,0,0,17
458df9a5-0207-4413-b660-6693edb61ca3,0,15,0,0,15
