id,name,given_name,family_name,party,party_id,constituency,email,homepage,image,memberships,term,source
sbjfc,Bjarne Corydon,Bjarne,Corydon,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,South Jutland,bjarne.corydon@ft.dk,http://bjarnecorydon.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Bjarne_Fog_Corydon/Bjarne_Fog_Corydonx133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in City of Esbjerg nomination district  from 2011.,2015,http://www.thedanishparliament.dk/Members/sbjfc.aspx
morten-lokkegaard,Morten Løkkegaard,Morten,Løkkegaard,The Liberal Party,63F84EAA-8483-4115-A775-009467AF1593,Greater Copenhagen,morten.lokkegaard@ft.dk,,,Member of Parliament for the Liberal Party in Greater Copenhagen greater constituency from June 18th 2015.,2015,http://www.thedanishparliament.dk/Members/morten-lokkegaard.aspx
emrah-tuncer,Emrah Tuncer,Emrah,Tuncer,The Social Liberal Party,FD18DB48-CB3E-40EA-98B5-1CE0AFA56E69,Zealand,emrah.tuncer@ft.dk,,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/RV/Emrah%20Tuncer/Emrah_Tuncer_133.jpg.ashx,Temporary Member of Parliament for the Social Liberal Party in Zealand greater constituency  from January 1st 2016 (substitute for Zenia Stampe).,2015,http://www.thedanishparliament.dk/Members/emrah-tuncer.aspx
shets,Helle Thorning-Schmidt,Helle,Thorning-Schmidt,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,Copenhagen,helle.thorning-schmidt@ft.dk,http://www.thorning-schmidt.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Helle%20Thorning-Schmidt/Helle_Thorning-Schmidt_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Copenhagen greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in Eastern Copenhagen constituency  from February 8th 2005 to November 13th 2007.+++Candidate for the Social Democratic Party in Østerbro nomination district  from 2003.,2015,http://www.thedanishparliament.dk/Members/shets.aspx
sarah-glerup,Sarah Glerup,Sarah,Glerup,The Red-Green Alliance,782DE1D5-0990-43C4-94E7-43FC6C381D8F,Copenhagen,sarah.kristensen@ft.dk,,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/EL/Sarah%20Glerup/Sarah_Glerup_133.jpg.ashx,Temporary Member of Parliament for The Red-Green Alliance in Copenhagen greater constituency  from April 4th 2016 (substitute for Pelle Dragsted).,2015,http://www.thedanishparliament.dk/Members/sarah-glerup.aspx
nikolaj%20amstrup,Nikolaj Amstrup,Nikolaj,Amstrup,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,Funen,nikolaj.amstrup@ft.dk,,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/foto%20mangler_133x133.jpg.ashx,Temporary Member of Parliament for the Alternative in Funen greater constituency  from November 3rd 2015 (substitute for Roger Matthisen).,2015,http://www.thedanishparliament.dk/Members/nikolaj%20amstrup.aspx
sfjoda,Jonas Dahl,Jonas,Dahl,The Socialist People’s Party,AE4E2E70-9FAE-42C6-9116-4A8D9983E2DA,East Jutland,jonas.dahl@ft.dk,,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/SF/Jonas%20Dahl/Jonas_Dahl_133.jpg.ashx,Member of Parliament for the Socialist People’s Party in East Jutland greater constituency from November 13th 2007.+++Candidate for the Socialist People’s Party in Århus East nomination district  from 2010.+++Candidate for the Socialist People’s Party in Århus South nomination district  from 2006 to 2010.+++Candidate for the Socialist People’s Party in Randers nomination district  from 2004 to 2006.,2015,http://www.thedanishparliament.dk/Members/sfjoda.aspx
anne-paulin,Anne  Paulin,Anne,Paulin,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,Western Jutland,anne.paulin@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Anne%20Paulin/Anne_Paulin_133.jpg.ashx,Temporary Member of Parliament for the Social Democratic Party in Western Jutland greater constituency  from February 2nd 2016 (substitute for Thomas Jensen).+++Candidate for the Social Democratic Party in Skive nomination district  from 2013.,2015,http://www.thedanishparliament.dk/Members/anne-paulin.aspx
johannes%20lebech,Johannes  Lebech,Johannes,Lebech,The Social Liberal Party,FD18DB48-CB3E-40EA-98B5-1CE0AFA56E69,Western Jutland,johannes.lebech@ft.dk,"","",Temporary Member of Parliament for the Social Liberal Party in Western Jutland greater constituency  from May 10th 2016 (substitute for Andreas Steenberg).,2015,http://www.thedanishparliament.dk/Members/johannes%20lebech.aspx
kasper%20roug,Kasper  Roug,Kasper,Roug,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,Zealand,kasper.roug@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Kasper%20Roug/Kasper_Roug_133.jpg.ashx,Temporary Member of Parliament for the Social Democratic Party in Zealand greater constituency  from November 3rd 2015 (substitute for Astrid Krag).+++Candidate for the Social Democratic Party in Lolland nomination district  from 2012.,2015,http://www.thedanishparliament.dk/Members/kasper%20roug.aspx
