name,id
Abdel Hadi al-Qasabi,f9c34862-499c-4e45-9858-cd5a53465d2f
Ahmed Hassan Said,55ec481f-fd71-4c41-961d-df19a143e2ad
Ali Abdel Aal,da131abb-129a-4961-a323-edc8a1594db3
Khaled Youssef,71a169a3-b298-4631-9dfb-665f288e3387
Mohamed Abu Hamed,5bca7dca-c205-43b9-af07-51cd039406e1
Mohamed El Orabi,3c94f6e8-5928-4ea0-935d-1dd084942184
Mohamed Orabi,3c94f6e8-5928-4ea0-935d-1dd084942184
Mohammed al-Orabi,3c94f6e8-5928-4ea0-935d-1dd084942184
Mortada Mansour,214cd79e-5c73-498a-88a5-403181a68763
Muhammad al Orabi,3c94f6e8-5928-4ea0-935d-1dd084942184
Rania Elwani,feb64d41-c9ba-4e9f-8038-eb00e829c81f
Taher Abouzaid,2a9c6eae-f7b6-43ed-aa01-4340ccd69daa
Taher Abouzeid,2a9c6eae-f7b6-43ed-aa01-4340ccd69daa
Usama al-Sayyid Al-Azhari,cf40bd11-0354-452d-9302-e6a971ada7dd
Yusuf al-Qaid,3f38b373-164f-4626-9311-8cc0fc3f9523
Μορταδά Μανσούρ,214cd79e-5c73-498a-88a5-403181a68763
"Абузаид, Тахер",2a9c6eae-f7b6-43ed-aa01-4340ccd69daa
"Куайид, Мухаммед Юсуф аль",3f38b373-164f-4626-9311-8cc0fc3f9523
أحمد حسن سعيد,55ec481f-fd71-4c41-961d-df19a143e2ad
أسامة الأزهري,cf40bd11-0354-452d-9302-e6a971ada7dd
أنيسة محمد عصام الدين حسونه,61e9f2d9-67fb-4756-9da3-e247ca6afed8
إبراهيم عبد الوهاب,6fac324d-3648-4026-bbdf-69207f769c93
ابتسام ابراهيم ابو رحاب محمد,e06f8634-e481-431c-8953-96ac9f40b3db
ابراهيم احمد احمد حمودة,aea3359a-b781-44f7-bf5e-d8cce7c3b2b3
ابراهيم عبد العزيز محمد اسماعيل,375ae407-4af3-43f6-94c7-880e61c751c5
ابراهيم عبد العزيز محمد حجازى,d7d266c5-65c2-4c57-9a19-85023f34b57e
ابراهيم عبد النظير عبد الرحيم مصطفى,9f3a652e-ff5c-491c-a6be-ca0b89b0c62f
ابراهيم عبد الوهاب محي الدين ابو احمد,6fac324d-3648-4026-bbdf-69207f769c93
ابراهيم محمد ابراهيم محمد,250fd1b5-a8ef-44b7-ac44-1e4e45edd66e
ابراهيم يحيى محمد خليف,ca8bf56d-eb30-483d-8ba1-fe0d46b7c088
ابو العباس فرحات محمود محمد تركى,581b941c-e7c7-4ea5-a84d-0602dd7c52de
ابو المعاطى مصطفى ابو المعاطى مصطفى,0876e4eb-037b-485a-a4cd-e240c4378d29
ابو بكر على ابو بكر غريب,f5c7cda9-2686-4f1d-8f5c-3d7695e27da8
احمد ابراهيم الضوى عابد,93f9d86f-1b7f-4209-9c14-04c64b7e5c37
احمد ابراهيم محمد العوضى,bd227f6b-5180-40a1-b336-b3082e0238df
احمد احمد اسماعيل احمد ابو كريشة,91c0aa38-9290-4754-bfca-fb706ae24168
احمد احمد شكر عثمان,0b2307ea-1a04-4d34-8f9b-198442ba751c
احمد احمد يوسف عبد الدايم,4aa6af91-baef-441c-ab7e-805238b311bf
احمد اسماعيل محمد احمد,2176b77c-55f9-44a7-8768-a14c34ce37f9
احمد امبابى لملوم,4be1ecf0-85db-4d32-baef-f6c8b225b3b5
احمد جمال حافظ السجينى,0400b99e-696f-4b8c-b95e-78155516944f
احمد حسن حلمى سعيد,55ec481f-fd71-4c41-961d-df19a143e2ad
احمد حسن حلمي سعيد,ecb3855d-376e-4c02-b6b9-a53cfea694a1
احمد حسن عطيت الله فرشوطى,84bebeb2-3f13-4daa-bb89-7ae332888bba
احمد حسين السعيد الخشب,6a75efba-d8be-472e-9de9-965649f2ed7a
احمد خليل عبد العزيز خير الله,70aa25be-3194-4645-a514-e8a9e7576073
احمد رجب شحات محمد بدوى,f8d94d4b-72c1-4481-8aa6-5accced0fc74
احمد رفعت محمد سعيد,a123b08b-b34c-4320-ba52-118c5638c8ef
احمد سعد الدين احمد محمد درويش,54c1809e-5802-4a69-8279-b2811762c952
احمد سعيد شعيب عبد الله,6d18b18f-bc34-4392-8331-62fda0b8f2c0
احمد سليمان احمد عبد الله خليل,86cf1049-446a-4fa3-8449-b13b49960c5e
احمد سميح جلال الدين درويش,beb230a5-8065-4a3a-959d-5946216b4d1d
احمد سمير محمود علي,e92d9ee5-78b7-4933-9725-f65b95600aa2
احمد شعراوى ابراهيم شعراوى,d50c57ab-56a3-48b6-a340-658c57202da5
احمد عبد التواب محمد عبد الجليل,c89bdaf2-93b4-4031-9298-7f139862bd89
احمد عبد الحميد عبد الحميد سيد احمد,eb538d62-6f09-405e-bd8c-5193751f3cc0
احمد عبد الرحمن ابراهيم محمد برديس,670696ed-3917-4235-9200-a3c0d40ccae9
احمد عبد الواحد رسلان فرحات,5306e197-9386-4a5f-b11e-1ad5f23e3ab2
احمد عبده محمد عرجاوى,a13d38ad-f869-4221-8045-c8c980fbebf3
احمد عبده مصطفى ابراهيم,3dd343a1-f6b8-4abb-8aac-e1a814a64162
احمد على ابراهيم محمود,dce76616-a2f6-4d84-b0d8-9ad4b91316de
احمد فؤاد سليمان بغدادى أباظة,033b8db9-9951-4470-8026-80b9cfe54ed8
احمد فاروق محمد مصطفي,486bb4c9-60aa-43eb-b381-3f914ba980f9
احمد فرغلى محمد منير يوسف شرموخ,14840f09-3d94-4c75-8b9a-219513eab2f9
احمد محمد احمد حسن,21f9bc4e-32f7-454e-9a5b-7361f49c1a47
احمد محمد احمد فرغل,e0bcd221-af71-41ea-b466-8dea3ae526d5
احمد محمد بدران البعلي,bf2b49e4-134a-4492-b4ba-db1ae9db0d48
احمد محمد حلمى احمد الشريف,551c5c7b-50e3-457f-953e-69aef495a80f
احمد محمد رمضان الطنطاوى,b1421426-e55e-4ffd-b3d3-9f8e27e6ece5
احمد محمد زيدان الدمرداش,760078a3-5489-409b-a189-091cfbe07730
احمد محمد سلام الشرقاوى,b9579bea-881c-4baf-ac5f-5c7fba6bd840
احمد محمد شادى احمد شمردن,58b9e686-04ae-4df1-b7ef-4873f6e6e366
احمد محمد نشأت منصور يوسف,fd2f8858-e764-4b83-988b-bc85d4245948
احمد مرتضى احمد منصور,312b2034-e96b-4db5-b35e-df19cb22a25e
احمد مصطفى عبد الواحد سعداوي,2d0fe82f-c29b-4604-8a63-020ff5fa043e
احمد نبيل عبد المحسن سلمان مدين,9f0a04f2-00da-4f00-bb75-cb6e83629841
احمد هريدى محمود محمد,25e2fe9a-61b9-442e-be1f-8c3ea7a841a6
احمد همام القزمازى عبد ربه,4fbd4639-64d2-4be6-9f3d-03f4fc080b4c
احمد وائل قدري عبدالكريم المشنب,484855ec-b97e-4044-8b4e-3c59ab81916d
احمد يوسف احمد ادريس,c4b365f5-8934-4e7b-905f-6e38a3a311d2
اسامة احمد محمد متولى راضى,4f4f0e18-5804-4912-85e9-013db5c6a840
اسامة السيد محمود سعد الازهرى,cf40bd11-0354-452d-9302-e6a971ada7dd
اسامة انس حسين شرشر,4664dd39-6bb4-4f2e-b645-872e75859e06
اسامة محمد محمد حسن العبد,2c87d133-dd23-45e9-a06e-970a93d9443e
اسامه حسن عطوة هيكل,39083448-ae61-4313-840a-2ccbcaba170e
اسماعيل على نصر الدين عباس على,1789dbde-3c81-4d58-a94d-c6491b60a1a0
اشرف جمال شحاته مرسي,dd6271d3-7629-409c-96e1-223895c369b6
اشرف رشاد عبد الحميد احمد,06a33e11-531b-492a-8ca8-42df324be033
اشرف رشاد عثمان محمد قاسم,ed4401cc-c884-46a3-805c-0ff3034d0789
اشرف سيد محمد شوقي عبد الرحمن,1f568015-71c5-4377-953f-cec9a1d12c06
اشرف عبد المقصود عبد الجيد رحيم ابو سعد,72edb48b-7d6e-4324-b628-b254b7d8756a
اشرف عزيز اسكندر اسرائيل,68de9fff-8555-43dc-8722-669899510895
اشرف محمد حلمى عبد الحميد عمارة,e5261ef0-3261-42b5-bb80-f87930ef34c8
اشرف محى الدين العربى,14a141ac-7c62-451a-9c17-5d8cb29a89b2
اكمل احمد رشدى مهدى قرطام,9f37f2e0-d8a1-40ff-a203-562306656bbe
البدرى احمد ضيف محمد,95295e30-74c6-477b-9af1-d5bfeba4fa1c
