riigi_id,name,birth_date,email,group,group_id,area,term,start_date,start_reason,end_date,end_reason,
8f01f37d-be79-47d2-b818-c51878a00628,Rein Ratas,1938-05-09,Rein.Ratas@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,Tallinna Mustamäe ja Nõmme linnaosa,13,,,2016-12-05,On sick leave,
f70a1d6a-aa98-4a6b-9ffb-ff2f45f9739c,Ivi Eenmaa,1943-06-02,Ivi.Eenmaa@riigikogu.ee,Eesti Reformierakonna fraktsioon,RE,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa",13,2015-04-09,Substitute member for Keit Pentus-Rosimannus,2015-07-15,Person she was substituting for resumed as an MP,
e0767645-54aa-4084-9dd3-ed196172dabb,Vladimir Velman,1945-09-25,Vladimir.Velman@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,Harju- ja Raplamaa,13,,,,,
afddc160-d868-4f2e-b3a6-3da9da83104e,Mark Soosaar,1946-01-12,Mark.Soosaar@riigikogu.ee,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Pärnumaa,13,2015-04-09,Substitute member for Indrek Saar,2016-11-24,Resigned,
07132cc4-5afc-4edb-9537-7c721ec39b2d,Enn Eesmaa,1946-06-07,Enn.Eesmaa@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Hiiu-, Lääne- ja Saaremaa ",13,,,,,
40766949-940e-4530-9377-1532bc22501b,Heimar Lenk,1946-09-17,Heimar.Lenk@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Võru-, Valga- ja Põlvamaa ",13,,,,,
d43974f1-4b85-4e61-b9f6-67535e1bf19f,Arno Sild,1947-04-26,Arno.Sild@riigikogu.ee,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,"Võru-, Valga- ja Põlvamaa ",13,,,,,
764a05b8-221d-4b65-b87b-a9b1f8b569fa,Jüri Adams,1947-11-22,Jyri.Adams@riigikogu.ee,Eesti Vabaerakonna fraktsioon,EVA,Tartu linn,13,,,,,
103bdae6-c980-4bd4-8e57-e8af4df13f4b,Ants Laaneots,1948-01-16,Ants.Laaneots@riigikogu.ee,Eesti Reformierakonna fraktsioon,RE,Tartu linn,13,,,,,
2240eda3-3fe9-457a-ab4f-2c52a4382c3c,Kalev Kallo,1948-12-06,Kalev.Kallo@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,2015-04-23,Became The Chairman of Tallinn City Council and resigned as an MP,
