id,name,image,gender,birth_date,given_name,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__VIAF,identifier__LCAuth,identifier__GND,identifier__discogs,name__et,name__en,identifier__freebase,wikipedia__et,wikipedia__en,identifier__ISNI,twitter,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ru,name__fr,name__be,name__es,name__ro,name__ca,name__oc,name__fi,name__uk,name__lv,name__it,name__be_tarask,name__de,name__cs,name__io,name__lt,name__nl,name__sk,name__sl,name__da,name__hr,name__la,name__sv,name__zh,name__nb,name__nn,name__fa,name__ka,name__tr,wikipedia__be_x_old,wikipedia__be,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__es,wikipedia__etwikiquote,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__zh,wikipedia__la,name__is,wikipedia__is,name__ja,wikipedia__ja,name__en_ca,name__en_gb,wikipedia__sv,name__ie,wikipedia__ie,name__id,wikipedia__id,wikipedia__plwikiquote,name__bar,name__af,name__an,name__ast,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hu,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sq,name__vec,name__vls,name__wa,identifier__SUDOC,name__ko,name__fo,wikipedia__ko,wikipedia__nn,wikipedia__sco,identifier__Munzinger,name__bg,wikipedia__bg,name__he,name__az,name__de_ch,name__el,name__vi,name__ar,name__ta,name__mk,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__el,wikipedia__he,wikipedia__lb,wikipedia__ruwikinews,wikipedia__ta,wikipedia__vi,identifier__parlement,website,original_wikiname,identifier__allmovie,name__mn,name__vro,wikipedia__fiu_vro,wikipedia__mn,identifier__IIAF,name__hy,wikipedia__hy,identifier__BNF,wikipedia__enwikiquote,wikipedia__hu,wikipedia__liwikiquote,death_date,name__yo,name__sr,name__se,name__pt_br,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__ga,wikipedia__gl,wikipedia__se,wikipedia__simple,wikipedia__sl,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__GTAA,identifier__NTA,identifier__FAST,identifier__SFDb,name__de_at,last_seen,identifier__AlloCine,identifier__elonet,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__PORT,identifier__senate_nl,identifier__PACE,wikipedia__tpi,wikipedia__hsb,name__hsb,name__tpi,name__bm,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sr_el,name__sw,name__vmf,name__vo,name__wo,name__zu,identifier__etis_ee,family_name,identifier__google_knowledge,occupation,identifier__snac,name__tt,name__ba,wikipedia__myv,wikipedia__af,identifier__ioc_athlete,name__sje,name__sma,name__smj,facebook,wikipedia__azwikiquote,identifier__Britannica,name__nys,identifier__NUKAT,identifier__BIBSYS,identifier__SELIBR,married_name,identifier__LNB,instagram,identifier__riigikogu,name__lfn,wikipedia__sq,name__myv,name__mi,identifier__CONOR,identifier__NKC,wikipedia__tt,name__lo,name__th,wikipedia__lo,wikipedia__th,wikipedia__hr,name__kana,name__azb,wikipedia__azb,name__ceb,name__fy,name__eml,name__dsb,name__mt,name__frr,name__sh,name__tl,name__uz,name__hif,name__ht,name__jv,name__ang,name__su,name__ay,name__aa,name__ace,name__bcl,name__bi,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__cu,name__diq,name__ext,name__ff,name__fj,name__gn,name__got,name__gv,name__hak,name__haw,name__hif_latn,name__ho,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kl,name__kr,name__ksh,name__ku_latn,name__kw,name__lad,name__lg,name__ln,name__ltg,name__map_bms,name__mh,name__mo,name__mus,name__mwl,name__my,name__na,name__nah,name__nov,name__nso,name__nv,name__om,name__pag,name__pam,name__pdc,name__pih,name__qu,name__rmy,name__rn,name__ruq_latn,name__rw,name__sg,name__shi_latn,name__sm,name__sn,name__so,name__srn,name__ss,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__ts,name__tt_latn,name__tum,name__tw,name__ty,name__ug_latn,name__ve,name__vep,name__war,name__xh,name__za,name__zea,name__ak,name__aln,name__arn,name__cbk_zam,name__chr,name__ee,name__fit,name__gag,name__dtp,name__ha,name__iu
Q11023034,Ivi Eenmaa,"https://upload.wikimedia.org/wikipedia/commons/b/b2/Eenmaa,_Ivi.IMG_0385.JPG",female,1943-06-02,Ivi,,,,30871246,n81143699,,,Ivi Eenmaa,Ivi Eenmaa,,Ivi Eenmaa,Ivi Eenmaa,0000 0000 2658 8923,,,,,,,,,,Иви Ээнмаа,Ivi Eenmaa,,Ivi Eenmaa,,,,Ivi Eenmaa,,,,,Ivi Eenmaa,,,,Ivi Eenmaa,,Ivi Eenmaa,Ivi Eenmaa,,,Ivi Eenmaa,,Ivi Eenmaa,Ivi Eenmaa,,,,,,,Category:Ivi Eenmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivi Eenmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이비 엔마,,이비 엔마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eenmaa,,politician,,,,,,,,,,,,,,,,,,,,f70a1d6a-aa98-4a6b-9ffb-ff2f45f9739c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11032994,Urve Tiidus,https://upload.wikimedia.org/wikipedia/commons/6/6d/RE_Urve_Tiidus.jpg,female,1954-06-06,Urve,,,,,,,,Urve Tiidus,Urve Tiidus,,Urve Tiidus,Urve Tiidus,,urvetiidus,,,,,,,,Urve Tiidus,,Urve Tiidus,,Urve Tiidus,,,,Urve Tiidus,,,Urve Tiidus,,Urve Tiidus,,,,Urve Tiidus,,Urve Tiidus,,,Urve Tiidus,,烏芙·提杜斯,,,,,,,,,Category:Urve Tiidus,,,Urve Tiidus,,,,Urve Tiidus,Urve Tiidus,,Urve Tiidus,,,,,,,Urve Tiidus,,,,,,,,Urve Tiidus,,,,,,,,,,,,,,,,Urve Tiidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורבה טידוס,,,,,,,,,,,,אורבה טידוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,utiidus,,,,,,,,,,0c571754-914d-406a-baba-6734212353de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11158997,Sven Sester,https://upload.wikimedia.org/wikipedia/commons/e/e8/IRL_Sven_Sester.jpg,male,1969-07-14,Sven,,,,,,,,Sven Sester,Sven Sester,/m/0t_g1hj,Sven Sester,Sven Sester,,SvenSester,,,,,,,,Sven Sester,Свен Сестер,Sven Sester,,Sven Sester,,,,Sven Sester,,,,,Sven Sester,,,,Sven Sester,,Sven Sester,,,,Sven Sester,,,,,,,,,,Category:Sven Sester,,,Sven Sester,,,,Sven Sester,Sven Sester,,,,,,,,,Sven Sester,,,"Сестер, Свен",,,,,,,,,,,,Sven Sester,,,,,,,,,Sven Sester,,,,,,,,,,,,Sven Sester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sester,,politician,,,,,,,,,,sven.sester1,,,,,,,,,,4c3d9559-69ad-4e75-a188-94eae98786fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1149033,Tõnis Lukas,https://upload.wikimedia.org/wikipedia/commons/d/dc/Estonian_education_minister_Tõnis_Lukas_in_Tartu_18_October_2007.jpg,male,1962-06-05,Tõnis,,,,40216450,no98112509,120715899,,Tõnis Lukas,Tõnis Lukas,/m/08v2g3,Tõnis Lukas,Tõnis Lukas,0000 0000 8119 6084,,Tõnis Lukas,,,,,,,Tõnis Lukas,"Лукас, Тынис",Tõnis Lukas,,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,,Tõnis Lukas,,,,,Tõnis Lukas,Tõnis Lukas,,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,Tõnis Lukas,,Tõnis Lukas,Tõnis Lukas,,,,,,,Category:Tõnis Lukas,,,Tõnis Lukas,Tõnis Lukas,,,,Tõnis Lukas,,,,,,,,,Tõnis Lukas,,,"Лукас, Тынис",,,,,,,,,,,,,,,,,,,,,Tõnis Lukas,,,,,,,,,,,,Tõnis Lukas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.lukas.ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180430513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11716283,Margus Tsahkna,https://upload.wikimedia.org/wikipedia/commons/5/58/IRL_Margus_Tsahkna.jpg,male,1977-04-13,Margus,,,,,,,,Margus Tsahkna,Margus Tsahkna,/m/0t_ccjr,Margus Tsahkna,Margus Tsahkna,,tsahkna,,,,,,,,Margus Tsahkna,Маргус Тсахкна,Margus Tsahkna,,Margus Tsahkna,,,,Margus Tsahkna,,,,,Margus Tsahkna,,,,Margus Tsahkna,,Margus Tsahkna,,,,Margus Tsahkna,,,,,,,,,,Category:Margus Tsahkna,,,Margus Tsahkna,,Margus Tsahkna,,Margus Tsahkna,Margus Tsahkna,,,,,,,,,Margus Tsahkna,,,"Тсахкна, Маргус",,,,,,,,,,,,Margus Tsahkna,,,,,,,,,Margus Tsahkna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margus Tsahkna,,,,,,,,,,,,Margus Tsahkna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,margus.tsahkna,,,,,,,,,,db788688-d7a6-4af8-8cee-3004adb948f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11857954,Enn Eesmaa,https://upload.wikimedia.org/wikipedia/commons/f/fe/KE_Enn_Eesmaa.jpg,male,1946-06-07,Enn,,,,7485149544617600490005,,,,Enn Eesmaa,Enn Eesmaa,,Enn Eesmaa,,,,,,,,,,,,,Enn Eesmaa,,Enn Eesmaa,,,,Enn Eesmaa,,,,,,,,,,,Enn Eesmaa,,,,,,,,,,,,,,Category:Enn Eesmaa,,,,,,,Enn Eesmaa,,,,,,,,,,Enn Eesmaa,,,,,,,,,,,,,,,,,,,,,,,,Enn Eesmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eesmaa,,journalist,,,,,,,,,,EnnEesmaa,,,,,,,,,,07132cc4-5afc-4edb-9537-7c721ec39b2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11869065,Kaja Kallas,https://upload.wikimedia.org/wikipedia/commons/6/6b/Kaja_Kallas_(36784407542)_(cropped).jpg,female,1977-06-18,Kaja,,,124697,5603153411798241700005,,1179786629,,Kaja Kallas,Kaja Kallas,/m/012tvcbp,Kaja Kallas,Kaja Kallas,,kajakallas,,,,,,,,Kaja Kallas,Кая Каллас,Kaja Kallas,,Kaja Kallas,,Kaja Kallas,,Kaja Kallas,Кая Каллас,Kaja Kallasa,Kaja Kallas,,Kaja Kallas,Kaja Kallas,,,Kaja Kallas,Kaja Kallas,Kaja Kallas,,,,Kaja Kallas,,Kaja Kallas,Kaja Kallas,,,,,,Kaja Kallas,Category:Kaja Kallas,,,Kaja Kallas,Kaja Kallas,Kaja Kallas,,Kaja Kallas,Kaja Kallas,,Kaja Kallas,,,Kaja Kallasa,Kaja Kallas,Kaja Kallas,,Kaja Kallas,,,"Каллас, Кая",,Кая Каллас,,,,,,,,,,Kaja Kallas,Kaja Kallas,Kaja Kallas,,,,,,,Kaja Kallas,,,,,,Kaja Kallas,,,,,,Kaja Kallas,Kaja Kallas,,,,,,,,,,Kaja Kallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaja Kallas,,,,,http://www.europarl.europa.eu/meps/en/124697/KAJA_KALLAS_home.html,,,,,,,,,,,,Kaja Kallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kallas,,politician,,,,,,,,,,kaja.kallas,,,,,,,,,kajakallas,c7d52089-6129-468f-8789-9c4cf742b908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11869429,Kalle Palling,https://upload.wikimedia.org/wikipedia/commons/b/b5/RE_Kalle_Palling.jpg,male,1985-02-27,Kalle,,,,,,,,Kalle Palling,Kalle Palling,,Kalle Palling,Kalle Palling,,KallePalling,,,,,,,,,,Kalle Palling,,Kalle Palling,,,,Kalle Palling,,,,,,,,,,,Kalle Palling,,,,,,,,,,,,,,Category:Kalle Palling,,,,,,,Kalle Palling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalle Palling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palling,,politician,,,,,,,,,,palling,,,,,,,,,,ca5eb437-2288-4945-bc12-325f98008ed3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12358062,Aadu Must,https://upload.wikimedia.org/wikipedia/commons/8/8f/Aadu_Must.jpg,male,1951-03-25,Aadu,,,,,n86009271,,,Aadu Must,Aadu Must,,Aadu Must,,0000 0000 2562 7134,,Aadu Must,,,,,,,Aadu Must,,Aadu Must,,Aadu Must,Aadu Must,Aadu Must,,Aadu Must,,,Aadu Must,,Aadu Must,Aadu Must,,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,,Aadu Must,,Aadu Must,Aadu Must,,,Aadu Must,,,,Category:Aadu Must,,,,,,,,,,,,,,,,,,,,,,,,,,Aadu Must,,,,,,,,,,,,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,Aadu Must,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aadu_Must,Must,,politician,,,,,,,,,,100000744087901,,,,,,,,,,233ac42e-573c-400e-8568-0ac3d4c107f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12358088,Aare Heinvee,https://upload.wikimedia.org/wikipedia/commons/e/e6/RE_Aare_Heinvee.jpg,male,1956-09-27,Aare,,,,,,,,Aare Heinvee,Aare Heinvee,,Aare Heinvee,,,,,,,,,,,,,Aare Heinvee,,Aare Heinvee,,,,Aare Heinvee,,,,,,,,,,,Aare Heinvee,,,,,,,,,,,,,,Category:Aare Heinvee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aare Heinvee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinvee,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
