id,name,sort_name,party,constituency,area,term,wikiname,source,notes,end_date,start_date,death_date
jan_van_aken_(politiker),Jan van Aken,"Aken, Jan van",DIE LINKE,"",Hamburg,18,Jan van Aken (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
stephan_albani,Stephan Albani,"Albani, Stephan",CDU,"",Niedersachsen,18,Stephan Albani,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
katrin_albsteiger,Katrin Albsteiger,"Albsteiger, Katrin",CSU,"",Bayern,18,Katrin Albsteiger,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
agnes_alpers,Agnes Alpers,"Alpers, Agnes",DIE LINKE,"",Bremen,18,Agnes Alpers,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),ausgeschieden am 2. März 2015[3],2015-03-02,,
peter_altmaier,Peter Altmaier,"Altmaier, Peter",CDU,Saarlouis,Saarland,18,Peter Altmaier,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
luise_amtsberg,Luise Amtsberg,"Amtsberg, Luise",GRÜNE,"",Schleswig-Holstein,18,Luise Amtsberg,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
kerstin_andreae,Kerstin Andreae,"Andreae, Kerstin",GRÜNE,"",Baden-Württemberg,18,Kerstin Andreae,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
niels_annen,Niels Annen,"Annen, Niels",SPD,Hamburg-Eimsbüttel,Hamburg,18,Niels Annen,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
ingrid_arndt-brauer,Ingrid Arndt-Brauer,"Arndt-Brauer, Ingrid",SPD,"",Nordrhein-Westfalen,18,Ingrid Arndt-Brauer,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
rainer_arnold,Rainer Arnold,"Arnold, Rainer",SPD,"",Baden-Württemberg,18,Rainer Arnold,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
artur_auernhammer,Artur Auernhammer,"Auernhammer, Artur",CSU,"",Bayern,18,Artur Auernhammer,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
heike_baehrens,Heike Baehrens,"Baehrens, Heike",SPD,"",Baden-Württemberg,18,Heike Baehrens,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
annalena_baerbock,Annalena Baerbock,"Baerbock, Annalena!",GRÜNE,"",Brandenburg,18,Annalena Baerbock,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
ulrike_bahr,Ulrike Bahr,"Bahr, Ulrike",SPD,"",Bayern,18,Ulrike Bahr,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
dorothee_bär,Dorothee Bär,"Bar, Dorothee!",CSU,Bad Kissingen,Bayern,18,Dorothee Bär,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
heinz-joachim_barchmann,Heinz-Joachim Barchmann,"Barchmann, Heinz-Joachim!",SPD,"",Niedersachsen,18,Heinz-Joachim Barchmann,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
thomas_bareiß,Thomas Bareiß,"Bareiss, Thomas!",CDU,Zollernalb – Sigmaringen,Baden-Württemberg,18,Thomas Bareiß,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
katarina_barley,Katarina Barley,"Barley, Katarina",SPD,"",Rheinland-Pfalz,18,Katarina Barley,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
doris_barnett,Doris Barnett,"Barnett, Doris!",SPD,"",Rheinland-Pfalz,18,Doris Barnett,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
hans-peter_bartels,Hans-Peter Bartels,"Bartels, Hans-Peter!",SPD,Kiel,Schleswig-Holstein,18,Hans-Peter Bartels,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),ausgeschieden am 20. Mai 2015[4][5],2015-05-20,,
klaus_barthel,Klaus Barthel,"Barthel, Klaus!",SPD,"",Bayern,18,Klaus Barthel,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
norbert_barthle,Norbert Barthle,"Barthle, Norbert!",CDU,Backnang – Schwäbisch Gmünd,Baden-Württemberg,18,Norbert Barthle,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(18._Wahlperiode),,,,
