id,name,position,start_date,end_date,type
0aa1c778-7f99-4a5c-8247-2afefa00c3ac,Rolf Dahlgrün,Federal Minister of Finance,1962-12-13,1966-10-28,cabinet
734e533e-8eba-4b76-b9a6-d2340195a13a,Joschka Fischer,Vice-Chancellor of Germany,1998-10-27,2005-11-22,cabinet
734e533e-8eba-4b76-b9a6-d2340195a13a,Joschka Fischer,Federal Minister for Foreign Affairs,1998-10-27,2005-11-22,cabinet
b72ff202-a0ca-43e2-b36c-43566442d5b7,Ronald Pofalla,Federal Minister for Special Affairs of Germany,2009-10-28,2013-12-17,cabinet
f01d566b-8cab-4b58-9222-f30b661ca1c2,Kai-Uwe von Hassel,Federal Minister of Defence,1963-01-09,1966-12-01,cabinet
4173a2ce-4772-4edc-b2c8-d5bf63db0e19,Peter Altmaier,Federal Minister for Special Affairs of Germany,2013-12-17,"",cabinet
950c6fdb-ccaa-42f9-98fc-3a9797b7179d,Franz Etzel,Federal Minister of Finance,1957-10-29,1961-11-14,cabinet
0cc431ec-6c1f-4e68-8be7-ec6b9fe66177,Kurt Schmücker,Federal Minister of Finance,1966-11-08,1966-11-30,cabinet
e8c17bef-c17d-4f9c-9b0e-93784c314508,Rudolf Seiters,Federal Minister of the Interior,1991-11-26,1993-07-04,cabinet
ee330e53-5482-4ce3-aab9-d7c8621c1d9c,Karl Ravens,Federal Minister of the Interior,"","",cabinet
