uuid,female,male,other,skip,total
02357a00-e313-4a69-a04b-c1d081b53aa5,0,4,1,0,5
05f162a1-dc80-48b6-a17b-c2766ce4225f,0,5,0,1,6
06b47fea-c45e-4af5-abc2-5f60c9a4a104,7,0,0,0,7
076afe40-849a-4667-90e4-887725d19b8d,0,4,1,1,6
085a1854-c415-42b0-8140-23c1321fbc84,0,10,0,0,10
0a228d34-6808-4522-8a0e-112ec527fec6,0,4,1,3,8
0f6a0603-1fd3-4fe6-b899-b4f1532cad71,0,5,1,2,8
0fac307b-389a-4cf5-8721-b5e6e4c7ed64,10,0,0,0,10
11d6d401-da1c-4e23-bbed-ea548cf08c6f,0,4,1,2,7
130b5cd3-3756-477b-99a8-e5dc76f24b90,0,4,0,2,6
14b808c6-7afd-4d84-ba69-6d997d553bcc,0,5,0,1,6
154cfbef-6e39-45a0-a1d2-a059517f8f14,9,0,0,0,9
1669986a-148f-4b6b-9776-17a9ed36305c,4,0,1,3,8
16f99345-b632-4426-9ab8-14b2033e487f,10,0,0,0,10
175df0d9-3477-48ee-9241-9ad5584b13e3,0,7,0,0,7
17ba9f5c-28ab-48be-9ea9-a5b92c30de04,0,7,0,0,7
1bd62d57-6c61-446e-b4db-eb5884f608f7,0,4,0,2,6
1c277514-c550-4975-a729-015ab6fb392b,0,4,1,0,5
1cd6e45f-d183-448e-ae50-5edc3b9c1bf7,8,0,0,0,8
2303d6d9-7741-4bc5-8a85-81126dee4dc0,0,3,0,3,6
2305611c-f3f8-4af8-8098-eed02321768b,10,0,0,0,10
231b19af-3c8b-4679-b068-08f90b46fd43,0,7,0,0,7
237d0698-52f7-4154-8420-c1a75f605fc5,0,4,1,2,7
257fd745-afc0-483b-bd4b-311525aa5f1f,0,9,0,0,9
270b129f-c7da-4f16-8642-c7e17d202144,7,0,0,0,7
2f35016e-fcea-4471-94c0-5d8b9c0b5d8f,0,4,0,2,6
2f830c08-28cf-4cad-9097-cb92234a2485,0,10,0,0,10
2fd68637-f1c3-4f47-871a-16e4ab976336,0,5,0,0,5
36536ca5-f1f1-47a2-a56f-5720e64f5114,0,8,0,0,8
3729aa6a-075e-4710-99a0-9ed7c4c680f6,0,8,0,0,8
3962d4c1-e4c3-41bd-b093-d9ccd2e16947,0,6,1,1,8
39a1691b-1358-4bdb-87dd-0c4dfc8ccd8d,0,4,1,5,10
3c90fcd8-eb54-4050-a03f-08e92a8d002c,0,2,1,5,8
3d28ad89-c16e-4fc4-b937-de978e17c424,0,9,0,0,9
3e6f01cd-df2e-49d7-9ea2-e203fe212c2d,1,7,0,1,9
4078ca9d-c7db-4819-bf34-2cfba9c0abb6,0,5,0,1,6
42d810f6-7b37-45bb-9332-0dcc91a8496e,0,5,0,1,6
46496127-81ca-4f82-b11a-d402915029c7,0,4,0,2,6
467ef2a6-860b-44e3-9df9-46be8570c175,4,0,1,4,9
469d7f47-aa2d-4be2-be64-e05b3fad9387,0,9,0,0,9
