name,region,area_id,area,party,term,source
A. Rodon BIEN-AIMÉ,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:4,Cerca Carvajal et le quartier de Los Palis,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Abel DESCOLINES,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:mirebalais/circonscription:1,Mirebalais et Boucan Carré,LAVNI,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Acilus GROS-NÈGRE,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:port-de-paix/circonscription:3,La Tortue,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Almétis Junior SAINT FLEUR,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:7,Cité Soleil,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Altes TOUSSAINT,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:1,St. Marc,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Amos DURBOIRANT,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:2,Belladère,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
André Gustave LOUIS,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:5,Kenscoff,RASANBLE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Arinks JEAN-PIERRE,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:trou_du_nord/circonscription:3,Terrier Rouge,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Arnel BÉLIZAIRE,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:6,Delmas et Tabarre,VEYE-YO,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Astrel DOLNÉ,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:côteaux/circonscription:1,Coteaux,LIBÉRATION,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Beguens THÉUS,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:la_gonave/circonscription:1,Anse-à-Galets et Pointe-à-Raquette,MOCHRENA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Benjamin OCINJAK,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:grande_rivière_du_nord/circonscription:1,Grande-Rivière du Nord et Bahon,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Bertrand SINAL,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:port-salut/circonscription:1,Port-Salut,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Bilgot COLAS,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:fort-liberté/circonscription:1,"Fort-Liberté, Ferrier et Perches",ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Chancy CHOLZER,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:3,Ennery,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Denius FRANCENET,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:anse_à_veau/circonscription:2,Asile,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Dieujuste JOHNSON,DÉPARTEMENT du NORD-OUEST,ocd-division/country:ht/departement:nord-ouest/arrondissement:môle_saint_nicolas/circonscription:3,Jean Rabel,PONT,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Dionald POLYTE (1),DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:corail/circonscription:2,Pestel et Beaumont,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Dupner CLÉMENT,DÉPARTEMENT du NIPPES,ocd-division/country:ht/departement:nippes/arrondissement:baradères/circonscription:1,Baradères et Grand Boucan,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
E. F. Gérard BOURJOLLY,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:1,Aquin,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Elie BLAISE,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:8,Carrefour,MAS,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Fanel SALOMON,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:3,La Chapelle,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
François MALHERBE,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:bainet/circonscription:1,Bainet,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
François SANOZIER,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:croix_des_bouquets/circonscription:2,Fonds Verrettes et Ganthier,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Fritz CHERY,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:1,Gros Morne,AAA,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Frédély GEORGES,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:port-au-prince/circonscription:4,Pétion-Ville,REPONS PEYIZAN,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
G. Vernex CYRIUS,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:2,Pte Rivière de l’Artibonite,RASANBLE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Gandhy DORFEUILLE,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:aquin/circonscription:2,Cavaillon et St Louis du Sud,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Garcia DELVA,DÉPARTEMENT de l’ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:1,Dessalines,LAVNI,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Gilbert AUGUSTIN,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:hinche/circonscription:1,Hinche,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Guerda B. BENJAMIN,DÉPARTEMENT du CENTRE,ocd-division/country:ht/departement:centre/arrondissement:lascahobas/circonscription:3,Savanette et le quartier de Baptiste,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Guy Gérard GEORGES,DÉPARTEMENT du SUD,ocd-division/country:ht/departement:sud/arrondissement:cayes/circonscription:2,Torbeck et de Chantal,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Harold CHÉRY,DÉPARTEMENT du NORD,ocd-division/country:ht/departement:nord/arrondissement:saint_raphael/circonscription:1,Saint Raphael et Dondon,RASANBLE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jacinthe SOREL,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:jérémie/circonscription:3,Moron et Chamberllan,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Acklush LOUIS JEUNE,DÉPARTEMENT de la GRANDE ANSE,ocd-division/country:ht/departement:grande_anse/arrondissement:anse_d’hainault/circonscription:2,Dame Marie,ALTERNATIVE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Bertold BASTIEN,DÉPARTEMENT du NORD-EST,ocd-division/country:ht/departement:nord-est/arrondissement:vallières/circonscription:1,"Vallières, Carice et Mombrun Crochu",INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Camilles DESMARATATTES,DÉPARTEMENT du SUD-EST,ocd-division/country:ht/departement:sud-est/arrondissement:belle_anse/circonscription:2,Thiotte et Grand Gosier,INITE,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
Jean Danton LEGER,DÉPARTEMENT de l’OUEST,ocd-division/country:ht/departement:ouest/arrondissement:léogâne/circonscription:1,Léogâne,ANSANM NOU FÒ,2011,https://www.haiti-reference.com/pages/plan/politique/pouvoir-legislatif/49eme-legislature/
