id,wikidata
"accountancy",Q4672761
"agriculture_and_fisheries",Q3248948
"architectural,_surveying_and_planning",Q3249080
"architectural,_surveying,_planning_and_landscape",Q30657986
"catering",Q5051926
"commercial_(first)",Q3248609
"commercial_(second)",Q3248782
"district_council_(first)",Q5283289
"district_council_(second)",Q5283291
"education",Q3248767
"engineering",Q5377807
"finance",Q3248972
"financial_services",Q5449654
"health_services",Q5301966
"heung_yee_kuk",Q3248929
"hong_kong_island",Q3248921
"import_and_export",Q6007397
"industrial_(first)",Q3248751
"industrial_(second)",Q3248622
"information_technology",Q6030879
"insurance",Q3248942
"kowloon_east",Q10879608
"kowloon_west",Q10879625
"labour",Q6467372
"legal",Q3248636
"medical",Q3248957
"new_territories_east",Q11083612
"new_territories_west",Q1099862
"real_estate_and_construction",Q7300911
"social_welfare",Q3249071
"sports,_performing_arts,_culture_and_publication",Q7579643
"textiles_and_garment",Q7708490
"tourism",Q7829082
"transport",Q3248982
"wholesale_&amp;_retail",Q7997580
