uuid,female,male,other,skip,total
02580c9d-7407-4010-9957-dfcd90963036,0,1,0,0,1
02f65fa3-f861-42ec-aee4-2f48812d36a1,0,1,0,0,1
045caeee-02a6-4e14-9893-956c581aeef6,0,1,0,0,1
054f87a7-f5a0-4251-b618-7b3b2e39ff86,0,5,0,0,5
071082fe-048a-452a-8785-d24610c1b7cb,0,1,0,0,1
076ab17c-a308-4c3e-a71c-061f0cb4cb8b,0,5,0,0,5
0a9e7d83-ac89-4180-bba8-39f787ed2165,0,1,0,0,1
0b4f3fa8-8dd6-43f2-b4fd-3fbb5b53029f,0,1,0,0,1
0c097140-ed8d-4006-998d-2b61c04b2c8f,0,1,0,0,1
0c307842-da0d-4ea6-abd4-6c375a619137,0,3,0,0,3
0e893752-7bd3-40b5-8dcb-de9bb9a11961,0,1,0,0,1
0f00f9b3-6ff5-4229-8d76-10e78542ccbc,0,5,0,0,5
0f13097a-5129-4bef-94c2-66b996be202a,0,1,0,0,1
1125430a-a1e2-4c2d-b261-40ef5e95aa32,5,0,0,0,5
12e41f23-ec39-4f38-a835-c87a9ba4aecf,0,1,0,0,1
12fe2921-789f-46e3-867d-3fac583b1537,0,1,0,0,1
1317b01d-7da3-4800-87c8-73f4f0b4f0b1,0,1,0,0,1
1416d758-5c88-49d8-b185-3b39ecda3393,0,1,0,0,1
1908ae9d-e66d-435f-b8d0-d91d0ff634b3,0,5,0,0,5
1a2f36eb-13ec-4882-8835-34200a5b457c,0,1,0,0,1
1a7ebf9b-9090-4e6f-883d-ed950e8422f4,0,1,0,0,1
1d985468-1b5a-4e21-a80a-281be31bc1a4,0,5,0,0,5
1da76c7b-a61a-4510-b49a-05fce7680e8b,0,1,0,0,1
1e790a3c-5195-46cf-8641-089b817b407d,0,1,0,0,1
1ebe95d9-b55a-43df-830e-f0b9135ad243,0,1,0,0,1
1f69fdff-9024-4187-882e-66c0cfd37e38,1,0,0,0,1
21938fb2-5bd5-45d1-897f-f1e91d31414a,1,0,0,0,1
21c390b8-c66e-4ffe-9f0f-5a4ca8bc208e,0,5,0,0,5
22cd724b-6521-4009-884e-c4b81d4d225f,0,1,0,0,1
24bbaefc-5790-483f-beab-ffe92b109f07,0,1,0,0,1
26196a29-0880-42da-bc0f-2b00c0027128,0,5,0,0,5
264f8847-059c-42ca-8714-4716735a64cc,0,1,0,0,1
2716e831-9158-45b6-926b-aa01ad15c054,1,0,0,0,1
27441808-474d-4a03-80e9-d69837888cd6,0,1,0,0,1
27ab7a4a-9963-40f3-8cf1-a8554e62263b,0,1,0,0,1
2aaec783-a51c-4394-9e21-636fae06dbfd,0,1,0,0,1
2ac33939-33eb-4586-84a7-014aae1315c9,0,1,0,0,1
2b8a3b00-8845-443d-9226-2138fb637aa9,0,1,0,0,1
2d0ecbd4-d03d-49dc-8145-4893a3367178,0,1,0,0,1
2d1c5964-a614-49af-a084-875fcd78557f,0,5,0,0,5
2dcca675-6c86-44da-8014-c401dd68aad7,0,1,0,0,1
