id,position,label,description,start_date,term,election,constituency,end_date,replaced_by,replaces,of
Q1001652,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1002295,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1030572,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1033823,Q17590876,member of the National Assembly of Hungary,"",2010-05-14,2010-2014 legislative term,"Hungarian parliamentary election, 2010",,2014-05-05,,,
Q1033823,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1034272,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1034272,Q23645103,Secretary of State for Territorial Public Administration,Hungarian cabinet position,2014-06,,,,,,,
Q1034272,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,Pápa
Q1036797,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1106808,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1109835,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1119377,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1121571,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1124989,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Electoral district Hajdú-Bihar megye 1.,,,,
Q1124989,Q1937160,minister without portfolio,type of government minister,2017-10-02,,,,,,,
Q1124989,Q2922332,,"",1998,,,,2014,,,Debrecen
Q1126905,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1129709,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1160274,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1162305,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1177629,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1218911,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,2016-08-31,,,
Q1219426,Q1119126,,"","",,,,,,,
Q1219426,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Heves County 01,,,,
Q1220884,Q17590876,member of the National Assembly of Hungary,"","",,,,,,,
Q1220884,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1233411,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1249804,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1249804,Q50586423,chief of staff of the Prime Minister of Hungary,cabinet position in Hungary,2015-10-01,,,,,,,
Q1251513,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,2017-06-21,,,
Q1252959,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1253088,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1253225,Q17590876,member of the National Assembly of Hungary,"",2014-09-15,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q12814518,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q12815357,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1286949,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1288461,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1288461,Q282907,Minister of Defence of Hungary,Hungary's national defense and armed forces minister,2015-09-10,,,,,,Csaba Hende,
Q1289595,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1289879,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1289879,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,
Q1289879,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q1293787,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1298491,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1301603,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Somogy County 03,,,,
Q1301751,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1321047,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 04,,,,
Q1325390,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1326139,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Borsod-Abaúj-Zemplén County 01,,,,
Q13813421,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1400478,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1400478,Q736559,Secretary of State,minister or senior civil servant in the government of a state,2010,,,,,,,
Q1401561,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Békés County 01,,,,
Q1401770,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Borsod-Abaúj-Zemplén County 02,,,,
Q1401791,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1401791,Q50586209,Minister of National Economy of Hungary,"",2013-03-07,,,,,,,
Q1460900,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1463083,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1463083,Q766504,undersecretary,executive government official in many countries,"",,,,,,,
Q1468057,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1468102,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1469363,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15123628,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15126327,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Electoral district Hajdú-Bihar megye 3.,,,,
Q15126327,Q766504,undersecretary,executive government official in many countries,"",,,,,,,
Q15710456,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15742514,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15844871,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15889340,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q15991655,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 06,,,,
Q16121838,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16152024,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Electoral district Hajdú-Bihar megye 4.,,,,
Q16186780,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16186780,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,Sixth European Parliament,"European Parliament election in Hungary, 2004",,2004-07-19,,,
Q16187286,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Borsod-Abaúj-Zemplén County 03,,,,
Q16193417,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16193422,Q1622272,university teacher,person teaching at a university,"",,,,,,,
Q16193422,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 02,,,,
Q16193422,Q462390,docent,person who teaches at universities and educational institutions,"",,,,,,,
Q16193903,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16194248,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 11,,,,
Q16194381,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16194594,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Heves County 02,,,,
Q16194811,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 06,,,,
Q16194836,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Electoral district Hajdú-Bihar megye 6.,,,,
Q16194839,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16194851,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16195271,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Jász-Nagykun-Szolnok County 02,,,,
Q16195353,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Heves County 03,,,,
Q16195749,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Pest county individual election district Nr. 10,,,,
Q16195821,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 07,,,,
Q16195844,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16195884,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16196219,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Electoral district Hajdú-Bihar megye 2.,,,,
Q16196750,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16197170,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16197309,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16201211,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 03,,,,
Q16201211,Q50586281,,"",2014-06-06,,,,,,,
Q16201735,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16205946,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16206215,Q17590876,member of the National Assembly of Hungary,"",2006-05-16,2006-2010 legislative term,,,2010,,,
Q16206215,Q17590876,member of the National Assembly of Hungary,"",2010,2010-2014 legislative term,,,2014,,,
Q16206215,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16215101,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Békés County 01,,,,
Q16215426,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Borsod-Abaúj-Zemplén County 06,,,,
Q16215589,Q17590876,member of the National Assembly of Hungary,"",2010,2010-2014 legislative term,,,2014,,,
Q16215589,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16216558,Q17590876,member of the National Assembly of Hungary,"",2013-03-04,2010-2014 legislative term,,,2014-05-05,,,
Q16216558,Q17590876,member of the National Assembly of Hungary,"",2017-09-18,2014–2018 legislative term,,,,,,
Q16511994,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16511994,Q30461,president,"leader of a country or part of a country, usually in republics",2014-07-19,,,,2016-06-25,Gyula Molnár,László Botka,Hungarian Socialist Party
Q16512139,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16519202,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16521102,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16521368,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q16729034,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 12,,,,
Q16729643,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q17057169,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q172301,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q17530757,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q18616026,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q18766865,Q17590876,member of the National Assembly of Hungary,"",2014-12-08,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q191337,Q17278782,Minister of Youth Affairs and Sports in Hungary,"",2003-05-18,,,,2004-09-27,,György Jánosi,
Q191337,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q191337,Q3315094,Prime Minister of Hungary,"",2004-09-29,,,,2009-04-14,Gordon Bajnai,Péter Medgyessy,
Q19360273,Q17590876,member of the National Assembly of Hungary,"",2015-03-16,2014–2018 legislative term,,,,,,
Q1959858,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q1959858,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q19758762,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Szabolcs-Szatmár-Bereg County 01,,,,
Q19803266,Q17590876,member of the National Assembly of Hungary,"",2015-05-11,2014–2018 legislative term,,,,,,
Q20436683,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q20437417,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q20438122,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",Individual Constituency No. Pest County 05,,,,
Q20895279,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q20895279,Q736559,Secretary of State,minister or senior civil servant in the government of a state,"",,,,,,,
Q218882,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q218882,Q24205239,Minister of Human Capacities of Hungary,"Hungarian cabinet position, with responsibility for education, healths and social affairs",2012-05-14,,,,,,Miklós Réthelyi,
Q21995217,Q17590876,member of the National Assembly of Hungary,"",2014-10-27,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
Q22007029,Q17590876,member of the National Assembly of Hungary,"",2014-05-06,2014–2018 legislative term,"Hungarian parliamentary election, 2014",,,,,
