id,name,province_en,province,area,party,website,source,blog,facebook,role,other-role
ALB-001,عزیز اکبریان,Alborz,البرز,کرج,جبهه متحد - جبهه ایستادگی,http://www.akbariyan.com/,,,,نایب رئیس اول کمیسیون صنایع و معادن,
ALB-002,محمدجواد کولیوند,Alborz,البرز,کرج,جبهه متحد – جبهه ایستادگی,http://www.mj-kolivand.com/,,,,نایب رئیس اول کمیسیون شوراها و امور داخلی کشور,
ALB-003,مفید کیائی نژاد,Alborz,البرز,ساوجبلاغ / طالقان,جبهه متحد – جبهه پایداری,http://kiaeenejhad.blogfa.com/,,,,عضو کمیسیون فرهنگی,
ARD-001,یونس اسدی,Ardabil,اردبیل,مشکین شهر,اصلاح طلب,http://asadi-y.ir,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,
ARD-002,مصطفی افضلی فرد,Ardabil,اردبیل,اردبيل، نير و نمين,جبهه پایداری - جبهه متحد,http://mostafa-afzalifard.ir/,,,,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,
ARD-003,حبیب برومند داشقاپو,Ardabil,اردبیل,پارس‌آباد و بيله‌سوار,مستقل,http://brumand.ir/fa/index.php?Page=frontpage,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,
ARD-004,کمال الدین پیرموذن,Ardabil,اردبیل,اردبيل، نير و نمين,اصلاح طلب ,http://kamalpirmoazzen.persianblog.ir/,,,,عضو کمیسیون صنایع و معادن,
ARD-005,جلیل جعفری بنه خلخال,Ardabil,اردبیل,ﺧﻠﺨﺎل وﻛﻮﺛﺮ,مستقل,http://www.dr-jafari.com/,,,,عضو کمیسیون انرژی,
ARD-006,منصور حقیقت پور,Ardabil,اردبیل,اردبيل، نير و نمين,جبهه متحد - جبهه پایداری- جبهه ایستادگی,http://haghighatpour.org/start/,,,,نایب رئیس دوم کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون تحقیق
ARD-007,میرقسمت موسوی اصل,Ardabil,اردبیل,گرمی,جبهه متحد - جبهه ایستادگی,http://mosaviasl.ir/,,,,عضو کمیسیون آموزش و تحقیقات,
BUS-001,موسی احمدی ,‌Bushehr,بوشهر,دیر،کنگان و جم    ,جبهه متحد - جبهه پایداری,http://atieyeh.ir/,,,,دبیر دوم کمیسیون انرژی,عضو کمیسیون اصل نودم قانون اساسی مجلس
BUS-002,سیدمحمدمهدی پورفاطمی   ,‌Bushehr,بوشهر,دشتی و تنگستان      ,اصلاح طلب,http://www.porfatemi.ir/ ,,,https://www.facebook.com/porfatemi,عضو کمیسیون اجتماعی,
BUS-003,عبدالکریم جمیری     ,‌Bushehr,بوشهر,بوشهر ديلم و گناوه ,جبهه متحد – جبهه پایداری  ,http://www.jamiri.ir/,,,,عضو کمیسیون انرژی,
BUS-004,سیدمهدی موسوی نژاد   ,‌Bushehr,بوشهر,دشتستان    ,جبهه متحد - جبهه پایداری ,http://www.taklif.ir/,,,,عضو کمیسیون انرژی,
CMB-001,مجيد جليل‌سرقلعه,Chaharmahal Bakhtiari,چهارمحال و بختیاری,لردگان,مستقل,,,,,عضو کمیسیون عمران,عضو کمیسیون تحقیق
CMB-002,سیدسعید زمانیان دهکردی,Chaharmahal Bakhtiari,چهارمحال و بختیاری,شهرکرد,جبهه متحد,http://www.zamanian.net,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
CMB-003,حمید رضا عزیزی فارسانی,Chaharmahal Bakhtiari,چهارمحال و بختیاری,اردل  / فارسان / کوهرنگ,مستقل,http://drazizif.ir,,,,عضو کمیسیون بهداشت و درمان,
CMB-003,امیرعباس سلطانی,Chaharmahal Bakhtiari,چهارمحال و بختیاری,بروجن,مستقل,http://www.soltani-majles9.com,,,,عضو کمیسیون انرژی,
E-AZ-001,شهروز افخمی,East Azerbaijan,آذربایجان شرقی,ملکان,جبهه متحد - جبهه پایداری,,,,,عضو کمیسیون اجتماعی,
E-AZ-002,محمد باقری,East Azerbaijan,آذربایجان شرقی,بناب,مستقل,http://www.rezabonabi.ir/,,,,عضو کمیسیون اقتصادی,
E-AZ-003,مهناز بهمنی,East Azerbaijan,آذربایجان شرقی,سراب، مهربان,مستقل,http://mahnazbahmani.com/,,,,عضو کمیسیون اقتصادی,
E-AZ-004,مسعود پزشکیان,East Azerbaijan,آذربایجان شرقی,آذر شهر، اسکو، تبریز,اصلاح طلب و صدای ملت,http://www.drpezeshkian.ir/,,,,عضو کمیسیون بهداشت و درمان,
E-AZ-005,محمدحسن نژاد,East Azerbaijan,آذربایجان شرقی,مرند و جلفا,مستقل,http://drhasannejad.blog.ir/,,,,عضو کمیسیون اقتصادی,
E-AZ-006,سیدبهلول حسینی,East Azerbaijan,آذربایجان شرقی,میانه,اصلاح طلب,http://www.sbhosseini.com/,,,,عضو کمیسیون عمران,
E-AZ-007,الله وردی دهقانی,East Azerbaijan,آذربایجان شرقی,ورزﻗﺎن,جبهه متحد - جبهه پایداری,http://www.dehghane.ir/,http://rc.majlis.ir/fa/parliament_member/show/811903,,,دبیر اول کمیسیون صنایع و معادن,
E-AZ-008,مهدی دواتگری,East Azerbaijan,آذربایجان شرقی,ﻣﺮاﻏﻪ وﻋﺠﺐ ﺷﻴﺮ,جبهه متحد ,http://alumaragheh.ir/post/davatgari.aspx?lang=fa,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون تحقیق
E-AZ-009,رضا رحمانی,East Azerbaijan,آذربایجان شرقی, آذر شهر، اسکو، تبریز,مستقل,http://rezarahmani.org/,,,,رئیس کمیسیون صنایع و معادن,
E-AZ-010,محمد اسماعیل سعیدی,East Azerbaijan,آذربایجان شرقی,آذر شهر، اسکو، تبریز,جبهه متحد - جبهه پایداری,http://m-saeedi.ir/,,,,دبیر اول کمیسیون اجتماعی,
E-AZ-011,غلامحسین شیری علی آباد,East Azerbaijan,آذربایجان شرقی,ﻫﺸﺘﺮود و ﭼﺎراوﻳﻤﺎق,جبهه متحد - جبهه پایداری,http://www.shiriweb.com/,,,,عضو کمیسیون اقتصادی,
E-AZ-012,علی علیلو,East Azerbaijan,آذربایجان شرقی,شبستر,جبهه متحد - جبهه پایداری, http://www.alilou.ir/,,,,عضو کمیسیون صنایع و معادن,عضو کمیسیون اصل نودم قانون اساسی مجلس
E-AZ-013,ارسلان فتحی پور,East Azerbaijan,آذربایجان شرقی,ﻛﻠﻴﺒﺮوﺑﺨﺶ ﻫﻮراﻧﺪ,مستقل,http://www.fathipor.com/home.php,,,,رئیس کمیسیون اقتصادی,عضو کمیسیون تحقیق
E-AZ-014,محمدحسین فرهنگی,East Azerbaijan,آذربایجان شرقی,آذر شهر، اسکو، تبریز,جبهه متحد - جبهه پایداری,http://dr-farhangi.com/,,,,عضو کمیسیون عمران,
E-AZ-015,عباس فلاحی باباجان,East Azerbaijan,آذربایجان شرقی,اهر، هریس,جبهه متحد - جبهه پایداری,http://abbasfallah.ir/,,,,عضو کمیسیون عمران,عضو کمیسیون تحقیق
E-AZ-016,میرهادی قره سید رومیانی,East Azerbaijan,آذربایجان شرقی,آذر شهر، اسکو، تبریز,جبهه پایداری ,http://gharaseyyed.ir/,,,,دبیر اول کمیسیون قضایی و حقوقی,
E-AZ-017,محمدعلی مددی,East Azerbaijan,آذربایجان شرقی,میانه,مستقل,http://drmadadi.ir/,,http://mohamadmadadi.blogfa.com/,,عضو کمیسیون اقتصادی,
E-AZ-018,علی رضا منادی سفیدان,East Azerbaijan,آذربایجان شرقی,آذر شهر، اسکو، تبریز,صدای ملت,http://drmonadi.com/,,,,عضو کمیسیون آموزش و تحقیقات,
E-AZ-019, غلام رضا نوری قزلجه,East Azerbaijan,آذربایجان شرقی, بستان آباد,مستقل,http://www.gh-noori.ir/,,,,نایب رئیس دوم کمیسیون کشاورزی، آب و منابع طبیعی,
FAR-001,نبی الله احمدی,Fars,فارس,داراب و زرین دشت,جبهه متحد – جبهه پایداری ,http://drn-ahmadi.com,,,,عضو کمیسیون عمران,
FAR-002, داریوش اسماعیلی,Fars,فارس,خرامه سروستان وکوار,مستقل  ,http://dresmaeily.ir,,,,عضو کمیسیون صنایع و معادن,
FAR-003, محمدمهدی برومندی,Fars,فارس,مرودشت، ارسنجان و پاسارگاد,اصلاح طلب,http://mehdiboroumandi.ir,,,,سخنگو کمیسیون کشاورزی، آب و منابع طبیعی,
FAR-004,جمشید جعفر پور,Fars,فارس,خنج، لارستان، گراش,جبهه متحد- جبهه پایداری- جبهه ایستادگی ,http://drjafarpour.com,,,,عضو کمیسیون فرهنگی,عضو کمیسیون اصل نودم قانون اساسی مجلس
FAR-005,سیداحمدرضا «علی اصغر» دستغیب,Fars,فارس,شیراز,مستقل,http://www.drdastgheib.com,,,,نایب رئیس اول کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس دوم کمیسیون تدوین آیین‌نامه داخلی مجلس
FAR-006,محمد حسن دوگانی آغچغلو,Fars,فارس,فسا,جبهه ایستادگی,http://www.drdogani.com,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
FAR-007, سیدحسین ذوالانوار,Fars,فارس,شیراز,جبهه متحد- جبهه پایداری,http://zolanvar.blogfa.com,,,,عضو کمیسیون انرژی,
FAR-008, محمدرضا رضایی کوچی,Fars,فارس,جهرم,جبهه متحد- جبهه پایداری,http://dr-rezaee.ir,,,,عضو کمیسیون عمران,
FAR-009,رحیم زارع,Fars,فارس,آباده، بوانات و خرم‌بيد,جبهه متحد – جبهه ایستادگی ,http://rahimzare.ir,,,,سخنگو کمیسیون اقتصادی,
FAR-010,محمد سقایی,Fars,فارس,استهبان و نی ریز,جبهه متحد – صدای ملت     ,,,,,دبیر اول کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون تحقیق
FAR-011,نوذر شفیعی,Fars,فارس,ممسنی,مستقل,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
FAR-012,ضرغام صادقی,Fars,فارس,شیراز,جبهه متحد – جبهه پایداری,http://drzsadeghi.com,,,,عضو کمیسیون اجتماعی,عضو کمیسیون اصل نودم قانون اساسی مجلس
FAR-013, الیاس طاهری,Fars,فارس,اقلید,جبهه متحد – جبهه ایستادگی ,http://elyas-taheri.ir,,,,عضو کمیسیون صنایع و معادن,
FAR-014,نادر فریدونی,Fars,فارس,فيروزآباد، قير و كارزين و فراشبند,مستقل,http://fereydooni-majles.com,,,,عضو کمیسیون انرژی,
FAR-015,جعفر قادری,Fars,فارس,شیراز,جبهه متحد ,http://drjghaderi.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
FAR-016,شاهین محمدصادقی,Fars,فارس,کازرون,جبهه متحد,http://www.shams9.ir,,,,عضو کمیسیون بهداشت و درمان,
FAR-017,سید موسی موسوی,Fars,فارس,لامرد و مهر,جبهه متحد – جبهه پایداری,http://dr-moosavi.ir,,,,دبیر اول کمیسیون انرژی,
FAR-018,سید عنایت‌الله هاشمی,Fars,فارس, سپیدان و اردكان,جبهه متحد,http://hashemiardakani.ir,,,,عضو کمیسیون تحقیق,عضو کمیسیون صنایع و معادن
GIL-001,مهرداد بائوج لاهوتی,Gilan,گیلان,لنگرود,جبهه ایستادگی – اصلاح طلب,http://mlahouti.ir,,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون عمران
GIL-002,حسن تأمینی لیچایی,Gilan,گیلان,رشت,اصلاح طلب ,http://dr-tamini.ir/fa,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون اصل نودم قانون اساسی مجلس
GIL-003,غلامعلی جعفرزاده ایمن آبادی,Gilan,گیلان,رشت,ستقل,http://www.shahedeshomal.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
GIL-004,عطاالله حکیمی,Gilan,گیلان,رودبار,جبهه ایستادگی,,,,,عضو کمیسیون اقتصادی,
GIL-005,حسن خسته بند,Gilan,گیلان,بندر انزلی,مستقل ,http://www.khasteband.ir,,,,عضو کمیسیون عمران,
GIL-006,حمیدرضا خصوصی ثانی,Gilan,گیلان,صومعه سرا,جبهه متحد – جبهه ایستادگی,,,,,عضو کمیسیون اقتصادی,
GIL-007,محمد مهدی رهبری املشی,Gilan,گیلان, املش / رودسر,اصلاح طلب ,http://rahbariamlashi.blogfa.com,,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون برنامه و بودجه و محاسبات
GIL-008,محمود شکری,Gilan,گیلان,طوالش/ رضوانشهر/ ماسال,جبهه متحد,http://mahmoudshekari.ir/,,,,عضو کمیسیون اقتصادی,
