id,name,position_id,position,label,start_date,end_date,ordinal
Q1029740,Timothy J. Murphy,Q1029740-fe9532d7-4f2b-7cf7-a3af-0b07d533a94f,Q6866004,"Minister for Housing, Planning and Local Government",1948-02-18,1949-04-29,0
Q1064368,Charles Flanagan,Q1064368-143d6605-4148-3d6c-8fe6-44cb3b362f59,Q6865853,Minister for Foreign Affairs and Trade,2014-07-11,2017-06-14,0
Q1064368,Charles Flanagan,Q1064368-a7054501-453f-8269-fbb1-cd9c6e2bc578,Q6865904,Minister for Justice and Equality,2017-06-14,"",0
Q1111220,David Andrews,Q1111220-AE09B345-252E-42F3-8680-55BA81714AEC,Q6865770,"Minister for Communications, Energy and Natural Resources",1993-01-12,1994-12-15,0
Q1111220,David Andrews,Q1111220-1e9f84c0-42cb-2fb7-50e1-78c8193fac8d,Q6865781,Minister for Defence,1993-01-12,1994-12-15,0
Q1111220,David Andrews,Q1111220-DC1AE270-CC29-4F93-A466-AB2EDBB68707,Q6865781,Minister for Defence,1997-06-26,1997-10-08,0
Q1111220,David Andrews,Q1111220-9f13217d-40e8-aef1-6560-ec1365d6d33c,Q6865853,Minister for Foreign Affairs and Trade,1992-02-11,1993-01-12,0
Q1111220,David Andrews,Q1111220-A96E3728-EECF-4803-BB21-7DDE2FB478AC,Q6865853,Minister for Foreign Affairs and Trade,1997-10-08,2000-01-27,0
Q1121447,Daniel Morrissey,Q1121447-b29e0cfd-4f06-574c-1673-4842d441d44b,Q6865902,"Minister for Jobs, Enterprise and Innovation",1948-02-18,1951-03-07,0
Q1121447,Daniel Morrissey,Q1121447-0f655aae-4a18-3aa5-802e-26ced8407340,Q6865904,Minister for Justice and Equality,1951-03-07,1951-06-13,0
Q1200811,Desmond FitzGerald,Q1200811-6c52d354-4066-0d88-22ff-8e64052f778d,Q6865781,Minister for Defence,1927-06-23,1932-03-09,0
Q1200811,Desmond FitzGerald,Q1200811-ef3d32cc-4983-e4fc-9319-c70fd45f575b,Q6865853,Minister for Foreign Affairs and Trade,1922-08-30,1927-06-23,0
Q1200814,Desmond O'Malley,Q1200814-181bdebe-4e37-7491-377b-a0de5fde9b6a,Q6865902,"Minister for Jobs, Enterprise and Innovation",1977-07-05,1981-06-30,0
Q1200814,Desmond O'Malley,Q1200814-8450C79C-6696-4C62-81C4-0AA9EBD58C3A,Q6865902,"Minister for Jobs, Enterprise and Innovation",1982-03-09,1982-10-07,0
Q1200814,Desmond O'Malley,Q1200814-729AA3E4-A866-411D-8257-A0C2F8A55D18,Q6865902,"Minister for Jobs, Enterprise and Innovation",1989-07-12,1992-11-04,0
Q1200814,Desmond O'Malley,Q1200814-FDE639B9-0392-49B4-B025-385ADB662B3B,Q6865904,Minister for Justice and Equality,1970-05-05,1973-03-14,0
Q1233610,Hugh Coveney,Q1233610-b452d6ed-4ed5-925e-b5f0-648b1e689b93,Q6865770,"Minister for Communications, Energy and Natural Resources",1994-12-15,1995-05-23,0
Q1233610,Hugh Coveney,Q1233610-fc4a0acf-46b9-d189-904f-bdc3ecfcd25f,Q6865781,Minister for Defence,1994-12-15,1995-05-23,0
Q1237901,Richard Burke,Q1237901-2fef643d-48b8-bba0-5aaa-d96e36c0d6ce,Q6865816,Minister for Education and Skills,1973-03-14,1976-12-02,0
Q1242028,Donogh O'Malley,Q1242028-FA26C133-3315-4783-A1BD-5E58AC18DD4E,Q6865816,Minister for Education and Skills,1966-07-13,1968-03-10,0
Q1242028,Donogh O'Malley,Q1242028-9CCCDC1A-5FD6-4F4F-A8A9-6C18B34CD066,Q6865864,Minister for Health,1965-04-21,1966-07-13,0
Q1245839,Joseph McGrath,Q1245839-353c2524-4d47-5481-296a-89bd3af73801,Q6865902,"Minister for Jobs, Enterprise and Innovation",1922-08-30,1924-03-07,0
Q1260655,Paddy Donegan,Q1260655-071883DF-94D6-4EA0-B56E-233314279A25,Q6865770,"Minister for Communications, Energy and Natural Resources",1976-12-02,1977-07-05,0
