id,temp_name,twitter,image
5427422,Stefano Quintarelli,quinta,https://pbs.twimg.com/profile_images/1932089220/avatar_quinta.jpg
6827962,Antonio Palmieri,antoniopalmieri,https://pbs.twimg.com/profile_images/556114188998021121/2acJ9kMg.jpeg
11945512,Mirella Liuzzi,mirellaliuzzi,https://pbs.twimg.com/profile_images/736162833428324352/7vDrNDJC.jpg
12514212,orfini,orfini,https://pbs.twimg.com/profile_images/543062611793674240/z0MoG4_u.jpeg
12994392,Marco Meloni,MarcoMeloni,https://pbs.twimg.com/profile_images/722123379797598210/AAdAJqyO.jpg
13065292,Matteo Dall'Osso,matteodallosso,https://pbs.twimg.com/profile_images/722534855666491392/LwyZt1Cf.jpg
13812612,Simone Baldelli,simonebaldelli,https://pbs.twimg.com/profile_images/718422485054722050/_p5Em2nw.jpg
14108472,Giuseppe Civati,civati,https://pbs.twimg.com/profile_images/99674423/pippounita2.jpg
14110067,Roberto Rampi,rampi,https://pbs.twimg.com/profile_images/727478684488183809/fm-8E8xq.jpg
14170643,Guglielmo Vaccaro,Vaccaro_G,https://pbs.twimg.com/profile_images/425319048675475457/H8cO66Bi.jpeg
14569308,Alessia Mosca,alessiamosca,https://pbs.twimg.com/profile_images/566165382268866560/09W_sWtU.jpeg
15191260,Lorenza Bonaccorsi,lorenzabo,https://pbs.twimg.com/profile_images/635727491265658880/DxqAGqrY.jpg
15229068,enricogasbarra,enricogasbarra,https://pbs.twimg.com/profile_images/55877228/gasbarrapiccolino.jpg
15255463,Raffaello Vignali,vignali,https://pbs.twimg.com/profile_images/652441812628545536/UDA9rlRo.jpg
15309248,Lorenzo Dellai,lorenzodellai,https://pbs.twimg.com/profile_images/736263518824042496/w0yQVX6F.jpg
18406278,Fabio Lavagno,flavagno,https://pbs.twimg.com/profile_images/726405603485175809/fmx_Lp9M.jpg
19771988,Lapo Pistelli,lapopistelli,https://pbs.twimg.com/profile_images/378800000030063330/9d62ccc0f964083226953f02809ade37.jpeg
19863725,Paolo Bernini,Paolj,https://pbs.twimg.com/profile_images/648864222542196737/vF5DBbVg.jpg
20373953,Ileana Piazzoni,IleP,https://pbs.twimg.com/profile_images/654052033234923520/ops146jr.jpg
20430345,Renato Brunetta,renatobrunetta,https://pbs.twimg.com/profile_images/3111985395/a94d04ae80c117f4ad5e170a9e25a07b.jpeg
22834067,Roberto Fico,Roberto_Fico,https://pbs.twimg.com/profile_images/742755926059409408/WxWq3ZOG.jpg
30248306,Ivan Scalfarotto,ivanscalfarotto,https://pbs.twimg.com/profile_images/703632679137312768/RhxKtU5d.jpg
33501253,Guglielmo Picchi,guglielmopicchi,https://pbs.twimg.com/profile_images/715901436517826560/pSpitoyi.jpg
