id,name,position,start_date,end_date,type
8f8e69f1-20f6-494b-a56d-b4a757b6aa16,Fouad Siniora,Prime Minister of Lebanon,2005-07-18,2009-11-09,executive
8f8e69f1-20f6-494b-a56d-b4a757b6aa16,Fouad Siniora,President of Lebanon,2007-11-23,2008-05-25,executive
c54e6db7-0f4c-4073-afd9-79809724b184,Ibrahim Najjar,ICDB commissioner,,,other
29b613b8-bc6e-41d3-8e64-71209d3f1a3b,Michel Aoun,Commander of the Lebanese Armed Forces,1984-06-23,,other
29b613b8-bc6e-41d3-8e64-71209d3f1a3b,Michel Aoun,Prime Minister of Lebanon,1988-09-22,1990-10-13,executive
29b613b8-bc6e-41d3-8e64-71209d3f1a3b,Michel Aoun,President of Lebanon,1988-09-22,1990-10-13,executive
29b613b8-bc6e-41d3-8e64-71209d3f1a3b,Michel Aoun,President of Lebanon,2016-10-31,,executive
d880b89d-3467-4bbe-b89f-f23f27d80acf,Najib Mikati,Prime Minister of Lebanon,2011-06-13,2014-02-15,executive
d880b89d-3467-4bbe-b89f-f23f27d80acf,Najib Mikati,Prime Minister of Lebanon,2005-04-15,2005-07-19,executive
e8a42c88-772a-4b5a-9533-34bc42b829b9,Saad Hariri,Prime Minister of Lebanon,2009-11-09,2011-06-13,executive
3428465d-f162-4be8-9f6f-24b7b032ba58,Tamam Salam,Prime Minister of Lebanon,2014-02-15,,executive
3428465d-f162-4be8-9f6f-24b7b032ba58,Tamam Salam,President of Lebanon,2014-05-25,,executive
