name,id
'Maboiketlo Maliehe,93031b43-807a-44d6-bae6-842503eb861d
'Maeketsang Molotsi,d65e439e-795b-4b21-8320-e91da0a4fe8c
'Majoel Tlali,ec8c752a-cefc-4b97-a2cd-091c1a384820
'Malerato Thamae,558b6a58-e9fb-4840-88b1-5a547c757584
'Maletsema Lenkoane,80107fde-5b17-417f-a7d2-dfdbdd2d676e
'Mamookho Phiri,378ee85d-87bb-496a-855a-fc184952d5dd
'Maneo 'Mathabo Nelly Moremoholo,dad5c322-c9c4-442e-80ce-4df9ad0aac02
'Manthabiseng Phohleli,f44ea96d-4756-4c97-80a9-0a09b2d7f5b0
'Mantsíuoa Mosothoane,2336554b-4d09-4e64-8ef3-bd47e6b952d9
'Maphoka Motoboli,ce372e5c-da5b-4dc7-9984-90a5622ba0a4
'Mapulumo Hlao,8639bc98-0cbb-4c2a-9c27-8d43e47ab6f9
'Marefuoe Alice 'Muso,48803272-e768-4625-8ee5-ac9307a944a7
'Masekoala Motanyane,60b49c72-c04d-4b2d-8eef-e2af35602c78
'Maseoehla Ntlama,4431878e-5a50-4869-8913-0781cfc3f6ff
'Masuthang A. Taole,67b080a8-20bd-434e-89d8-cc5a2b81c2ec
'Matebatso Doti,0a9409d3-7d3b-4896-a510-744882d10ba7
'Mathabiseng Arcylia Phohleli,aa69426f-51a2-4890-bc77-77836474ed62
'Mathabo Moremoholo,88a36414-851b-4707-b743-44500d145f02
'Mathato Phafoli,9c3f66dc-113f-49f2-84df-7317a229230a
Aumane Tlohelang Peter,256f055a-3e16-4911-b195-6caeb5b3c867
Bethuel Pakalitha Mosisili,11feeed3-497a-4d88-aafc-1d151e42ce80
Boomo Frank Sofonia,9379007c-9f63-4e3f-b7a9-55da87162b84
Chalane Cletus Phori,9de92e1e-a2bd-49ba-87e3-844d5ea203c8
Dr. Motsoahae Thabane,521e3854-7ad7-4902-b00b-b2b504523123
Dr. Pakalitha B. Mosisili,11feeed3-497a-4d88-aafc-1d151e42ce80
Dr. Pontšo Susan 'Matumelo Sekatle,8e30cab6-e8a3-43b7-ac97-ec0bc3df00a8
Habofanoe Sixtus Lehana,b7aae119-84c4-42a0-af54-1001a594b0ed
Halebonoe James Setsabi,a5a1e55e-320e-432a-a63c-c6e7cbf58f68
Joang Molapo,71d42e1c-b63b-4b87-ae9f-3fa7119226f4
Jobo Sekautu,41f65de5-05b1-4246-8f7b-d0412f83088d
Kabelo Mafura,31c90c11-df12-46f7-8cbd-2272d0968a45
Kamoho Joseph Moroeng,beb6b168-d0e7-4969-bb10-3a303daff5bb
Keketso 'Manthabiseng Rants'o,ada555f9-d628-4bb5-a48b-9a56645060a5
