uuid,female,male,other,skip,total
017a8605-ef8a-4bb1-abfa-8bd99565dcb0,0,5,0,0,5
01c8ec58-bc48-47ed-b21c-12ffdddcca68,5,0,0,0,5
046fad6d-206a-4848-8b1f-327894630cb9,0,5,0,0,5
06a33f60-abba-408c-94d7-4a17dac91711,0,5,0,0,5
076b1abc-b09e-4331-b3fe-6c9605b9cbea,0,5,0,0,5
0a25e3b6-8a44-4bb5-829c-97614a87c4dd,0,4,0,0,4
0adb2b9d-b081-4165-9435-2fcb05d04fe2,5,0,0,0,5
0bf5a867-e953-4eab-b3dd-4766f375bffd,0,5,0,0,5
0e0a1dd0-dd8a-4aad-8c9c-819d03bdae69,0,5,0,0,5
0e716fd9-c094-4882-9dbd-f8726d8dd0c0,0,5,0,0,5
1358ca20-9245-47ed-aa2a-6ef38acc56a2,0,5,0,0,5
1379e9f8-4f2e-46ca-8f84-6651087132ab,0,5,0,0,5
15914f41-dcd4-49b5-a5c6-e00d89f10f0e,4,1,0,0,5
1889ae1b-5584-44f9-b681-f2839095413a,5,0,0,0,5
1a5135c6-98b2-4651-8ef0-6cfb3110f8ab,5,0,0,0,5
1b7560ed-6e71-4e61-a4f6-0c9e04b1bfc3,0,5,0,0,5
1d0e8635-544d-4bd5-91f1-ceee7737f380,0,5,0,0,5
1e34432e-f161-4fc3-a7c4-6b157d99c9d6,4,0,0,0,4
210aae99-bec4-4ab2-9a8d-a4722b22d8e6,5,0,0,0,5
22d87c76-eeb2-4d5d-a195-3a67bbb68430,0,5,0,0,5
25775e78-c9af-4e2d-95e0-17484fbc49fc,5,0,0,0,5
259c83e9-dedf-4866-a06f-d5a9e0048124,5,0,0,0,5
27d438a2-6559-4548-9813-4d8f65d65378,0,5,0,0,5
27fc3c43-5400-4889-a853-b86cc08e0e9b,5,0,0,0,5
2c112b5b-8b91-43dd-8ca5-aa8264a7059d,0,4,0,0,4
303d9624-01ad-4518-a8ad-ede754ffa358,5,0,0,0,5
31be7a64-8b23-4a10-844a-ef23bf410cc4,0,5,0,0,5
40172fe5-7606-483c-9a20-80eae9068781,0,5,0,0,5
4300a503-09ea-4153-aebf-d4a3a695e7ab,0,5,0,0,5
4b1526a9-6d6c-4b39-b127-9debb8314f7c,4,0,0,0,4
505e9fd9-df84-4b3c-9ae3-64fb3cb7b35e,0,4,0,0,4
53435cb4-2191-4c1b-8fd5-3db51d2b98a4,5,0,0,0,5
