id,name,position_id,position,label,start_date,end_date,ordinal
Q1401311,Lazar Kitanoski,Q1401311-7b40e946-4444-e695-cbe1-519ca85b66c9,Q12755495,Minister of Defence,1997-05-29,1998-12-01,0
Q162983,Radmila Šekerinska,Q162983-ad328554-41d5-0e97-cefc-767b657089fd,Q12755495,Minister of Defence,2017-06-01,,0
Q162983,Radmila Šekerinska,Q162983-44fb75a9-40b1-6982-d7b5-2d35462cd91e,Q1776220,Prime Minister of North Macedonia,2004-05-12,2004-06-02,0
Q162983,Radmila Šekerinska,Q162983-1f8d92f0-47f3-2624-22cd-e44798784a1f,Q1776220,Prime Minister of North Macedonia,2004-11-18,2004-12-17,0
Q2059965,Abdylaqim Ademi,Q2059965-5516a0db-4a37-ee75-ef04-24b5f46cf967,Q4574084,environment minister,,,0
Q220579,Zoran Zaev,Q220579-8567d968-4700-b3b7-2fbc-dadaf7c4995f,Q1776220,Prime Minister of North Macedonia,2017-06-01,,8
Q22077723,Emil Dimitriev,Q22077723-5d0629fa-4b65-a796-3523-037cd0269a3b,Q1776220,Prime Minister of North Macedonia,2016-01-18,2017-05-31,7
Q2529738,Vlado Bučkovski,Q2529738-e7c65712-46b3-4286-9d83-c4c26996e581,Q12755495,Minister of Defence,2001-05-13,2001-11-26,0
Q2529738,Vlado Bučkovski,Q2529738-c1226351-433f-6126-bf34-59fe1a3ec741,Q12755495,Minister of Defence,2002-11-01,2004-12-17,0
Q2529738,Vlado Bučkovski,Q2529738-2365ab59-4585-f059-e860-107021928ec1,Q1776220,Prime Minister of North Macedonia,2004-12-15,2006-08-27,5
Q57766,Nikola Gruevski,Q57766-de54deb1-4c42-5d32-7a84-b5e1eff2ae7c,Q1776220,Prime Minister of North Macedonia,2006-08-27,2016-01-18,6
Q5860953,Talat Xhaferi,q5860953-E358AA91-786E-4917-8EB8-CB0FB0D9A761,Q12755495,Minister of Defence,2013-02-18,2014-06-19,0
