name,wikiname,party,area,area_wikiname,notes,term,sort_name,party_wikiname,start_date
Allan Peachey,Allan Peachey,National,Tamaki,Tāmaki (New Zealand electorate),,48,"Peachey, Allan",New Zealand National Party,
Ann Hartley,Ann Hartley,Labour,List,"",,48,"Hartley, Ann",New Zealand Labour Party,
Anne Tolley,Anne Tolley,National,East Coast,East Coast (New Zealand electorate),,48,"Tolley, Anne",New Zealand National Party,
Annette King,Annette King,Labour,Rongotai,Rongotai (New Zealand electorate),,48,"King, Annette",New Zealand Labour Party,
Ashraf Choudhary,Ashraf Choudhary,Labour,List,"",,48,"Choudhary, Ashraf",New Zealand Labour Party,
Barbara Stewart,Barbara Stewart,NZ First,List,"",,48,"Stewart, Barbara",New Zealand First,
Bill English,Bill English,National,Clutha-Southland,Clutha-Southland,,48,"English, Bill",New Zealand National Party,
Bob Clarkson,Bob Clarkson,National,Tauranga,Tauranga (New Zealand electorate),,48,"Clarkson, Bob",New Zealand National Party,
Brian Connell,Brian Connell,National,Rakaia,Rakaia (New Zealand electorate),,48,"Connell, Brian",New Zealand National Party,
Brian Donnelly,Brian Donnelly (New Zealand politician),NZ First,List,"",,48,"Donnelly, Brian",New Zealand First,
Charles Chauvel,Charles Chauvel (politician),Labour,List,"",,48,,New Zealand Labour Party,2006-08-01
Chester Borrows,Chester Borrows,National,Whanganui,Whanganui (New Zealand electorate),,48,"Borrows, Chester",New Zealand National Party,
Chris Auchinvole,Chris Auchinvole,National,List,"",,48,"Auchinvole, Chris",New Zealand National Party,
Chris Carter,Chris Carter (politician),Labour,Te Atatu,Te Atatū (New Zealand electorate),,48,"Carter, Chris",New Zealand Labour Party,
Chris Finlayson,Chris Finlayson,National,List,"",,48,"Finlayson, Chris",New Zealand National Party,
Chris Tremain,Chris Tremain,National,Napier,Napier (New Zealand electorate),,48,"Tremain, Chris",New Zealand National Party,
Clayton Cosgrove,Clayton Cosgrove,Labour,Waimakariri,Waimakariri (New Zealand electorate),,48,"Cosgrove, Clayton",New Zealand Labour Party,
Clem Simich,Clem Simich,National,List,"",,48,"Simich, Clem",New Zealand National Party,
Colin King,Colin King,National,Kaikōura,Kaikōura (New Zealand electorate),,48,"King, Colin",New Zealand National Party,
Craig Foss,Craig Foss,National,Tukituki,Tukituki (New Zealand electorate),,48,"Foss, Craig",New Zealand National Party,
Dail Jones,Dail Jones,NZ First,List,"",,48,,New Zealand First,2008-02-15
Damien O'Connor,Damien O'Connor,Labour,West Coast-Tasman,West Coast-Tasman (New Zealand electorate),,48,"O'Connor, Damien",New Zealand Labour Party,
Darien Fenton,Darien Fenton,Labour,List,"",,48,"Fenton, Darien",New Zealand Labour Party,
Darren Hughes,Darren Hughes,Labour,Otaki,Ōtaki (New Zealand electorate),,48,"Hughes, Darren",New Zealand Labour Party,
Dave Hereora,Dave Hereora,Labour,List,"",,48,"Hereora, Dave",New Zealand Labour Party,
David Bennett,David Bennett (New Zealand politician),National,Hamilton East,Hamilton East (New Zealand electorate),,48,"Bennett, David",New Zealand National Party,
David Benson-Pope,David Benson-Pope,Labour,Dunedin South,Dunedin South,,48,"Benson-Pope, David",New Zealand Labour Party,
David Carter,David Carter (politician),National,List,"",,48,"Carter, David",New Zealand National Party,
David Cunliffe,David Cunliffe,Labour,New Lynn,New Lynn (New Zealand electorate),,48,"Cunliffe, David",New Zealand Labour Party,
David Parker,David Parker (New Zealand politician),Labour,List,"",,48,"Parker, David",New Zealand Labour Party,
Dianne Yates,Dianne Yates,Labour,List,"",,48,"Yates, Dianne",New Zealand Labour Party,
Don Brash,Don Brash,National,List,"",,48,"Brash, Don",New Zealand National Party,
Doug Woolerton,Doug Woolerton,NZ First,List,"",,48,"Woolerton, Doug",New Zealand First,
Dover Samuels,Dover Samuels,Labour,List,"",,48,"Samuels, Dover",New Zealand Labour Party,
Eric Roy,Eric Roy,National,Invercargill,Invercargill (New Zealand electorate),,48,"Roy, Eric",New Zealand National Party,
George Hawkins,George Hawkins (politician),Labour,Manurewa,Manurewa (New Zealand electorate),,48,"Hawkins, George",New Zealand Labour Party,
Georgina Beyer,Georgina Beyer,Labour,List,"",,48,"Beyer, Georgina",New Zealand Labour Party,
Georgina te Heuheu,Georgina te Heuheu,National,List,"",,48,"te Heuheu, Georgina",New Zealand National Party,
Gerry Brownlee,Gerry Brownlee,National,Ilam,Ilam (New Zealand electorate),,48,"Brownlee, Gerry",New Zealand National Party,
Gordon Copeland,Gordon Copeland,United Future,List,"",,48,"Copeland, Gordon",United Future New Zealand,
Harry Duynhoven,Harry Duynhoven,Labour,New Plymouth,New Plymouth (New Zealand electorate),,48,"Duynhoven, Harry",New Zealand Labour Party,
Heather Roy,Heather Roy,ACT,List,"",,48,"Roy, Heather",ACT New Zealand,
Helen Clark,Helen Clark,Labour,Mount Albert,Mount Albert (New Zealand electorate),,48,"Clark, Helen",New Zealand Labour Party,
Hone Harawira,Hone Harawira,Māori,X-05Te Tai Tokerau,Te Tai Tokerau (New Zealand electorate),,48,"Harawira, Hone",Māori Party,
Jackie Blue,Jackie Blue,National,List,"",,48,"Blue, Jackie",New Zealand National Party,
Jacqui Dean,Jacqui Dean,National,Otago,Otago (New Zealand electorate),,48,"Dean, Jacqui",New Zealand National Party,
Jeanette Fitzsimons,Jeanette Fitzsimons,Green,List,"",,48,"Fitzsimons, Jeanette",Green Party of Aotearoa New Zealand,
Jill Pettis,Jill Pettis,Labour,List,"",,48,"Pettis, Jill",New Zealand Labour Party,
Jim Anderton,Jim Anderton,Progressive,Wigram,Wigram (New Zealand electorate),,48,"Anderton, Jim",New Zealand Progressive Party,
Jim Sutton,Jim Sutton,Labour,List,"",,48,"Sutton, Jim",New Zealand Labour Party,
Jo Goodhew,Jo Goodhew,National,Aoraki,Aoraki (New Zealand electorate),,48,"Goodhew, Jo",New Zealand National Party,
John Carter,John Carter (New Zealand politician),National,Northland,Northland (New Zealand electorate),,48,"Carter, John",New Zealand National Party,
John Hayes,John Hayes (New Zealand politician),National,Wairarapa,Wairarapa (New Zealand electorate),,48,"Hayes, John",New Zealand National Party,
John Key,John Key,National,Helensville,Helensville (New Zealand electorate),,48,"Key, John",New Zealand National Party,
Jonathan Coleman,Jonathan Coleman (politician),National,Northcote,Northcote (New Zealand electorate),,48,"Coleman, Jonathan",New Zealand National Party,
Judith Collins,Judith Collins,National,Clevedon,Clevedon (New Zealand electorate),,48,"Collins, Judith",New Zealand National Party,
Judith Tizard,Judith Tizard,Labour,Auckland Central,Auckland Central (New Zealand electorate),,48,"Tizard, Judith",New Zealand Labour Party,
Judy Turner,Judy Turner,United Future,List,"",,48,"Turner, Judy",United Future New Zealand,
Kate Wilkinson,Kate Wilkinson (politician),National,List,"",,48,"Wilkinson, Kate",New Zealand National Party,
Katherine Rich,Katherine Rich,National,List,"",,48,"Rich, Katherine",New Zealand National Party,
Katrina Shanks,Katrina Shanks,National,List,"",,48,,New Zealand National Party,2007-02-07
Keith Locke,Keith Locke,Green,List,"",,48,"Locke, Keith",Green Party of Aotearoa New Zealand,
Lesley Soper,Lesley Soper,Labour,List,"",,48,,New Zealand Labour Party,2007-02-15
Lianne Dalziel,Lianne Dalziel,Labour,Christchurch East,Christchurch East (New Zealand electorate),,48,"Dalziel, Lianne",New Zealand Labour Party,
Lindsay Tisch,Lindsay Tisch,National,Piako,Piako (New Zealand electorate),,48,"Tisch, Lindsay",New Zealand National Party,
Lockwood Smith,Lockwood Smith,National,Rodney,Rodney (New Zealand electorate),,48,"Smith, Lockwood",New Zealand National Party,
Louisa Wall,Louisa Wall,Labour,List,"",,48,,New Zealand Labour Party,2008-03-04
