name,party,party_id,gender,term,source
"DJIBO ATTININE","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"GARBA AMADOU","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"ILLA OUSMANE","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"MAHAMAN LAOUALI GONDA","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"MAHAMAN SANI AMADOU","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"MOUSSABAHOU MOUSSA","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"NANA MARIAMA ELH AMADOU","ANDP Zaman-Lahiya",178,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"SANI OUSMANE DIT DAN DIDJE","ANDP Zaman-Lahiya",178,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/178-groupeandp
"ABDOULKADRI TIDJANI",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"AHMOUDOU MOHAMED",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"ALI MAGAGI ISSAKA",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"AMADOU DJIBO ALI",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"AMADOU SALIFOU",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"ARGI DAN DADI",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"ASSIBITE ACOTEY",ARN,182,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"BALA SARATOU BOUKARI",ARN,182,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"BARKA GAICHATOU MAHAMANE",ARN,182,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"BASSIROU IBO",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
"DAOUDA JIGO",ARN,182,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/182-groupearn
