id,name,constituency,state,chamber,party,party_id,image,term,source,area
581,ABDUL-MALIC ZUBAIRU,Bungudu/Maru,Zamfara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/581.jpg,2015,http://www.nass.gov.ng/mp/profile/581,"Bungudu/Maru, Zamfara State"
893,abiodun olasupo,Iseyin/Itesiwaju/Kajola/Iwajowa,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/893,"Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State"
770,abubakar adamu,Shiroro/Rafi/Munya,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/770,"Shiroro/Rafi/Munya, Niger State"
797,ADAMU JAGABA,Kachia/Kagarko,Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/797,"Kachia/Kagarko, Kaduna State"
703,ADEKOYA ADESSEGUN,Ijebu North/Ijebu East/Ogun Waterside,Ogun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/703,"Ijebu North/Ijebu East/Ogun Waterside, Ogun State"
898,AISOWTEREN PATRICK,Orhionmwon/Uhunmwode,Edo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/898,"Orhionmwon/Uhunmwode, Edo State"
560,AJAYI ADEYIMKA,Ife Federal Constituency,Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/560.jpg,2015,http://www.nass.gov.ng/mp/profile/560,"Ife Federal Constituency, Osun State"
754,AJISAFE OLOWOOKERE,Akure North/South,Ondo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/754.jpg,2015,http://www.nass.gov.ng/mp/profile/754,"Akure North/South, Ondo State"
746,ALAGBAOSO JERRY,Orlu/Oru East/Orsu,Imo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/746.jpg,2015,http://www.nass.gov.ng/mp/profile/746,"Orlu/Oru East/Orsu, Imo State"
902,ali isa,Balanga/Billiri,Gombe State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/902,"Balanga/Billiri, Gombe State"
897,aliyu muktar,Biu/Bayo/Shani/Kwaya Kusar,Borno State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/897,"Biu/Bayo/Shani/Kwaya Kusar, Borno State"
836,AWAJI-INOMBEK AIANTE,Andoni/Opobo/Nkoro,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/836,"Andoni/Opobo/Nkoro, Rivers State"
772,awulu adaji,Otukpo/Ohimini,Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/772,"Otukpo/Ohimini, Benue State"
85,AZUBOGU IFEANYI,Nnewi North/South/Ekwusigo,Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/85.jpg,2015,http://www.nass.gov.ng/mp/profile/85,"Nnewi North/South/Ekwusigo, Anambra State"
825,babajinmi benson,Ikorodu,Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/825,"Ikorodu, Lagos State"
675,betty apiafi,Ahoada-East/Abua/Odual,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/675,"Ahoada-East/Abua/Odual, Rivers State"
896,BROWN ONYERE,Degema/Bonny,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/896,"Degema/Bonny, Rivers State"
826,d boma,Asalga/Akulga,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/826,"Asalga/Akulga, Rivers State"
538,DEKOR DUMNAMENE,Khana/Gokana,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/538.jpg,2015,http://www.nass.gov.ng/mp/profile/538,"Khana/Gokana, Rivers State"
635,Dennis Agbo,Igboeze North/Udenu,Enugu State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/635,"Igboeze North/Udenu, Enugu State"
524,EAMMANUEL EKON,Abak/Etim Ekpo/Ika,Akwa Ibom State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/524.jpg,2015,http://www.nass.gov.ng/mp/profile/524,"Abak/Etim Ekpo/Ika, Akwa Ibom State"
901,eke bede,Aboh Mbaise/Ngor Okpala,Imo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/901,"Aboh Mbaise/Ngor Okpala, Imo State"
631,EMERENGWA BONIFACE,Ikwerre/ Emohua,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/631,"Ikwerre/ Emohua, Rivers State"
753,fulata abubakar,Birniwa/Guri/Kiri-Kasamma,Jigawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/753.jpg,2015,http://www.nass.gov.ng/mp/profile/753,"Birniwa/Guri/Kiri-Kasamma, Jigawa State"
926,garba sabo,Nangere/Potiskum,Yobe State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/926,"Nangere/Potiskum, Yobe State"
884,GOGO TAMUNO,Okrika/Ogu-Bolo,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/884,"Okrika/Ogu-Bolo, Rivers State"
505,GOODLUGK OPIAH,"",State,"",Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/505,", State"
621,husaini abubakar,Zurmi/Shinkafi,Zamfara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/621,"Zurmi/Shinkafi, Zamfara State"
625,Husaini Suleiman,Arewa/Dandi,Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/625,"Arewa/Dandi, Kebbi State"
766,idris Ahmed,Wase,Plateau State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/766,"Wase, Plateau State"
527,JACOBSON BARINEKA,Tai/Eleme/Oyigbo,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/527.jpg,2015,http://www.nass.gov.ng/mp/profile/527,"Tai/Eleme/Oyigbo, Rivers State"
839,KENNETH CHIKERE,Port Harcourt 1,Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/839,"Port Harcourt 1, Rivers State"
646,KWAMOTI LAORI,Demsa/Numan/Lamurde,Adamawa State,House of Representatives,Social Democratic Party,SDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/646,"Demsa/Numan/Lamurde, Adamawa State"
904,memga Emmanuel,Katsina-Ala/Ukum/Logo,Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/904,"Katsina-Ala/Ukum/Logo, Benue State"
881,mohammed danlami,Dutsin-ma/Kurfi,Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/881,"Dutsin-ma/Kurfi, Katsina State"
693,MUHAMMADU MUHTARI,Kura/Madobi/Garun Malam,Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/693,"Kura/Madobi/Garun Malam, Kano State"
