name,id
ABARIBE ENYINNAYA HARCOURT,fe9702fc-a389-4a10-b920-068f732cfcc5
ABATEMI USMAN NURUDEEN,f4cc41ec-1990-43de-9fa5-8b89f9511502
ABE MAGNUS NGEI,8a286072-d627-481e-a311-2f5c6eb5ad50
ADAMU ABDULLAHI,11dc140b-25cb-422a-b752-bf453b435036
ADENIYI ANTHONY ADEMUYIWA,c08834b3-9a6e-401a-8567-9a7d01ea04ae
ADESEUN AYOADE ADEMOLA,64f368d6-99b1-448c-a160-262afbdbc969
ADETUNBI OLUBUNMI,70024561-56f3-4d20-b3f5-a2960722b4ab
ADEYEMI SMART,e31605fc-07b5-4b83-bfd8-0fc7c0363c9d
ADEYEYE OLUSOLA,66210b8e-5a51-418d-9776-7ca14833c20a
ADOKWE SULEIMAN ASONYA,e75dfb5b-8e24-4539-a74f-83aa7c0016e9
ADUDA PHILIP TANIMU,3dd75d75-fc55-4f60-bf3b-1364da50a1a7
AGBOOLA AYOOLA HOSEA,5d8223c0-20de-42de-863c-19c59b9e41fd
AKE WILSON ASINOBI,f12328fe-2ce1-4679-9f6c-a546b0053acb
AKUME GEORGE ORPEL,5d9765d5-ef11-4476-9cc7-a1a0160ad353
ALHASSAN AISHA JUMMAI,811049d4-f8ad-465a-834d-c4dca36b9f8f
ALKALI SAIDU AHMED,4a027d7f-aef6-4aef-8496-53375bad967b
ANYANWU CHRIS N. D,76d38ffb-0b7e-4b3e-b5a6-92eed438c4c8
ASHAFA GBENGA,5b81730d-4cb2-4196-b936-2c4e384511d1
AYO AKINYELURE PATRICK,60c5feb5-6e98-465b-9c02-a94fab92f4c6
Abdulrahman Abubakar,c634f5ae-e6c4-4471-96ad-138b77ee6201
Ahmed Sani Yerima,55f4b2d8-7923-49c8-865f-41e9906e3253
Aliyu Magatakarda Wamakko,59798acb-6562-4929-9976-b1d2e949240e
Arthur Okowa Ifeanyi,c7e8db17-b468-4d6b-8d5e-94671ed8e0f4
BARATA AHMED HASSAN,d924b6cb-dfb4-44e5-b240-e0be298b0e59
BOLUWAJI KUNLE,7d79887e-0d2f-4818-972d-a2b7dc4a28ae
BOROFFICE ROBERT AJAYI,e4ad9f76-322b-49cf-9c96-394040556551
BWACHA EMMANUEL,6dc52777-4bc5-4d83-b78d-06b9d76ed2e4
Bagudu Abubakar Atiku,1980f605-0d74-477a-bc9f-57fd534f65e7
Benedict Ayade,8c7cb983-d18a-43a9-adae-a5a3f382eb54
Biodun Christine Olujimi,77622ea0-e1cb-4316-be72-c9017bfed732
CHRISTOPHER OMOWORARE BABAJIDE,3785feef-5d62-494b-8967-fc82dd30f5f5
CHUBA-OKADIGBO MARGERY,47f66779-9fba-4af8-a552-1e9d37311ef7
CHUKWUMERIJE UCHE,8d60e5b7-6383-4332-ad7f-4c4631b4de94
DAHIRU UMARU,1dd9535e-3b55-4967-b1af-aa5db04a58e3
DANTONG GYANG DALYOP,8d5daad1-0bdf-4fe3-a86f-07f8a551c796
DARIYE JOSHUA CHIBI,60bfc682-ca1c-42fc-bafa-24fe460faa20
David Umaru,8dfc3e2e-29f6-4958-bdc0-30ea33556722
EKWEREMADU IKE,79f6e0f8-e725-4570-b5d5-6d422b1d0fbc
EMMANUEL PAULKER IZIBEFIEN,aaf920b8-f38b-47a4-849f-bd80f2384fe5
ENANG ITA SOLOMON,1da21d64-23bc-4a66-bd6f-807ad241e0f2
ESUENE HELEN UDOAKAHA,8101a75a-2f41-47b4-8924-ecf9802a4139
ETOK ALOYSIUS AKPAN,f062e11f-cce9-4604-9cd1-f83cff84f1f9
EWUGA SOLOMON,e4877501-71e7-46af-958f-e747f54d218e
EZE AYOGU,a3cd30c5-ba00-4c0a-83b7-0323e1cd2929
GALAUDU ISAH MOHAMMED,de31bcec-6ea1-408c-9c6f-d52a439758be
GARBA BABAYO GAMAWA,b729c743-fe1b-4862-9553-c4694c5008a1
