uuid,female,male,other,skip,total
00d1bdd4-483a-43eb-8f9d-7f90dd94d208,0,4,0,0,4
00e1e582-a7d7-4596-8d25-27e50e7a50cb,0,4,0,0,4
0222d57d-a521-4772-991c-199b510e1b8f,0,4,0,0,4
07b282d5-4078-4d52-9d5d-8992e2563881,0,4,0,0,4
07f62153-813b-4b8a-8e29-ad0ec5abdebf,0,1,0,2,3
0a31f32d-eba7-4677-ac2e-8611dbd6c6fd,0,4,0,0,4
0acc4b43-24e9-4323-9340-e419bec00e55,0,3,0,1,4
0bb48174-8cc2-4216-a8e7-71d4afa3ac83,4,0,0,0,4
0db5da6f-4b0a-4008-9ee7-348941d30aa9,0,1,0,1,2
0dba392b-92e3-49c7-ab34-dd485ae2ed15,0,4,0,0,4
0f3452a8-f270-4e07-b628-fb7a7dfe290f,0,4,0,0,4
106dce5b-ea83-499c-975a-989effea737e,0,1,0,1,2
1154241f-9972-4d59-a243-fc2ec42f7058,0,4,0,0,4
119baf46-23cc-48c2-a5e3-0b6ebb4e4ac4,0,4,0,0,4
15012b78-4e16-4432-8e19-eded1447eb64,0,4,0,0,4
15132ca9-aa95-4b2e-9936-8a2f02fd2419,0,4,0,0,4
16b49145-ebf3-4c32-9cdd-a10c0843c33c,0,4,0,0,4
1aad9170-8709-4455-9dfb-0fc29fa87b72,0,2,0,0,2
1baa8f9b-cf03-44cc-8e1d-8fe46799344c,0,4,0,0,4
1c296315-b46c-4aa9-8c7b-03aa22016dd1,0,1,0,1,2
1cbf37ce-5502-4263-9a10-eec3211f7d36,0,4,0,0,4
20cbae6c-3e82-4a07-8485-063e98c7c3d6,0,4,0,0,4
21f62796-5804-4853-9986-98b6806bb53e,0,4,0,0,4
264409f2-97fc-4de2-96ac-a847e6d8be32,0,2,0,0,2
26f78bce-b429-4f82-9000-89718ed5f9c3,0,4,0,0,4
28ddb209-7f80-4623-ad04-76e44f773986,0,4,0,0,4
29360e19-fe97-44af-9a55-490f3f925204,0,4,0,0,4
29a9f176-6a26-450b-91a6-ff2df279d541,0,4,0,0,4
2a2b9d90-3fc2-4f21-b716-18113c0d845e,0,4,0,0,4
2bb9b1f4-0587-4d29-b7fb-0f4360b3ea1c,0,4,0,0,4
2edd58ae-5b81-4f64-a5d1-9a341a9f4194,0,4,0,0,4
30c48581-c9da-47be-b83c-8e5da3b1586b,0,4,0,0,4
34e68714-0040-4628-ba5b-028698e55f28,0,2,0,0,2
36977603-2642-4e58-a695-c166e7a2d10e,0,4,0,0,4
36e26c5a-6f50-4532-b28b-8bf02ed07481,0,4,0,0,4
3ab5c1e7-667b-47b4-ba32-75106b23bc19,0,4,0,0,4
3b821ed9-6b5b-4941-abe8-f5d67a63f91e,0,4,0,0,4
3c75f208-06e0-4e9f-8464-1169bacf93b8,0,4,0,0,4
3d1f6ec9-33e6-4829-a1ec-933ee256ae12,0,2,0,0,2
4008d13a-fa2f-48b3-a65e-77f5d401b9a5,0,4,0,0,4
406a7963-7167-48c8-94b7-61a283e3944a,0,4,0,0,4
40f10bda-bbf7-460a-b9da-d3a8e5c9b5b4,0,4,0,0,4
42154833-a7ba-46cf-a912-daf1bbbf4342,0,2,0,0,2
433a8990-943d-4b27-a06c-dfc80aaf2e15,0,4,0,0,4
434acbba-b1cb-4c2f-bb9a-a821b7b9e6cb,0,4,0,0,4
444b79e1-7033-4333-aa5c-28cec580536f,0,4,0,0,4
46cd0905-a578-49ed-926f-261db7298747,0,4,0,0,4
4abd096a-da8e-4116-8702-ec0ac27b74e2,0,4,0,0,4
4d400955-b6dd-4293-b216-c1b3370e9c49,0,3,0,1,4
56e911c7-02f0-4df8-9f90-960daafa76c1,0,4,0,0,4
57cd421d-ae98-45ea-9ca7-9965a5d802b9,0,4,0,0,4
5ac4b547-e608-4a37-a57d-a3d41e2a5379,0,4,0,0,4
5b754c8a-37f5-4276-8872-13aa8b0bde5d,2,0,0,0,2
6256a420-3c64-419d-985a-66446f8b0444,0,2,0,0,2
67999a2e-e7c1-4560-8bf0-7a3769767689,0,2,0,0,2
683a3c3a-493e-4e16-9db2-d7daf4ea77fc,0,4,0,0,4
6980ca25-78e2-4a05-9f75-72fdfb608cff,0,4,0,0,4
6da34f81-37bb-4ab7-a081-c9271c2d3253,0,4,0,0,4
70ab4871-75c1-404d-a99b-61d90209cdbc,0,4,0,0,4
71ab3442-9e0d-4a5c-90e0-1239a2b5b1e7,0,4,0,0,4
72e34ad7-3547-47c4-ac78-67369a0753ee,0,4,0,0,4
73c41e43-e53c-498f-81a9-4be17a8aca96,0,2,0,0,2
74506308-784a-4935-a4a1-d5c49d6d177e,0,4,0,0,4
78960302-14f9-44db-a95f-6b0fa7f5f79c,0,4,0,0,4
7a7eee84-f0a7-42ce-9e81-24d2fa9e38f4,0,2,0,2,4
