id,name,full_name,birth_date,image,source,term,party,area,start_date,end_date,identifier__parlamento
2,Abílio Sousa e Silva,Abílio Sousa e Silva,1943-04-02,http://app.parlamento.pt/webutils/getimage.aspx?id=2&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2,6,PSD,Viana do Castelo,1991-12-16,1992-03-24,2
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,5,PSD,Bragança,1987-08-13,1988-02-02,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,6,PSD,Bragança,1991-11-04,1991-11-20,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,8,PSD,Bragança,1999-10-25,2002-04-05,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,9,PSD,Bragança,2002-04-05,2002-04-08,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,10,PSD,Bragança,2005-03-10,2009-10-15,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,11,PSD,Bragança,2009-10-15,2011-06-20,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,12,PSD,Bragança,2011-06-20,2015-10-23,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,13,PSD,Bragança,2015-10-23,,3
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,2,PSD,Aveiro,1980-11-03,1982-06-24,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,3,PSD,Aveiro,1983-05-31,1984-05-16,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,4,PSD,Aveiro,1985-11-04,1987-08-13,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,5,PSD,Aveiro,1987-08-13,1991-11-04,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,6,PSD,Aveiro,1991-11-04,1995-10-27,4
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,2,PSD,Porto,1982-02-11,1982-02-27,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,4,PSD,Porto,1986-05-13,1986-05-28,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,5,PSD,Porto,1987-08-13,1987-08-17,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,6,PSD,Porto,1991-11-04,1995-10-27,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,8,PSD,Porto,2002-01-14,2002-04-05,5
6,Cerqueira de Oliveira,Alberto Cerqueira de Oliveira,1944-01-24,http://app.parlamento.pt/webutils/getimage.aspx?id=6&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,5,PSD,Braga,1987-08-13,1991-11-04,6
6,Cerqueira de Oliveira,Alberto Cerqueira de Oliveira,1944-01-24,http://app.parlamento.pt/webutils/getimage.aspx?id=6&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,6,PSD,Braga,1991-11-04,1995-10-27,6
7,Alberto Araújo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,2,PSD,Porto,1982-07-01,1982-08-01,7
7,Alberto Araújo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,4,PSD,Porto,1986-01-06,1987-08-13,7
7,Alberto Araújo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,5,PSD,Porto,1987-08-13,1991-11-04,7
7,Alberto Araújo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,6,PSD,Porto,1991-11-04,1995-10-27,7
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,5,PSD,Faro,1989-07-26,1991-11-04,8
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,6,PSD,Faro,1991-11-05,1995-08-03,8
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,9,PSD,Faro,2004-07-21,2005-03-10,8
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,2,PSD,Viseu,1981-09-09,1982-06-29,9
