id,name,position_id,position,label,start_date,end_date,ordinal
Q111805,Arthur Văitoianu,Q111805-DF5B34DE-0F81-489E-B0B3-DC9B40635387,Q15304810,Prime Minister of Romania,1919-10-01,1919-12-09,0
Q111805,Arthur Văitoianu,Q111805-7b3ca0b3-4ff3-8cf1-1669-a05051f8994d,Q21504197,Minister of National Defence,1918-11-29,1919-09-26,0
Q1119350,Petre S. Aurelian,Q1119350-7E34531B-4A6F-468F-8FC7-D3D5D3B4AF7C,Q15304810,Prime Minister of Romania,"","",0
Q1151156,Cătălin Predoiu,Q1151156-0f6498c7-4eee-b12e-d072-ed352bf42bec,Q21159939,Minister of Justice of Romania,2008-02-29,2012-05-07,0
Q1243658,Take Ionescu,Q1243658-FCBDACEF-1F44-4D0F-831C-A3FD8ABF862D,Q15304810,Prime Minister of Romania,"","",0
Q12720668,Andrei Gerea,Q12720668-5D3A6755-FB2A-4EC2-A208-D55F9F8F773E,Q21504183,Minister of the Economy,2013-10-17,2014-03-04,0
Q12720668,Andrei Gerea,Q12720668-8CA9187A-A64C-4964-A899-37FE51D904E4,Q21513151,Minister of Energy,2014-12-17,2015-11-17,0
Q12725938,Cristian Ghinea,Q12725938-35c49372-4379-f43e-5d99-ab4b373b2090,Q21504218,Minister of European Funds,2016-04-27,2016-10-26,0
Q12728424,Florin Iordache,Q12728424-8d401f76-46db-eedb-54dc-1e70b958dfa7,Q21159939,Minister of Justice of Romania,2017-01-04,2017-02-09,0
Q12729312,Gigel Știrbu,Q12729312-ff7573e5-44d8-7f34-9ebc-a2106d82be81,Q21503769,Minister of Culture,2013-12-17,2014-03-05,0
Q12729493,Grațiela Gavrilescu,Q12729493-22b00c6f-4bb3-25a1-64b1-b46810634e2c,Q21504155,Minister of the Environment and Climate Change,2014-12-17,2015-11-17,0
Q12729493,Grațiela Gavrilescu,Q12729493-40f82ada-4c11-da7e-6769-f3f7bf60e1a1,Q21504155,Minister of the Environment and Climate Change,2017-01-04,2017-03-27,0
Q12735436,Mihai Voicu,Q12735436-ca20bd33-40da-a5af-541f-a6f12fc5eb31,Q17278764,Minister of Relations with the Parliament,2006-05-23,2008-12-22,0
Q12735517,Mihai Tudose,Q12735517-90282480-4294-a83c-8e6f-cdc9b93d387c,Q15304810,Prime Minister of Romania,2017-06-29,2018-01-16,66
Q12735517,Mihai Tudose,Q12735517-057bfee0-4c5c-050c-a990-3d43d3708afa,Q21504183,Minister of the Economy,2014-12-17,2015-11-17,0
Q12735517,Mihai Tudose,Q12735517-5acd3306-4360-ea93-1192-9e9c985745ed,Q21504183,Minister of the Economy,2017-02-23,2017-06-29,0
Q12735518,Mihai Tănăsescu,Q12735518-b810f097-4918-de62-3c8c-f224dceeb8dd,Q21504216,Minister of Public Finance,2000-12-28,2004-12-28,0
Q12737826,Petre Daea,Q12737826-7d92d8ae-4259-cc77-f9ac-51370aa086cf,Q21503604,Minister of Agriculture of Romania,2004-07-14,2004-12-28,0
Q12737826,Petre Daea,Q12737826-53728f52-4212-a56f-9353-b03148f52b11,Q21503604,Minister of Agriculture of Romania,2017-01-04,"",0
