id,name,image,source,faction,area,birth_date,start_date,end_date,area_id,term
1756553,Яровая Ирина Анатольевна,http://www.duma.gov.ru/upload/iblock/d04/d0446acc067636c2ea80828e34e20b2c.jpg,http://www.duma.gov.ru/structure/deputies/1756553/,«ЕДИНАЯРОССИЯ»,Камчатский крайХабаровский крайАмурская областьМагаданская областьЕврейская автономная областьЧукотский автономный округ,1966-10-17,2016-09-18,,,7
1756554,Ямпольская Елена Александровна,http://www.duma.gov.ru/upload/iblock/1b8/1b897475362101945744f277b233286f.jpg,http://www.duma.gov.ru/structure/deputies/1756554/,«ЕДИНАЯРОССИЯ»,Курганская областьЧелябинская область,1971-06-20,2016-09-18,,,7
1756555,Юрков Дмитрий Васильевич,http://www.duma.gov.ru/upload/iblock/407/40731a8214a84f0835f156a8410f361e.jpg,http://www.duma.gov.ru/structure/deputies/1756555/,«ЕДИНАЯРОССИЯ»,Архангельская область,1972-05-05,2016-09-18,,0072,7
1756556,Ющенко Александр Андреевич,http://www.duma.gov.ru/upload/iblock/bab/babe06be789bd5029e76a57000365d91.jpg,http://www.duma.gov.ru/structure/deputies/1756556/,КПР,Республика Башкортостан,1969-11-19,2016-09-18,,,7
1756557,Юмашева Инга Альбертовна,http://www.duma.gov.ru/upload/iblock/f59/f59fce483dc75e6e03f3ef740a09ca8e.jpg,http://www.duma.gov.ru/structure/deputies/1756557/,«ЕДИНАЯРОССИЯ»,Республика Башкортостан,1985-03-11,2016-09-18,,,7
1756558,Эмиргамзаев Абдулгамид Гасанович,http://www.duma.gov.ru/upload/iblock/ba5/ba5b1ef09ff193d67490e072c39490c2.jpg,http://www.duma.gov.ru/structure/deputies/1756558/,«ЕДИНАЯРОССИЯ»,Республика Дагестан,1965-05-26,2016-09-18,,0011,7
1756559,Щапов Михаил Викторович,http://www.duma.gov.ru/upload/iblock/fb4/fb428e4af80aa74811ed2d189305afed.jpg,http://www.duma.gov.ru/structure/deputies/1756559/,КПР,Иркутская область,1975-09-20,2016-09-18,,0093,7
1756560,Щаблыкин Максим Иванович,http://www.duma.gov.ru/upload/iblock/a3a/a3a90e5271f20a926e21697ae0516c6f.jpg,http://www.duma.gov.ru/structure/deputies/1756560/,«ЕДИНАЯРОССИЯ»,Ростовская область,1970-07-13,2016-09-18,,0154,7
1756561,Шхагошев Адальби Люлевич,http://www.duma.gov.ru/upload/iblock/133/13373049134d3f7155075a5982e33ce5.jpg,http://www.duma.gov.ru/structure/deputies/1756561/,«ЕДИНАЯРОССИЯ»,Кабардино-Балкарская Республика,1967-06-06,2016-09-18,,0014,7
1756562,Шурчанов Валентин Сергеевич,http://www.duma.gov.ru/upload/iblock/bec/becee156be84559251bb6645680e6012.jpg,http://www.duma.gov.ru/structure/deputies/1756562/,КПР,Республика Марий ЭлРеспублика МордовияЧувашская Республика – Чувашия,1947-01-19,2016-09-18,,,7
1756563,Шулепов Евгений Борисович,http://www.duma.gov.ru/upload/iblock/672/672fef0d38d4a65e8846556ee7b4cff9.jpg,http://www.duma.gov.ru/structure/deputies/1756563/,«ЕДИНАЯРОССИЯ»,Вологодская область,1958-06-08,2016-09-18,,0085,7
1756564,Шубин Игорь Николаевич,http://www.duma.gov.ru/upload/iblock/239/239e6b6796498c04d37fc803a3ba48d6.jpg,http://www.duma.gov.ru/structure/deputies/1756564/,«ЕДИНАЯРОССИЯ»,Пермский край,1955-12-20,2016-09-18,,0058,7
1756565,Шойгу Лариса Кужугетовна,http://www.duma.gov.ru/upload/iblock/335/33565f074ac64ae8bf82f47dd397eb2a.jpg,http://www.duma.gov.ru/structure/deputies/1756565/,«ЕДИНАЯРОССИЯ»,Республика ТываРеспублика ХакасияКрасноярский край,1953-01-21,2016-09-18,,,7
1756566,Шерин Александр Николаевич,http://www.duma.gov.ru/upload/iblock/e5a/e5aae50ccbacd0d5649822d4c510e1f9.jpg,http://www.duma.gov.ru/structure/deputies/1756566/,ЛДПР,Рязанская областьТамбовская областьЛипецкая область,1977-06-21,2016-09-18,,,7
1756567,Шеин Олег Васильевич,http://www.duma.gov.ru/upload/iblock/bc2/bc2e03420abae8572f713536d3b07c20.jpg,http://www.duma.gov.ru/structure/deputies/1756567/,«СПРАВЕДЛИВАЯРОССИЯ»,Республика КалмыкияАстраханская областьКалининградская область,1972-03-21,2016-09-18,,,7
1756568,Шаккум Мартин Люцианович,http://www.duma.gov.ru/upload/iblock/193/193b9e2b4cb9b479a6a308b5d598a8ed.jpg,http://www.duma.gov.ru/structure/deputies/1756568/,«ЕДИНАЯРОССИЯ»,Московская область,1951-09-21,2016-09-18,,0120,7
1756569,Шайхутдинов Рифат Габдулхакович,http://www.duma.gov.ru/upload/iblock/ba4/ba402b8e05cb49a4152b28330a096a49.jpg,http://www.duma.gov.ru/structure/deputies/1756569/,Внефй,Республика Башкортостан,1963-12-23,2016-09-18,,0006,7
1756570,Чиндяскин Сергей Викторович,http://www.duma.gov.ru/upload/iblock/2fa/2fabb9371d0175b3cfda9ab61a2a221f.jpg,http://www.duma.gov.ru/structure/deputies/1756570/,«ЕДИНАЯРОССИЯ»,Республика Марий ЭлРеспублика МордовияЧувашская Республика – ЧувашияНижегородская область,1965-12-09,2016-09-18,,,7
1756571,Чилингаров Артур Николаевич,http://www.duma.gov.ru/upload/iblock/2da/2da00138e0ee1a6f07dc34caaa3f4299.jpg,http://www.duma.gov.ru/structure/deputies/1756571/,«ЕДИНАЯРОССИЯ»,Республика ТываРеспублика ХакасияКрасноярский край,1939-09-25,2016-09-18,,,7
1756572,Чижов Сергей Викторович,http://www.duma.gov.ru/upload/iblock/a35/a353cbae3cb608034cd7b1cdc5b062db.jpg,http://www.duma.gov.ru/structure/deputies/1756572/,«ЕДИНАЯРОССИЯ»,Воронежская область,1964-03-16,2016-09-18,,0088,7
1756573,Черкасов Кирилл Игоревич,http://www.duma.gov.ru/upload/iblock/c5c/c5c2b570ff666f54dd72c1a3c0bf44a3.jpg,http://www.duma.gov.ru/structure/deputies/1756573/,ЛДПР,Кировская областьРеспублика КомиРеспублика Марий Эл,1967-04-03,2016-09-18,,,7
1756574,Чепа Алексей Васильевич,http://www.duma.gov.ru/upload/iblock/439/439300b9bd66c40f8291f9fa7bfd92cc.jpg,http://www.duma.gov.ru/structure/deputies/1756574/,«СПРАВЕДЛИВАЯРОССИЯ»,Вологодская областьНовгородская областьТверская область,1955-11-22,2016-09-18,,,7
