id,label,type
Q1173947,Cabinet Secretary for Rural Affairs and the Environment,cabinet
Q1362216,First Minister of Scotland,cabinet
Q16148216,Cabinet Secretary for Health and Wellbeing,cabinet
Q16933965,Minister for Parliamentary Business,cabinet
Q1807003,Lord Advocate,cabinet
Q18760239,"Minister for Sport, Health Improvement and Mental Health",cabinet
Q20042662,Minister for Employability and Training,cabinet
Q24197309,"Cabinet Secretary for Economy, Jobs and Fair Work",cabinet
Q30762640,Cabinet Secretary for Education and Skills,cabinet
Q30762819,Cabinet Secretary for Finance and the Constitution,cabinet
Q30762929,Cabinet Secretary for Health and Sport,cabinet
Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",cabinet
Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",cabinet
Q30763620,Cabinet Secretary for the Rural Economy and Connectivity,cabinet
Q30767816,Minister for Children and Education,cabinet
Q30768016,"Minister for Social Inclusion, Local Government and Housing",cabinet
Q30768476,Minister for Finance,cabinet
Q30768665,Minister for Health and Community Care,cabinet
Q30768793,Chief Whip and Government Business Manager,cabinet
Q30769027,Minister for Rural Affairs,cabinet
Q30769264,Minister for Transport and the Environment,cabinet
Q30770915,Minister for Justice,cabinet
Q30775634,"Minister for Education, Europe and External Affairs",cabinet
Q30776055,"Minister for Environment, Sport and Culture",cabinet
Q30776391,Minister for Finance and Local Government,cabinet
Q30777136,Minister for Parliament,cabinet
Q30777441,Minister for Rural Development,cabinet
Q30777876,Minister for Environment and Rural Development,cabinet
Q30778119,Minister for Transport and Telecommunications,cabinet
Q30778783,Minister for Transport and Planning,cabinet
Q30779962,Minister for Social Justice,cabinet
Q30864059,Minister for Education and Young People,cabinet
Q30864358,"Minister for Enterprise, Transport and Lifelong Learning",cabinet
Q30864563,Minister for Culture and Sport,cabinet
Q30864809,Minister for Finance and Public Services,cabinet
Q30868809,Minister for Communities,cabinet
Q30868914,"Minister for Tourism, Culture and Sport",cabinet
Q30869200,Minister for Transport,cabinet
Q30869794,Minister for Transport and Telecommunications,cabinet
Q30878519,Minister for Finance and Public Service Reform,cabinet
Q30879247,Cabinet Secretary for Finance and Sustainable Growth,cabinet
Q30879924,"Cabinet Secretary for Finance, Constitution and Economy",cabinet
Q30881687,"Minister for Transport, Infrastructure and Climate Change",cabinet
Q30881781,Minister for Transport and Infrastructure,cabinet
Q30881862,Minister for Housing and Transport,cabinet
Q30881993,Minister for Transport and Islands,cabinet
Q30882171,Minister for Transport and the Islands,cabinet
Q30885996,"Cabinet Secretary for Health, Wellbeing and Cities Strategy",cabinet
Q30886058,Cabinet Secretary for Health and Wellbeing,cabinet
Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport",cabinet
Q30886611,Cabinet Secretary for Parliamentary Business and Government Strategy,cabinet
Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs",cabinet
Q30887278,Cabinet Secretary for Culture and External Affairs,cabinet
Q30908757,"Cabinet Secretary for Infrastructure, Capital Investment and Cities",cabinet
Q30909024,Cabinet Secretary for Infrastructure and Capital Investment,cabinet
Q30909593,"Cabinet Secretary for Training, Youth and Women’s Employment",cabinet
Q30910022,"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights",cabinet
Q30914031,"Cabinet Secretary for Rural Affairs, Food and Environment",cabinet
Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",cabinet
Q5015475,Cabinet Secretary for Education and Lifelong Learning,cabinet
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",cabinet
Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities",cabinet
Q5015480,Cabinet Secretary for Justice,cabinet
Q5261035,Deputy First Minister of Scotland,cabinet
Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights",cabinet
Q6865773,Minister for Community Safety and Legal Affairs,cabinet
Q6865811,"Minister for Business, Energy and Tourism",cabinet
Q6865814,Minister for Enterprise and Lifelong Learning,cabinet
Q6865870,Minister for Housing and Welfare,cabinet
Q6865911,"Minister for Further Education, Higher Education and Science",cabinet
Q6865919,Minister for Local Government and Community Empowerment,cabinet
Q6865944,Minister for Public Health,cabinet
Q6865983,Minister for Transport and Veterans,cabinet
Q6865992,"Cabinet Secretary for Fair Work, Skills and Training",cabinet
