id,name__fr,name,wikipedia__fr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__VIAF,identifier__SUDOC,identifier__freebase,image,name__nb,name__da,name__nn,name__sv,name__de,name__et,name__gl,name__ja,name__pl,name__nl,name__es,name__it,wikipedia__de,wikipedia__et,wikipedia__gl,wikipedia__it,wikipedia__ja,wikipedia__pl,identifier__BNF,family_name,original_wikiname,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__oc,name__br,name__am,name__ar,name__pt,name__eo,name__ru,name__sr_el,name__sr_ec,name__tr,name__mk,name__fi,name__uk,name__be_tarask,name__io,name__hr,name__vec,name__arz,name__ko,name__be,name__he,name__yo,name__id,name__wo,name__hi,name__ht,name__sk,name__ro,name__ca,name__la,name__sl,name__war,name__cs,name__bg,name__km,name__ka,name__lt,name__fa,name__cy,name__en_ca,name__en_gb,name__pt_br,name__sr,name__zh,name__de_ch,name__el,name__qu,name__pa,name__mg,name__mr,name__az,name__kk,name__sh,name__lv,name__ne,name__vi,name__sco,name__ast,wikipedia__am,wikipedia__ar,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__glwikiquote,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ht,wikipedia__id,wikipedia__io,wikipedia__itwikiquote,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__mk,wikipedia__mr,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vec,wikipedia__vi,wikipedia__war,wikipedia__wo,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__NDL,identifier__MusicBrainz,death_date,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__sycomore,identifier__CANTIC,identifier__Britannica,identifier__senatDOTfr,identifier__FAST,identifier__Munzinger,identifier__NLA,name__pms,wikipedia__pms,identifier__GNC,name__nds,name__hu,identifier__KLfG,identifier__CTHS,last_seen,wikipedia__ln,identifier__PACE,name__ln,identifier__NNDB,occupation,identifier__nlg,wikipedia__sw,name__sw,identifier__snac,identifier__persee,identifier__GTAA,name__li,name__gsw,wikipedia__hrwikiquote,wikipedia__mwl,wikipedia__simple,name__mwl,wikipedia__kbp,wikipedia__hu,name__kbp,identifier__dialnet,identifier__BIBSYS,identifier__discogs,identifier__PTBNP,identifier__bigenc_ru,identifier__CONOR,identifier__IMDB,identifier__AlloCine,identifier__allmovie,identifier__CSFD,identifier__kinopoisk,name__hy,identifier__ne_se,identifier__NLAtrove,wikipedia__th,name__th
Q1165453,Daouda Sow,Daouda Sow,Daouda Sow (homme politique),Daouda Sow,Daouda Sow (politician),male,1933,,202253871,,/m/09v985t,,Daouda Sow,Daouda Sow,Daouda Sow,Daouda Sow,Daouda Sow,,,ダウダ・ソウ,,Daouda Sow,,,Daouda Sow (Politiker),,,,ダウダ・ソウ (政治家),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daouda Sow,,,,,,,,Daouda Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-06,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15542603,Aïssata Tall Sall,Aïssata Tall Sall,Aïssata Tall Sall,Aissata Tall Sall,,female,1957-12-12,Aïssata,,,,,,,,,Aïssata Tall Sall,,,,,Aissata Tall Sall,Aïssata Tall Sall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aïssata Tall Sall,,,,,Aissata Tall Sall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aïssata Tall Sall,,,,,,,,,Aïssata Tall Sall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,170194,p477584,147363,,,,,,
Q15974724,Cherif El Waly Diop,Cherif El Waly Diop,Cherif El Waly Diop,Cherif El Waly Diop,,male,,,,,,,,,,,,,,,,Cherif El Waly Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherif El Waly Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16267249,Assane Diagne,Assane Diagne,Assane Diagne,Assane Diagne,,male,1947-01-15,,6680148523912920970004,,,,,,,,,,,,,Assane Diagne,,Assane Diagne,,,,,,,,,,,,,,,,,,,,,,,,Ассан Диане,,,,,,,,,,,,,,,,,,,,,,,,Assane Diagne,,,,,,,,Assane Diagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3437 8483,1123513155,,,,2013-07-28,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16668814,Papa Babacar Mbaye,Papa Babacar Mbaye,Papa Babacar Mbaye,Papa Babacar Mbaye,,male,1967-04-15,,,,,,,,,,,,,,,Papa Babacar Mbaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papa Babacar Mbaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-01-30,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17350914,Anta Sarr,Anta Sarr,Anta Sarr,Anta Sarr,,female,1962-08-13,,,,,,,,,,,,,,,,,Anta Sarr,,,,,,,,,Anta Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anta Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1951094,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,male,1939-11-04,Moustapha,140085717,,/m/058ksq,https://upload.wikimedia.org/wikipedia/commons/7/71/Moustapha_niasse.jpg,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,ムスタファ・ニアス,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,Moustapha Niasse,ムスタファ・ニアス,Moustapha Niasse,,,Moustapha Niasse,,穆斯塔法·尼亚斯,穆斯塔法·尼亞斯,,穆斯塔法·尼亚斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moustapha Niasse,,,,,,,,,,,,,倪雅思,,,,,,,,,,,,,,,,,,,,,,,,,Category:Moustapha Niasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 9510 5198,,,,,,,,,,,,,,,,,,,,,,Moustapha Niasse,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2308862,Abdoulaye Diack,Abdoulaye Diack,Abdoulaye Diack,Abdoulaye Diack,,male,1933-04-07,Abdoulaye,,,,,Abdoulaye Diack,Abdoulaye Diack,Abdoulaye Diack,Abdoulaye Diack,,,,,,Abdoulaye Diack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdoulaye Diack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2608966,Jacques Diouf,Jacques Diouf,Jacques Diouf,Jacques Diouf,Jacques Diouf,male,1938-08-01,Jacques,232508484,,/m/03cllh_,https://upload.wikimedia.org/wikipedia/commons/2/2a/Jacques_Diouf.jpg,Jacques Diouf,Jacques Diouf,Jacques Diouf,Jacques Diouf,Jacques Diouf,,Jacques Diouf,,,Jacques Diouf,Jacques Diouf,Jacques Diouf,,,Jacques Diouf,Jacques Diouf,,,,Diouf,,,雅克·迪乌夫,雅克·迪烏夫,,雅克·迪乌夫,,,,,,,جاك ضيوف,Jacques Diouf,,,,,,,,,,,,,,,,,,,,जैक्स डियोफ,,,,,,Jacques Diouf,,,,,,,,,,,,,,,,,,Jacques Diouf,,,,,,,,,,,جاك ضيوف,,,,,,,,,Jacques Diouf,,,,,,,Jacques Diouf,Jacques Diouf,,,,,,जैक्स डियोफ,,,,,,,,,,,,,,Jacques Diouf,,,,,,,,Jacques Diouf,,,,,,,,,Jacques Diouf,,,,,,,,,0000 0003 6672 9673,,,,,,,,,,,,,,,,,,,,,,Jacques Diouf,,121918,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2821341,Abdou Fall,Abdou Fall,Abdou Fall,Abdou Fall,,male,1952-01-29,,,,,,Abdou Fall,Abdou Fall,Abdou Fall,Abdou Fall,,,,,,,,Abdou Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdou Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2821364,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,male,1947,Abdoulaye,24652688,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/AssisesNationalesSénégal52.jpg,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,,,,,Abdoulaye Bathily,Abdoulaye Bathily,Abdoulaye Bathily,,,,Abdoulaye Bathily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdoulaye Bathily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Abdoulaye Bathily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6644 7623,,nr90006250,,,,,,,,149062192,,,,,,,,,,,,Abdoulaye Bathily,,,,,,,,politician,,,,,,,,,,,,,,,,,28094,,1002678,,,,,,,,,,,,
Q2821374,Abdoulaye Fofana,Abdoulaye Fofana,Abdoulaye Fofana,Abdoulaye Fofana,,male,1917-07-17,Abdoulaye,,,,,Abdoulaye Fofana,Abdoulaye Fofana,Abdoulaye Fofana,Abdoulaye Fofana,Abdoulaye Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdoulaye Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-08-24,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2821403,Abdourahmane Sow,Abdourahmane Sow,Abdourahmane Sow,Abdourahmane Sow,Abdourahmane Sow,male,1942-03-14,,316392340,,,,Abdourahmane Sow,Abdourahmane Sow,Abdourahmane Sow,Abdourahmane Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdourahmane Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
