id,honorific_prefix,name,email,image,identifier__peoples_assembly
a-m-figlan,Mr,Archibold Mzuvukile Figlan,afiglan@parliament.gov.za,https://www.pa.org.za/media_root/cache/b4/14/b414c2deed005a16e89c4f5901d4ee7b.jpg,625
abinaar-modikela-matlhoko,Mr,Abinaar Modikela Matlhoko,amatlhoko@parliament.gov.za,https://www.pa.org.za/media_root/cache/02/22/022201a615ae490d98eaded555f3a4af.jpg,6995
abram-molefe-mudau,Mr,Abram Molefe Mudau,molefe.mudau@gmail.com,https://www.pa.org.za/media_root/cache/0f/04/0f04b35f65e6af1dfea6cfa10a1adcc2.jpg,4332
adrian-christopher-roos,"",Adrian Christopher Roos,dadrianroos@gmail.com,https://www.pa.org.za/static/images/person-210x210.jpg,11153
adrian-john-williams,Mr,Adrian John Williams,awilliams@parliament.gov.za,https://www.pa.org.za/media_root/cache/e1/64/e16453e580e4fce21762458cce2547c1.jpg,1002
agnes-noluthando-daphne-qikani,Ms,Agnes Daphne Noluthando Qikani,aqikani@parliament.gov.za,https://www.pa.org.za/media_root/cache/55/1e/551e90701da4861a3295587d6abb6a09.jpg,1063
agnes-tuck,"",Agnes Tuck,atuck@parliament.gov.za,https://www.pa.org.za/media_root/cache/24/e5/24e599126e6f26aeef6131c573813934.jpg,9624
ahmed-munzoor-shaik-emam,Mr,Ahmed Munzoor Shaik Emam,mshaik-emam@parliament.gov.za,https://www.pa.org.za/media_root/cache/c6/34/c6348030af70abc254c982af7fc925e5.jpg,7763
alan-ross-mcloughlin,Mr,Alan Ross Mcloughlin,mcloughlin@parliament.gov.za ; alanmcloughlin250@gmail.com,https://www.pa.org.za/media_root/cache/32/8a/328a9296b1dda7ecf808f8e605b712f6.jpg,6232
albert-mammoga-seabi,"",Albert Mammoga Seabi,"",https://www.pa.org.za/static/images/person-210x210.jpg,9684
albert-mammoga-seabi,"",Albert Mammoga Seabi,"",https://www.pa.org.za/static/images/person-210x210.jpg,9684
alexandra-jennifer-beukes,"",Alexandra Jennifer Beukes,"",https://www.pa.org.za/media_root/cache/8a/9b/8a9b463ffd495629ec9e7c84a0036da6.jpg,4581
alexandra-lilian-amelia-abrahams,"",Alexandra Lilian Amelia Abrahams,alexandra.abrahams@gmail.com,https://www.pa.org.za/static/images/person-210x210.jpg,14995
alfred-mkhipheni-mpontshane,Mr,Alfred Mkhipheni Mpontshane,ampontshane@parliament.gov.za,https://www.pa.org.za/media_root/cache/ea/a9/eaa911ce50103e468945a3b5ddc93dfa.jpg,825
alice-hlebani-mthembu,"",Alice Hlebani Mthembu,"",https://www.pa.org.za/static/images/person-210x210.jpg,13744
alina-mfulo,Ms,Alina Mfulo,mfulo.Thandiwe@gmail.com,https://www.pa.org.za/media_root/cache/52/1f/521f631ef3767c0be2df9f36c42373d5.jpg,782
altia-sthembile-hlongo,"",Altia Sthembile Hlongo,"",https://www.pa.org.za/static/images/person-210x210.jpg,14408
alvin-botes,"",Alvin Botes,alvinbotes@hotmail.com,https://www.pa.org.za/media_root/cache/c6/27/c627833fee584e00dc4032d19673606b.jpg,4567
alvin-botes,"",Alvin Botes,alvinbotes@hotmail.com,https://www.pa.org.za/media_root/cache/c6/27/c627833fee584e00dc4032d19673606b.jpg,4567
amanda-ngwenya,"",Gwen Ngwenya,gwenngwenya@outlook.com,https://www.pa.org.za/media_root/cache/e2/52/e252df5c6469ce0a68545b1921a0fad4.jpg,9673
amos-fish-mahlalela,Mr,Amos Fish Mahlalela,"",https://www.pa.org.za/media_root/cache/1d/e1/1de1ded00facbb4ea7f1ffdb9446fb0b.jpg,4187
amos-fish-mahlalela,Mr,Amos Fish Mahlalela,"",https://www.pa.org.za/media_root/cache/1d/e1/1de1ded00facbb4ea7f1ffdb9446fb0b.jpg,4187
anastasia-motaung,"",Anastasia Motaung,"",https://www.pa.org.za/static/images/person-210x210.jpg,13275
anchen-margaretha-dreyer,Mrs,Anchen Margaretha Dreyer,anchend@absamail.co.za,https://www.pa.org.za/media_root/cache/61/88/6188b9bda2dbac339e66bdd1a7802bac.jpg,610
andrew-frans-madella,Mr,Andrew Frans Madella,amadella@parliament.gov.za,https://www.pa.org.za/media_root/cache/e7/ea/e7eadc1b9e7e73e5dfbc0d153a75e692.jpg,4344
andrew-grant-whitfield,Mr,Andrew Grant Whitfield,whitfield.andrew@gmail.com,https://www.pa.org.za/media_root/cache/98/80/9880c10241638cc0fdbc353a44694362.jpg,6199
andrew-grant-whitfield,Mr,Andrew Grant Whitfield,whitfield.andrew@gmail.com,https://www.pa.org.za/media_root/cache/98/80/9880c10241638cc0fdbc353a44694362.jpg,6199
andricus-pieter-van-der-westhuizen,Mr,Andricus Pieter Van der Westhuizen,anvanderwesthuizen@parliament.gov.za ; andricusvdw@mweb.co.za,https://www.pa.org.za/media_root/cache/7e/30/7e30bb1753d3dc81a214646fad470969.jpg,996
