id,name,position,start_date,end_date,type
6bf4d593-fc25-4d82-958e-954c21d1efdb,Mariano Rajoy,Minister of the Interior,2001-02-27,2002-07-10,cabinet
6bf4d593-fc25-4d82-958e-954c21d1efdb,Mariano Rajoy,Deputy Prime Minister of Spain,2000-04-27,2003-09-04,cabinet
6bf4d593-fc25-4d82-958e-954c21d1efdb,Mariano Rajoy,Prime Minister of Spain,2011-12-21,2018-06-02,cabinet
5a5937a9-7b44-44d6-acd0-aa0ef698320c,Jorge Fernández,Minister of the Interior,2011-12-22,2016-11-04,cabinet
ab7dc9a8-8ae8-44f9-95c5-fe3cb3633745,Trinidad Jiménez,Minister of Foreign Affairs of Spain,2010-10-21,2011-12-22,cabinet
ab7dc9a8-8ae8-44f9-95c5-fe3cb3633745,Trinidad Jiménez,Minister of Health and Social Policy,2009-04-07,2010-10-21,cabinet
a0432c34-56c6-42b3-bb99-eaea83f19976,José Luis Ábalos,Minister of Public Works of Spain,2018-06-07,,cabinet
6d148b88-0bac-4f35-9ad9-f403dc5ed7c7,María Soraya Sáenz,Minister of Justice,2014-09-24,2014-09-29,cabinet
6d148b88-0bac-4f35-9ad9-f403dc5ed7c7,María Soraya Sáenz,Deputy Prime Minister of Spain,2011-12-22,2018-06-07,cabinet
3df0069c-d88b-4267-ac68-f19b8c11bb8c,Pedro Sánchez,Prime Minister of Spain,2018-06-02,,cabinet
d6d9c1e6-8e07-4fb3-ae10-545982b50744,Manuel María Chaves,Minister of Territorial Policy,2009-04-07,2010-10-20,cabinet
d6d9c1e6-8e07-4fb3-ae10-545982b50744,Manuel María Chaves,Minister of Territorial Policy,2010-10-20,2011-12-21,cabinet
d6d9c1e6-8e07-4fb3-ae10-545982b50744,Manuel María Chaves,Second Deputy Prime Minister,2011-07-11,2011-12-21,cabinet
