id,name,position_id,position,label,start_date,end_date,ordinal
Q17011652,Tilak Marapana,Q17011652-1dad48ca-48af-0dba-e827-6e88ee4ed7ec,Q16056689,Minister of Defence,2001-12-12,2003-11,0
Q17011652,Tilak Marapana,Q17011652-03611ad9-4e02-624a-b578-e49a88184934,Q29057378,Minister of Transport,2002,2004-04,0
Q17011652,Tilak Marapana,Q17011652-14abac4d-4fbf-f2f2-44d5-b514279fe45a,Q4294928,Minister of Foreign Affairs of Sri Lanka,2017-08-15,,0
Q194291,Sirimavo Bandaranaike,Q194291-C70BB1BD-9A83-43AF-A765-8FD8707C1410,Q1758894,Prime Minister of Sri Lanka,1970-05-29,1972-05-22,0
Q194291,Sirimavo Bandaranaike,Q194291-07F13F99-6B7C-4E10-A0AA-FB6F53C58649,Q1758894,Prime Minister of Sri Lanka,1994-11-14,2000-08-10,0
Q206638,Lakshman Kadirgamar,Q206638-0391EFB8-8985-4EA8-8D57-561015C16D34,Q4294928,Minister of Foreign Affairs of Sri Lanka,1994,2001,0
Q206638,Lakshman Kadirgamar,Q206638-7161d4d0-4a7f-98b5-8e27-0d684f01c958,Q4294928,Minister of Foreign Affairs of Sri Lanka,2004,2005-08-12,0
Q207432,Chandrika Kumaratunga,Q207432-384a6e58-4fc3-b6d5-0690-d4daefa76d45,Q1758894,Prime Minister of Sri Lanka,1994-08-19,1994-11-12,0
Q207432,Chandrika Kumaratunga,Q207432-c9e624a6-44e4-2e3e-08f0-0cbe5e4e3a6a,Q6866137,Minister of Finance of Sri Lanka,1994-09-30,2001-12-05,0
Q2506866,Tyronne Fernando,Q2506866-44b4fe39-45ec-f19c-3a90-8b006845d2c8,Q4294928,Minister of Foreign Affairs of Sri Lanka,2001,2004,0
Q314009,Ratnasiri Wickremanayake,Q314009-05f12b56-46dc-31b1-fd82-6dd61fc08883,Q1758894,Prime Minister of Sri Lanka,2000-08-10,2001-12-09,0
Q314009,Ratnasiri Wickremanayake,Q314009-6d69fb0f-450b-67c9-f391-03f51aa17944,Q1758894,Prime Minister of Sri Lanka,2005-11-19,2010-04-21,0
Q3285700,Mangala Samaraweera,Q3285700-67978e9b-442d-2c44-f659-3070ccb99445,Q4294928,Minister of Foreign Affairs of Sri Lanka,2005-11-23,2007-01-28,0
Q3285700,Mangala Samaraweera,Q3285700-e936deeb-4675-3955-45eb-43ba04878f70,Q4294928,Minister of Foreign Affairs of Sri Lanka,2015-01-12,2017-05-22,0
Q3285700,Mangala Samaraweera,Q3285700-9723ed89-496e-ac55-f882-4dc4f8c1bb24,Q6866137,Minister of Finance of Sri Lanka,2017-05-22,,0
Q3439757,Rohitha Bogollagama,Q3439757-79c98a75-44be-796f-0cef-d1e4b837e1d9,Q4294928,Minister of Foreign Affairs of Sri Lanka,2007-01-28,2010-04-23,0
Q4647836,A. H. M. Fowzie,Q4647836-1308cec7-4418-fe8c-229c-736f660353ef,Q29057378,Minister of Transport,,,0
Q469036,Dingiri Banda Wijetunga,Q469036-14d9f39b-440d-b5ec-9557-b75d0cf91d2f,Q1758894,Prime Minister of Sri Lanka,1989-03-03,1993-05-07,0
Q469661,Junius Richard Jayewardene,Q469661-c026dd2c-43f1-7cda-bade-2ff16d9b741d,Q6866137,Minister of Finance of Sri Lanka,1947-09-26,1953-10-13,1
Q469661,Junius Richard Jayewardene,Q469661-AA34611F-828B-4FC9-BDEE-109111171F76,Q6866137,Minister of Finance of Sri Lanka,1960-04-24,1960-07-20,7
Q5313444,Dullas Alahapperuma,Q5313444-817d3a64-4525-705d-4b67-3c4ccb822860,Q29057378,Minister of Transport,,,0
Q5442299,Felix Perera,Q5442299-d7a5ba30-46c1-15a1-94b2-ca07f71cc6d0,Q29057378,Minister of Transport,,,0
Q5512329,G. L. Peiris,Q5512329-d639d47c-4ea5-9558-c723-1d4134619e37,Q4294928,Minister of Foreign Affairs of Sri Lanka,2010-04-23,2015-01-12,0
Q559898,D. M. Jayaratne,Q559898-aa78b01e-4d4e-fefc-bc76-d828dc90d564,Q1758894,Prime Minister of Sri Lanka,2010-04-21,2015-01-09,14
Q57338,Mahinda Rajapaksa,Q57338-E91CA832-CAF1-4E80-A6B3-778C83180031,Q1758894,Prime Minister of Sri Lanka,2004-04-06,2005-11-19,0
Q57338,Mahinda Rajapaksa,Q57338-6e63408f-4922-1423-84db-f3e52fca1275,Q1758894,Prime Minister of Sri Lanka,2018-10-26,2018-11-14,0
Q57338,Mahinda Rajapaksa,Q57338-411361EB-1BE0-4B6B-8C1D-0221712E831D,Q6866137,Minister of Finance of Sri Lanka,2005-11-23,2015-01-09,0
Q612582,Anura Bandaranaike,Q612582-cee7edc0-468d-2d3f-f700-7a35de09f5d5,Q4294928,Minister of Foreign Affairs of Sri Lanka,2005-08,2005-11-23,0
Q6323633,K. N. Choksy,Q6323633-8e0c9dac-47a7-0669-5a9b-460accb2c225,Q6866137,Minister of Finance of Sri Lanka,2001-12-12,2004-04-06,0
Q6443523,Kumara Welgama,Q6443523-b6b8ffda-4c98-8e0a-5835-962765bcc587,Q29057378,Minister of Transport,,,0
Q663001,Don Stephen Senanayake,Q663001-aff10d6c-4c02-91fe-cf55-6d636a4ffdde,Q1758894,Prime Minister of Sri Lanka,1947-09-24,1952-03-22,0
Q6737124,Maithripala Sirisena,Q6737124-2b4bd389-4699-3711-1e05-715ed5f300a8,Q16056689,Minister of Defence,2015-01-12,,0
