name,id
Maher el-Hajjar,2086d4b4-3420-43c8-a096-5c91dcf123e7
Maher Hajjar,2086d4b4-3420-43c8-a096-5c91dcf123e7
Mohammad Jihad al-Laham,41af2f16-8b4b-4456-a06e-6da4f94d70f0
Muhammad Dschihad al-Lahham,41af2f16-8b4b-4456-a06e-6da4f94d70f0
Махер Абдель Хафиз Хаджар,2086d4b4-3420-43c8-a096-5c91dcf123e7
מוחמד ג'יהאד אל-לחאם,41af2f16-8b4b-4456-a06e-6da4f94d70f0
آل حسن بري,46d9b0a3-b5d3-4fc7-a1fc-cda0fc57d5f9
آل حسن بري,83affdff-5a95-4b84-bfe3-e1b42c069246
أحمد ابراهيم,3abbe716-433a-44ec-9439-3d21bf90c21b
أحمد الحسن الهلال,a316ffcd-f655-4efa-9a38-07841ac35836
أحمد الحميدي,44971339-2e95-47fd-949f-c15940cc36c0
أحمد العلي,41848f88-cb39-461e-8f46-6cf057402621
أحمد العلي الحمرا,ed0b506b-435f-47f5-8b8b-c4b575ae7264
أحمد العلي الحمرة,ce6ec413-2ebc-40d1-995c-1899b68a928a
أحمد الفرج,d0c1aec6-1a50-4dbf-9e09-cca352a7065c
أحمد المبارك,ed0d4bb4-7d61-4658-8fc6-2b9a1dd8ac76
أحمد المحمود الدرويش,b3a3ce6d-d3eb-4908-8c8b-a243b8f492ef
أحمد الهلال,0efde7a2-3dd7-48d4-bc14-d9848d0f7179
أحمد جريخ,956ef08a-33bc-4274-9f1a-2b8a82d8b80c
أحمد ديب قباني,ff8f817c-9f1e-42ce-8c3d-609b2dd14274
أحمد زيتون,5fabc5a1-056b-4a83-b468-b7812e82e19a
أحمد قباني,e4e7b51e-0008-4ea9-a947-ff800e142cd2
أحمد كزبري,7824efc8-ab80-49ef-b656-988e4e89013e
أحمد كزبري,df41e654-2a40-4764-b1ca-88ae53b90a1d
أحمد مرعي,74b37bf2-faa5-4ef1-8dc7-0ce14bcf8cb7
أحمد نور الدين شلاش,c5e01db3-98d9-4d0d-baa4-3b9c1dc802b7
أركان الشوفي,9a4275fb-0e4f-426e-9670-3d58780007b7
أركان نصر,d6f67645-9abe-4587-ac14-cbdff3ed5e15
أسامة مصطفى,435ee849-86ae-4f67-917a-d46c2f16af16
أسعد المحمد,75ff1eff-1830-49ff-8323-6bdf32f46f7a
أشواق عباس,ab1438bf-1f7b-4a6d-b76c-231e98cc7708
أكرم خليل,e25128cc-0f82-400b-9967-f58a8d186f6e
أكرم هواش,9fa912f3-0b56-4fe6-a29c-ed7e717c64c9
أميرة الغانم,46e91eb0-2739-431e-adfe-db1d43d98e27
أميرة ستيفانو,0855f03a-6271-42ab-a77e-d3dccc3385f4
أميمة خضور,627c86fc-fbed-4597-b273-f63b411f4cd7
أنس زريع,0c37b078-e9f7-4ce1-b1f1-eaed79be03cc
أيمن بلال,11a94d2e-b2d5-4b99-b520-9a35336ad571
أيمن حروق,72159157-5d4b-4861-95dd-e7ddfa2f67b4
أيمن ملندي,851bbd7b-bd69-45ed-9d6c-e998f7e4aaf1
أيمن ملندي,92e54186-00bb-4831-baa6-26fc4e430311
أيهم جريكوس,351b67dd-405d-4486-956f-4fd360d6626b
أيهم جريكوس,ac9a2df8-155a-4f9a-8791-c30e2c0990d4
إبراهيم الداير,12c5c788-6eee-47e2-8ca6-8f2e47619d2c
إسماعيل الحجو,d294fc89-e08c-4c6b-b4cf-be3685e27ea7
إلياس شاهين,cac681b7-452f-4d69-8b4f-a66d69c677e3
إلياس مراد,ecdd3c66-2399-4ff0-a469-d24eddf1afda
إياد سليمان,79fcf90e-3bb4-44c0-85a9-e46202a84334
إيمان بابللي,063734f7-0b52-4a8d-955e-f4026dde2c07
إيناس الملوحي,802be2b2-31cc-4bc9-b68d-31efff183de4
ابتسام الدبس,98ec487b-ec47-4d23-9381-c2674cdba5b8
ابراهيم الحاج محمد علي,1e9a9f58-39d7-48d8-82f2-187463616fe0
ابراهيم المحمود,28758190-1991-401e-b977-af6d7935e405
احمد ابراهيم,5619ebc8-1325-455e-b243-b4c6a0e71c2c
اسكندر جرادة,4fe99fe1-08c2-4260-ba3b-2fd05841968a
اسكندر حداد,28d3b1bc-2f60-43fe-a9f8-ee8299ec5ad3
اسماعيل الحسن الربيع,ee3b6b44-a387-4c5b-8f53-609e243b3543
الان بكر,e445e38f-fe8e-470a-a5f7-18bee73b9bab
باسل عيسى,465051f3-b064-43d8-b10c-a0dc8cc3b1c4
باسل عيسى,d2f38cfc-76a6-4e3e-9099-c6f257f0c713
باسم ابراهيم,1c84844f-0bc2-46f1-8e23-c722a9171a11
باسم سودان,7edb6d58-29ac-419b-a956-0c2b74ffa548
بديع الحسين,c60f8707-7d5e-41c3-913b-05c0c116d723
بديع الدروبي,41009783-dc47-4bd1-b444-22e63a4e22e0
بديع الدروبي,d3783539-7cf1-44f9-961d-6463ea089e06
بديع صقور,6256fd59-3208-4c47-b61b-32b54fd413b5
برهان العبد الوهاب,7f0f0d2a-b7b1-4047-bf72-89e0881b2bbf
برهان العبد الوهاب,d0c9a74b-5d91-423c-947e-5e3b13f08061
بشار اليازجي,098dc047-362e-427a-8b4e-a271628e1821
بشار جنيد,a4bc2f25-a71f-4245-9c3e-0f94f00fc89e
بشر يازجي,679072b1-5ffc-4b7e-bfd3-0d310c8548df
بطرس مرجانه,363e7159-4b98-4f3a-a1e4-248eb380e366
بطرس مرجانه,cd1803bc-178f-430f-8d7d-dcac72661c45
بلال ديب,be48de85-e633-49ee-9af9-fed35203b6a9
بندر الضيف,3729d08c-51f5-40e2-8169-3237c6e2a36b
تركي الزايد المصطفى,38f8b7e3-7609-4cab-af96-312ff95a41da
توفيق اسكندر,d0a5e850-37aa-4652-bf07-e70c26e24e49
تيسير الجغيني,163f1c0c-8b1b-41ad-b473-f284baefdc10
جاسم البدر,3a5a63be-2e64-4737-8715-787e357c08a9
جانسيت قازان,3087de15-4bb4-4a46-b45d-307d956626e4
جرجس الشنور,fc82a102-4cd1-4b45-9b13-d859cc4f74a2
جمال الدين عبدو,6314f711-1b58-45ce-b03b-162b1ecf59e0
جمال الزعبي,4736869d-8159-45de-8719-8da2933a303e
جمال القادري,2a93cc80-dec6-4db2-bd64-c50cf1e412f4
جمال حساني,c4d52e02-5dbe-4aec-9284-7dc6e06bbff8
جمال رابعة,80c9c501-115c-4b97-8517-c2d2bd338990
جمال رابعة,e11e3b3a-a1f2-4823-bd24-493a12ed0acf
جمال قادري,82844751-68f9-4ef5-92d7-a1b4a28adac1
جمال مصطو,60fa551d-01ca-4c6b-9c21-3431b456ad6f
جمال يوسف,dc908b9f-f1d0-4de3-8471-89e2f236f758
جمانة أبو شعر,4c5ad9f0-f7b8-4250-ab52-2318742adc81
جميل الجبه جي,7cd903c8-c6f7-4890-8b40-57a27f7a229c
جهاد الشخير,07e27307-1e01-4e63-8e8e-be701e060d7d
جورج نخلة,be3b7d90-0355-431d-839e-bb1ea1e06f86
جورجينا رزق,691cd784-9c1f-42cf-9b8c-814f979f374a
جورجينا رزق,be96988b-b7e7-4c60-87b5-0d612ed87683
جيراير رائيسيان,ebc28a40-cb34-4102-999a-96f094f6ea47
حامد ابراهيم,c6256791-eaba-4545-898a-3385e74576a4
حامد الجاسم,841f7215-9df8-4531-b6eb-48e71e1a2a48
حامد حسن,039df568-c4c9-43f1-8cb1-155e7433d4c3
حسام قاطرجي,3a0f720d-ec56-4c68-af1b-c7a95d8ebe2c
حسن المسلط,7b7ce782-8118-4ee2-b693-384bf214616b
حسن خللو,7727c77e-82a4-4999-8778-1e7ad7bc57be
حسن سلومي,8ae61c6d-5490-44e8-895e-6811d553d9e0
حسن شهيد,9496d4da-87e3-49de-b240-ccd0f50a461a
