id,name__en,name__de,name__nl,name__fr,name,wikipedia__en,gender,original_wikiname,name__yo,name__la,name__id,name__pl,name__ja,name__es,name__tr,name__it,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__la,wikipedia__nl,wikipedia__pl,wikipedia__tr,wikipedia__yo,birth_date,identifier__freebase,given_name,name__ko,name__fi,name__nb,name__da,name__nn,name__sv,wikipedia__fi,wikipedia__ko,wikipedia__plwikiquote,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__Munzinger,name__lb,name__zh,name__gl,name__et,name__br,name__el,name__sh,name__pt,name__sk,name__ru,name__ee,name__sr,name__ro,name__uk,name__mg,name__cs,name__ka,name__hr,name__lt,name__zh_cn,name__zh_hans,name__zh_hant,name__en_ca,name__en_gb,name__ca,name__oc,name__fa,name__sco,name__ar,wikipedia__ar,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__ee,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__hr,wikipedia__ka,wikipedia__lb,wikipedia__lt,wikipedia__mg,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__zh,name__hu,name__ms,wikipedia__hu,wikipedia__ms,death_date,name__cy,identifier__NTA,identifier__sycomore,identifier__FAST,family_name,identifier__Britannica,identifier__PACE,identifier__GTAA,name__de_ch,wikipedia__he,name__he,occupation,identifier__persee,name__an,name__ast,name__ext,name__nds,name__li,name__gsw
Q16027786,Jean Yaovi Degli,,,Jean Yaovi Degli,Jean Yaovi Degli,,male,Jean Yaovi Degli,,,,,,,,,,,Jean Yaovi Degli,,,,,,,,,,,Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16149873,Issifou Okoulou-Kantchati,,Issifou Okoulou-Kantchati,Issifou Okoulou-Kantchati,Issifou Okoulou-Kantchati,Issifou Okoulou-Kantchati,male,Issifou Okoulou-Kantchati,,,,,,,,,,,,,,,,,,,,1951-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-20,,,,,,,,,,,,politician,,,,,,,
Q1707420,Joseph Kokou Koffigoh,Joseph Kokou Koffigoh,Joseph Kokou Koffigoh,Joseph Kokou Koffigoh,Joseph Kokou Koffigoh,Joseph Kokou Koffigoh,male,Joseph Kokou Koffigoh,,,,,,Joseph Kokou Koffigoh,,,Joseph Kokou Koffigoh,,Joseph Kokou Koffigoh,,,,,,,,,1948,/m/0btchc,Joseph,,,,,,,,,,,,257434037,,no2012093598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Kokou Koffigoh,,,,,,,,,,,,118319,,,,politician,,,,,,,
Q1778373,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,male,Koffi Sama,,,,Koffi Sama,,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,Koffi Sama,,Koffi Sama,,,Koffi Sama,Koffi Sama,Koffi Sama,,1944,/m/02319y,,,,,,,,,,,,,,,,,,,,科菲·薩馬,Koffi Sama,,,Κόφι Σαμά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Κόφι Σαμά,,,,,,,,,,,,,,,,,,,,,Koffi Sama,,,,,,,,,,,,,,,,politician,,,,,,,
Q178339,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,male,Kofi Yamgnane,,,,Kofi Yamgnane,コフィ・ヤムニャンヌ,Kofi Yamgnane,,Kofi Yamgnane,Kofi Yamgnane,,Kofi Yamgnane,,,,,,,,,1945-10-11,/m/06w9h_f,Kofi,,,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane,,,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Kofi_Yamgnane_à_Quimper.jpg,0000 0000 3251 3098,9977831,119087421,n91113066,129386366,031720048,00000020213,Kofi Yamgnane,,,,,,,,,,,,,,,,,,Kofi Yamgnane,,,,,,Kofi Yamgnane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kofi Yamgnane,,,,,,,7479,294570,,,3942,,,,,politician,402586,,,,Kofi Yamgnane,Kofi Yamgnane,Kofi Yamgnane
Q1794933,Kwassi Klutse,Kwassi Klutse,Kwassi Klutse,Kwassi Klutse,Kwassi Klutse,Kwassi Klutse,male,Kwassi Klutse,,,,,,Kwassi Klutse,,,Kwassi Klutse,,Kwassi Klutsé,,,,,,,,,1945-07-29,/m/06f195,,,Kwassi Klutse,,,,,Kwassi Klutse,,,,0000 0000 4219 6743,73513412,,no2001102347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwassi Klutse,,,,,,,,,,,,,,,,politician,,,,,,,
Q19956340,,,Kokou Alonou,Kokou Alonou,Kokou Alonou,,male,Kokou Alonou,,,,,,,,,,,Kokou Alonou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,
Q20982146,Ata Messan Ajavon Zeus,,Ata Messan Ajavon Zeus,Ata Messan Ajavon Zeus,Ata Messan Ajavon Zeus,Ata Messan Ajavon Zeus,male,Ata Messan Ajavon Zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21934135,Sambrini Targone,Sambrini Targone,Sambrini Targone,Sambrini Targone,Sambrini Targone,Sambrini Targone,male,Sambrini Targone,,,,,,Sambrini Targone,,Sambrini Targone,,,,,,,,,,,,,,,,,,,,Sambrini Targone,,,,,,,,,,,,,,,,,,,Sambrini Targone,,,,,,,,,,Sambrini Targone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2522820,Fambaré Ouattara Natchaba,Fambaré Ouattara Natchaba,Fambaré Ouattara Natchaba,Fambaré Ouattara Natchaba,Fambaré Ouattara Natchaba,Fambaré Ouattara Natchaba,male,Fambaré Ouattara Natchaba,,,,,,Fambaré Ouattara Natchaba,,,,,Fambaré Ouattara Natchaba,,,,,Fambaré Ouattara Natchaba,,,,1945-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fambaré Ouattara Natchaba,,,,,,,,,,,,,,,,politician,,,,,,,
