name,wikiname,party,area,term,id
Akierra M. Missick,Akierra Missick,PNP,Leeward,2012,akierra_m._missick
Akierra Missick,Akierra Missick,PNP,"Leeward, Providenciales",2016,akierra_missick
Amanda A. Misick,"",PNP,Cheshire Hall & Richmond Hill,2012,amanda_a._misick
Charles Washington Misick,Washington Misick,PNP,All Island District,2012,charles_washington_misick
Derek Hugh Taylor,Derek Hugh Taylor,PDM,All Island District,2016,derek_hugh_taylor
Derek Taylor,Derek Hugh Taylor,PDM,All Island District,2012,derek_taylor
Douglas Parnell,"",PDM,"Cheshire Hall and Richmond Hill, Providenciales",2016,douglas_parnell
Edwin Astwood,"",PDM,Grand Turk South,2012,edwin_astwood
Edwin Astwood,"",PDM,Grand Turk South and Saltcay,2016,edwin_astwood
George Alexander Lightbourne,"",PNP,Grand Turk North,2012,george_alexander_lightbourne
George Lightbourne,"",PNP,Grand Turk North,2016,george_lightbourne
Goldray McMillin Ewing,"",PDM,Blue Hills,2012,goldray_mcmillin_ewing
Josephine Connolly,Josephine Connolly,PDM,All Island District,2012,josephine_connolly
Josephine Connolly,Josephine Connolly,PDM,All Island District,2016,josephine_connolly
Karen Evadne Malcolm,"",PDM,All Island District,2016,karen_evadne_malcolm
Mixmillian Goldray Ewing,"",PDM,"Blue Hills, Providenciales",2016,mixmillian_goldray_ewing
Norman Benjamin Saunders,Norman Saunders (politician),PNP,South Caicos,2012,norman_benjamin_saunders
Porsha Monique Stubbs Smith,"",PNP,The Bight,2012,porsha_monique_stubbs_smith
Porsha Stubbs-Smith,"",PNP,"The Bight, Providenciales",2016,porsha_stubbs-smith
Ralph Higgs,"",PDM,Middle and North Caicos,2016,ralph_higgs
Ricardo Don Hue Gardiner,"",PNP,North & Middle Caicos,2012,ricardo_don_hue_gardiner
Rufus Washington Ewing,Rufus Ewing,PNP,All Island District,2012,rufus_washington_ewing
Ruth Blackman,"",PNP,South Caicos,2016,ruth_blackman
Sean Rickard Astwood,"",PDM,Five Cays,2012,sean_rickard_astwood
Sean Rickard Astwood,"",PDM,"Five Cays, Providenciales",2016,sean_rickard_astwood
Sharlene Cartwright-Robinson,Sharlene Cartwright-Robinson,PDM,All Island District,2016,sharlene_cartwright-robinson
Sharlene Linette Cartwright Robinson,Sharlene Cartwright-Robinson,PDM,All Island District,2012,sharlene_linette_cartwright_robinson
Vaden Delroy Williams,"",PDM,Wheeland,2012,vaden_delroy_williams
Vaden Delroy Williams,"",PDM,"Wheeland, Providenciales",2016,vaden_delroy_williams
Washington Misick,Washington Misick,PNP,All Island District,2016,washington_misick
