twitter,image,birth_date,id,linkedin,facebook,name,wikipedia,wikiname
HackneyAbbott,https://candidates.democracyclub.org.uk/media/images/55350d3ab247335574a42e6b.png,1953-09-27,10001,http://uk.linkedin.com/pub/diane-abbott/4b/29a/1b9/en,"",Diane Abbott,https://en.wikipedia.org/wiki/Diane_Abbott,Diane Abbott
GrahamAllenMPX,https://candidates.democracyclub.org.uk/media/images/images/3611.png,1953-01-11,10008,"","",Graham Allen,https://en.wikipedia.org/wiki/Graham_Allen_%28politician%29,Graham Allen %28politician%29
"",https://candidates.democracyclub.org.uk/media/images/5532d9be29c5d53959d9e470.png,1952-03-26,10009,"",https://www.facebook.com/conservatives/,David Amess,https://en.wikipedia.org/wiki/David_Amess,David Amess
KevinBarronMP,https://candidates.democracyclub.org.uk/media/images/55351ff1b247335574a42e82.png,1946-10-26,10027,"","",Kevin Barron,https://en.wikipedia.org/wiki/Kevin_Barron,Kevin Barron
"",https://candidates.democracyclub.org.uk/media/images/552edf0c42862f047e51ccb3.png,1943-01-15,10031,"","",Margaret Beckett,https://en.wikipedia.org/wiki/Margaret_Beckett,Margaret Beckett
"",https://candidates.democracyclub.org.uk/media/images/54bb1a51cb19ebca71e2af82.png,1963-01-19,10040,"","",John Bercow,https://en.wikipedia.org/wiki/John_Bercow,John Bercow
"",https://candidates.democracyclub.org.uk/media/images/553bae0ca51642637514d63c.png,1946-04-06,10041,"","",Paul Beresford,https://en.wikipedia.org/wiki/Paul_Beresford,Paul Beresford
"",https://candidates.democracyclub.org.uk/media/images/551afdf013eb34c82843cb3f.png,1950-01-13,10045,"","",Clive Betts,http://en.wikipedia.org/wiki/Clive_Betts,Clive Betts
"",https://candidates.democracyclub.org.uk/media/images/553500f7b247335574a42e4f.png,1960-07-15,10051,"","",Crispin Blunt,https://en.wikipedia.org/wiki/Crispin_Blunt,Crispin Blunt
PBottomleyMP,https://candidates.democracyclub.org.uk/media/images/images/1642.png,1944-07-30,10057,"","",Peter Bottomley,https://en.wikipedia.org/wiki/Peter_Bottomley,Peter Bottomley
BenPBradshaw,https://candidates.democracyclub.org.uk/media/images/5503125ae70496a1139f93f8.png,1960-08-30,10061,"","",Ben Bradshaw,https://en.wikipedia.org/wiki/Ben_Bradshaw,Ben Bradshaw
Graham__Brady,https://candidates.democracyclub.org.uk/media/images/551b3b0213eb34c82843cb60.png,1967-05-20,10062,"","",Graham Brady,https://en.wikipedia.org/wiki/Graham_Brady,Graham Brady
thomasbrake,https://candidates.democracyclub.org.uk/media/images/5481e8e3b150e238702c060f.png,1962-05-06,10063,"",https://www.facebook.com/brake,Tom Brake,https://en.wikipedia.org/wiki/Tom_Brake,Tom Brake
"",https://candidates.democracyclub.org.uk/media/images/5524a2d2f0e9e2c82406ebb7.png,1953-07-24,10065,"",https://www.facebook.com/pages/Julian-Brazier/642488132534201,Julian Brazier,https://en.wikipedia.org/wiki/Julian_Brazier,Julian Brazier
"",https://candidates.democracyclub.org.uk/media/images/images/1376.png,1950-06-13,10069,"","",Nick Brown,https://en.wikipedia.org/wiki/Nick_Brown,Nick Brown
KarenPBuckMP,https://candidates.democracyclub.org.uk/media/images/5502a94a4a4c7d71797616b8.png,1958-08-30,10075,"","",Karen Buck,http://en.wikipedia.org/wiki/Karen_Buck,Karen Buck
RichardBurdenMP,https://candidates.democracyclub.org.uk/media/images/550c0ac83be3632f3135c9e0.png,1954-09-01,10076,http://uk.linkedin.com/pub/richard-burden/2b/711/a91/en,https://www.facebook.com/richardburden4northfield,Richard Burden,https://en.wikipedia.org/wiki/Richard_Burden,Richard Burden
"",https://candidates.democracyclub.org.uk/media/images/5524a0a4f0e9e2c82406ebab.png,1952-09-06,10079,"","",Simon Burns,https://en.wikipedia.org/wiki/Simon_Burns,Simon Burns
alancampbellmp,https://candidates.democracyclub.org.uk/media/images/553aabd43a37ac905459295a.png,1957-07-08,10086,"","",Alan Campbell,http://en.wikipedia.org/wiki/Alan_Campbell_%28politician%29,Alan Campbell %28politician%29
BVLabour,https://candidates.democracyclub.org.uk/media/images/553570db367dc5383f552cc2.png,1943-08-14,10089,"",http://www.facebook.com/blythvalleylabour,Ronnie Campbell,https://en.wikipedia.org/wiki/Ronnie_Campbell,Ronnie Campbell
BillCashMP,https://candidates.democracyclub.org.uk/media/images/553c9c4441b868785b1fe677.png,1940-05-10,10095,"","",Bill Cash,https://en.wikipedia.org/wiki/Bill_Cash,Bill Cash
"",https://candidates.democracyclub.org.uk/media/images/55249f3bf0e9e2c82406eba5.png,1947-05-19,10103,"","",Christopher Chope,https://en.wikipedia.org/wiki/Christopher_Chope,Christopher Chope
"",https://candidates.democracyclub.org.uk/media/images/551cea82209513973bc512cd.png,1940-07-02,10115,"",https://www.facebook.com/pages/Kenneth-Clarke/104091216295159?fref=ts&rf=108068152560917,Kenneth Clarke,http://en.wikipedia.org/wiki/Kenneth_Clarke,Kenneth Clarke
"",https://candidates.democracyclub.org.uk/media/images/5548f7fa84e9778b52be3986.png,1953-03-23,10119,"","",Geoffrey Clifton-Brown,https://en.wikipedia.org/wiki/Geoffrey_Clifton-Brown_(born_1953),Geoffrey Clifton-Brown (born 1953)
AnnClwyd,https://candidates.democracyclub.org.uk/media/images/55356eaa367dc5383f552cb3.png,1937-03-21,10120,"","",Ann Clwyd,http://en.wikipedia.org/wiki/Ann_Clwyd,Ann Clwyd
Vernon_Coaker,https://candidates.democracyclub.org.uk/media/images/553b8ce5a621e036281d5742.png,1953-06-17,10121,"","",Vernon Coaker,https://en.wikipedia.org/wiki/Vernon_Coaker,Vernon Coaker
anncoffey_mp,https://candidates.democracyclub.org.uk/media/images/55356f35367dc5383f552cb8.png,1946-08-31,10122,"","",Ann Coffey,https://en.wikipedia.org/wiki/Ann_Coffey,Ann Coffey
YvetteCooperMP,https://candidates.democracyclub.org.uk/media/images/55323efa29c5d53959d9e460.png,1969-03-20,10131,"",https://facebook.com/YvetteCooperMP,Yvette Cooper,https://en.wikipedia.org/wiki/Yvette_Cooper,Yvette Cooper
jeremycorbyn,https://candidates.democracyclub.org.uk/media/images/5520077d4dbf5aa077451a35.png,1949-05-26,10133,"",https://www.facebook.com/pages/Jeremy-Corbyn/330250343871,Jeremy Corbyn,http://en.wikipedia.org/wiki/Jeremy_Corbyn,Jeremy Corbyn
DavidCrausby,https://candidates.democracyclub.org.uk/media/images/551a0a9fb989d5e837ae99e3.png,1946-06-17,10141,"","",David Crausby,https://en.wikipedia.org/wiki/David_Crausby,David Crausby
JohnCryerMP,https://candidates.democracyclub.org.uk/media/images/55351f6eb247335574a42e7f.png,1964-04-11,10143,"","",John Cryer,https://en.wikipedia.org/wiki/John_Cryer,John Cryer
jimforcovsouth,https://candidates.democracyclub.org.uk/media/images/images/1867.png,1941-02-04,10147,"",https://www.facebook.com/jimforcoventrysouth,Jim Cunningham,https://en.wikipedia.org/wiki/Jim_Cunningham_%28British_politician%29,Jim Cunningham %28British politician%29
GeraintDaviesMP,https://candidates.democracyclub.org.uk/media/images/553c9fb8dcfe1d5b5cf8146d.png,1960-05-03,10159,"",https://www.facebook.com/GeraintDaviesMP/,Geraint Davies,https://en.wikipedia.org/wiki/Geraint_Davies_(Labour_politician),Geraint Davies (Labour politician)
DavidDavisMP,https://candidates.democracyclub.org.uk/media/images/553509d2b247335574a42e66.png,1948-12-23,10162,"","",David Davis,https://en.wikipedia.org/wiki/David_Davis_(British_politician),David Davis (British politician)
J_Donaldson_MP,https://candidates.democracyclub.org.uk/media/images/553c9c8242c427035c8db3ed.png,1962-12-07,10172,"","",Jeffrey M. Donaldson,https://en.wikipedia.org/wiki/Jeffrey_Donaldson,Jeffrey Donaldson
"",https://candidates.democracyclub.org.uk/media/images/553f6e699992abe203c137cd.png,1951-03-05,10176,"","",Jim Dowd,https://en.wikipedia.org/wiki/Jim_Dowd_(politician),Jim Dowd (politician)
AlanDuncanMP,https://candidates.democracyclub.org.uk/media/images/551b38c013eb34c82843cb53.png,1957-03-31,10179,"",https://www.facebook.com/pages/Alan-Duncan/150454050066?fref=ts,Alan Duncan,https://en.wikipedia.org/wiki/Alan_Duncan,Alan Duncan
"",https://candidates.democracyclub.org.uk/media/images/55249f84f0e9e2c82406eba7.png,1954-04-09,10180,"","",Iain Duncan Smith,https://en.wikipedia.org/wiki/Iain_Duncan_Smith,Iain Duncan Smith
angelaeagle,https://candidates.democracyclub.org.uk/media/images/5534e2f8b247335574a42e10.png,1961-02-17,10182,"",https://www.facebook.com/angela4labour,Angela Eagle,https://en.wikipedia.org/wiki/Angela_Eagle,Angela Eagle
