id,name,start_date,end_date,wikidata
116,116th Congress,2019-01-03,2021-01-03,Q28227688
115,115th Congress,2017-01-03,2019-01-03,Q18740945
114,114th Congress,2015-01-06,2017-01-03,Q16146771
113,113th Congress,2013-01-06,2015-01-03,Q71871
112,112th Congress,2011-01-06,2013-01-03,Q170447
111,111th Congress,2009-01-06,2011-01-03,Q170375
110,110th Congress,2007-01-06,2009-01-03,Q170018
109,109th Congress,2005-01-06,2007-01-03,Q168778
108,108th Congress,2003-01-06,2005-01-03,Q168504
107,107th Congress,2001-01-06,2003-01-03,Q2057259
106,106th Congress,1999-01-06,2001-01-03,Q3596897
105,105th Congress,1997-01-06,1999-01-03,Q3596884
104,104th Congress,1995-01-06,1997-01-03,Q3596857
103,103rd Congress,1993-01-06,1995-01-03,Q3556780
102,102nd Congress,1991-01-06,1993-01-03,Q347346
101,101st Congress,1989-01-06,1991-01-03,Q4546373
100,100th Congress,1987-01-06,1989-01-03,Q4546248
99,99th Congress,1985-01-06,1987-01-03,Q4646349
98,98th Congress,1983-01-06,1983-01-03,Q4646254
97,97th Congress,1981-01-06,1983-01-03,Q4646187
96,96th Congress,1979-01-06,1981-01-03,Q4646121
95,95th Congress,1977-01-06,1979-01-03,Q4646042
