id,name,position,start_date,end_date
95249908-df85-41ee-bfed-df8bea712149,"Angus S. King, Jr.",Governor of Maine,1995-01-05,2003-01-08
de09bde1-80a2-48ee-b03a-76ca71a0bb0d,Barack Obama,President of the United States of America,2009-01-20,
de09bde1-80a2-48ee-b03a-76ca71a0bb0d,Barack Obama,Illinois State Senator,1997-01-08,2004-11-04
3d89c619-69d4-4d2e-a130-13eadbbc1452,Barbara A. Mikulski,United States representative,,
2d872983-7aa9-4f67-82bc-39098aa50d4d,Barbara Boxer,United States representative,,
211e6af3-3bde-44d7-83d0-d5d661d7ba26,Benjamin L. Cardin,United States representative,,
211e6af3-3bde-44d7-83d0-d5d661d7ba26,Benjamin L. Cardin,Speaker of the Maryland House of Delegates,1979-01-06,1987-01-03
211e6af3-3bde-44d7-83d0-d5d661d7ba26,Benjamin L. Cardin,member of the Maryland House of Delegates,1967-01-06,1987-01-03
be2c04a8-a31f-4860-b8c9-de90112bdf01,Bernard Sanders,United States representative,1991-01-03,2007-01-03
be2c04a8-a31f-4860-b8c9-de90112bdf01,Bernard Sanders,"Mayor of Burlington, Vermont",1981-04-06,1989-04-04
31041902-2763-45ee-b880-b05d00e61c94,Bill Cassidy,United States representative,,
31041902-2763-45ee-b880-b05d00e61c94,Bill Cassidy,member of the Louisiana State Senate,,
460e722d-e6bd-4a1f-8fbe-aef53ab0145a,Bill Nelson,United States representative,,
460e722d-e6bd-4a1f-8fbe-aef53ab0145a,Bill Nelson,Member of the Florida House of Representatives,,
460e722d-e6bd-4a1f-8fbe-aef53ab0145a,Bill Nelson,Florida State Treasurer/Insurance Commissioner/Fire Marshal,1995-01-03,2001-01-03
e01cf03e-5cf5-4c66-a0f8-e79de6ddee41,Brian Schatz,Member of the Hawaii House of Representatives,,
60ae8ebc-b581-44ee-91d7-47e5822d1858,Charles E. Schumer,United States representative,1981-01-03,1999-01-03
2a078b6c-0f3b-4319-aa4b-6f4d0fe6b80f,Christopher Murphy,United States representative,,
2a078b6c-0f3b-4319-aa4b-6f4d0fe6b80f,Christopher Murphy,member of the Connecticut House of Representatives,,
2a078b6c-0f3b-4319-aa4b-6f4d0fe6b80f,Christopher Murphy,member of the Connecticut Senate,,
0629dcb1-352f-4028-9c36-f162cf6d98bd,Chuck Grassley,United States representative,,
0629dcb1-352f-4028-9c36-f162cf6d98bd,Chuck Grassley,Member of the Iowa House of Representatives,,
d6f0d765-97ae-460c-b186-dbc6ab976d25,Claire McCaskill,Member of the Missouri House of Representatives,,
81a70d8e-235b-44ce-865d-5b484450bb2c,"Connie Mack, III",United States representative,,
1673c8f8-146c-4f15-969c-2142308c89cd,Cory Gardner,United States representative,,
1673c8f8-146c-4f15-969c-2142308c89cd,Cory Gardner,member of the Colorado House of Representatives,,
685acbe5-736d-43b0-99f3-ece63fe22a4d,Daniel Coats,United States representative,,
685acbe5-736d-43b0-99f3-ece63fe22a4d,Daniel Coats,United States Ambassador to Germany,2001-08-15,2005-02-28
82a99ecc-56a4-43f7-9248-d376a5f18a24,David Vitter,United States representative,,
82a99ecc-56a4-43f7-9248-d376a5f18a24,David Vitter,member of the Louisiana House of Representatives,,
c4a8103b-8a28-4772-80cd-1d6f3ac97b56,Dean Heller,United States representative,,
c4a8103b-8a28-4772-80cd-1d6f3ac97b56,Dean Heller,member of the Nevada Assembly,,
bcffa780-e0b1-4a9c-b6fc-7362e8bb6a98,Debbie Stabenow,United States representative,,
bcffa780-e0b1-4a9c-b6fc-7362e8bb6a98,Debbie Stabenow,member of the Michigan House of Representatives,,
bcffa780-e0b1-4a9c-b6fc-7362e8bb6a98,Debbie Stabenow,member of the Michigan Senate,,
a37bc380-4490-4012-bc6a-6c617b6845e4,Dianne Feinstein,Mayor of San Francisco,1978-12-04,1988-01-08
ebfb31f5-f5ce-4432-894a-d902e07ab86c,Edward J. Markey,United States representative,,
ebfb31f5-f5ce-4432-894a-d902e07ab86c,Edward J. Markey,Member of the Massachusetts House of Representatives,,
c6e3d587-c3c2-42b3-8edf-555470699067,Fritz Hollings,member of the South Carolina House of Representatives,,
c6e3d587-c3c2-42b3-8edf-555470699067,Fritz Hollings,Governor of South Carolina,1959-01-20,1963-01-15
b70474ad-0b14-4495-8447-be2902dfeda1,Gary Peters,United States representative,,
b70474ad-0b14-4495-8447-be2902dfeda1,Gary Peters,member of the Michigan Senate,,
16cec705-b36a-4ef8-95df-77f6268f0713,George Voinovich,member of the Ohio House of Representatives,,
16cec705-b36a-4ef8-95df-77f6268f0713,George Voinovich,Lieutenant Governor of Ohio,1979-01-08,1979-11
16cec705-b36a-4ef8-95df-77f6268f0713,George Voinovich,Governor of Ohio,,
ffbbfde4-bd1e-45fb-bc4d-1f47163d4295,Harry Reid,United States representative,,
ffbbfde4-bd1e-45fb-bc4d-1f47163d4295,Harry Reid,member of the Nevada Assembly,,
ffbbfde4-bd1e-45fb-bc4d-1f47163d4295,Harry Reid,Lieutenant Governor of Nevada,1971-01-04,1975-01-05
840fdec6-c724-4de4-b6d9-67ed14308808,Heidi Heitkamp,North Dakota Attorney General,1992-12-15,2000-12-15
9073ee02-f8e1-4fdc-92b1-6a8c0b02f2d1,Henry Jackson,United States representative,,
58e1e2e3-e958-4e75-b950-ff34fd8fe8aa,Hillary Clinton,United States Secretary of State,2009-01-21,2013-02-01
58e1e2e3-e958-4e75-b950-ff34fd8fe8aa,Hillary Clinton,First Lady of the United States,1993-01-20,2001-01-20
5888412d-2ce1-496a-a485-e8bb6373ee12,Jack Reed,United States representative,,
5888412d-2ce1-496a-a485-e8bb6373ee12,Jack Reed,Member of the Rhode Island State Senate,,
9fe0cde2-96a5-4bab-992a-0de04e48df05,James Broyhill,United States representative,1969-01-03,1986-07-14
7b56fba2-9662-475b-8630-6fe8e1faca97,James E. Risch,member of the Idaho Senate,,
7b56fba2-9662-475b-8630-6fe8e1faca97,James E. Risch,Governor of Idaho,,
4741a5fc-02ab-423a-bc2e-fcad951b9bdb,James Lankford,United States representative,,
81205eb2-7fbf-4c1e-9389-fd60182edb36,James M. Inhofe,United States representative,,
81205eb2-7fbf-4c1e-9389-fd60182edb36,James M. Inhofe,Member of the Oklahoma House of Representatives,,
81205eb2-7fbf-4c1e-9389-fd60182edb36,James M. Inhofe,member of the State Senate of Oklahoma,,
ff9541bb-6a1e-44e3-924c-acb354d611c8,Jeanne Shaheen,Member of the New Hampshire State Senate,,
ff9541bb-6a1e-44e3-924c-acb354d611c8,Jeanne Shaheen,Governor of New Hampshire,1997-01-09,2003-01-09
a5f33bdc-7084-465f-a891-607b7d810486,Jeff Flake,United States representative,,
0338f0ea-52d0-493e-8a21-b9eef903d7d8,Jeff Merkley,member of the Oregon House of Representatives,,
2fdbbff7-046c-43b5-9cfc-801f15a3b8bf,Jeff Sessions,Attorney General of Alabama,1995-01-16,1997-01-03
29ddd46b-7096-4bdb-b0cb-21df78097f09,Jerry Moran,United States representative,,
29ddd46b-7096-4bdb-b0cb-21df78097f09,Jerry Moran,Member of the Kansas Senate,,
00f69880-a0e7-4092-9220-3d5e0fce871a,Jim Jeffords,United States representative,,
b7e8d905-4681-450a-b129-dc1e79ab0338,Joe Donnelly,United States representative,,
b02cc537-374e-409e-8738-d850922475e6,"Joe Manchin, III",Governor of West Virginia,,
b02cc537-374e-409e-8738-d850922475e6,"Joe Manchin, III",member of the State Senate of West Virginia,,
