name,id
Adriana González,94c10c93-b372-4f56-998b-f5a6da94d894
Alberto Perdomo,5f7c77bc-acb5-4181-9a8e-6627632467e5
Alberto Perdomo Gamarra,5f7c77bc-acb5-4181-9a8e-6627632467e5
Aldo Lamorte,fd6b959b-7dab-4ef9-8f0c-852c50e7c56d
Alejandro Sánchez,1580aafa-f81c-4449-8351-f09eb87846d9
Alejandro Zavala,4d1e2899-8688-423c-8aaa-c188f861adfc
Alfredo Asti,a6644a64-db09-411f-8630-0ba8431ece48
Alvaro Delgado,96bb1038-b0f6-47cd-8a54-b32c39fb9c5f
Amin Niffouri,7e39641c-d552-43b0-be3e-c24ebd886709
Amín Niffouri Blanco,7e39641c-d552-43b0-be3e-c24ebd886709
Andrés Carrasco Briozzo,66eda876-38bf-45d5-80f0-b532fb8deb43
Andrés Lima,f5f4e224-a384-4da4-a40c-af65ce52bb18
Angel Domínguez,31e0985f-92c4-41b5-8495-0cba155b802d
Angélica Ferreira,7b4ad28e-89fa-410f-91ce-f955823458b5
Anibal Pereyra,6688e56b-6aa3-4282-b6c4-25fc723c21f9
Aníbal Pereyra,6688e56b-6aa3-4282-b6c4-25fc723c21f9
Armando Castaingdebat,ce284048-8583-4f4c-ab82-9652a7f4164d
Arturo López Méndez,b344d103-5571-4904-aefb-236272bb173d
Beatriz Costa,e638d155-9c45-4f0d-bf4c-2b339a05d6ea
Benjamín Eduardo Irazábal Calleri,90c9a714-3f10-4a15-a811-bfc1be956c77
Benjamín Irazábal,90c9a714-3f10-4a15-a811-bfc1be956c77
Bettiana Díaz,297592e7-e246-4ab4-934f-6d96ea9f583d
Carina Díaz Barreto,1a04e450-2eac-4788-9492-d219dde225c6
Carlos Moreira,f6b5109f-143d-4950-89bb-adfe3798b520
Carlos Reutor,1b577577-bbfd-47a6-8178-e190f28ff703
Carlos Rodríguez Gálvez,c5f57802-84a3-4e05-9a34-c646b052cd62
Carlos Rodríguez Labruna,c5f57802-84a3-4e05-9a34-c646b052cd62
Carlos Varela,9cad6f97-cba9-4299-b66a-ad4be57c66fd
Carlos Varela Nestier,9cad6f97-cba9-4299-b66a-ad4be57c66fd
Carmelo Vidalín,17f8aed2-3eb3-4578-9b0f-10504b659311
Cecilia Bottino,d6245aed-01fa-4b13-9887-438956dd0c53
Cecilia Eguiluz,c24c7ac7-f703-436e-abd5-c63712ccce46
Claudia Azambuya,dcb91ac8-2c82-479a-aef4-9ae1fde23f25
Claudia De los Santos,95f0cb01-4dc5-41f0-b121-fb6b501d310d
Claudia Hugo,37eb436d-fb74-4756-bd17-c258ef074a4f
Conrado Rodríguez,86d5880a-8ebd-4ae3-8d05-b6080e61354d
Constante Mendiondo,e4a3d779-94fe-4fa2-ad9f-bad8b0818259
Cristina Lustemberg,808aff52-9c35-47ab-a3ed-52ba63d820c1
Cristina Lústemberg,808aff52-9c35-47ab-a3ed-52ba63d820c1
Daniel Bianchi,49152edb-252b-4d0b-9bcc-1d5db689a21f
Daniel Caggiani,e9785285-a837-4280-90ac-4decb390da5b
Daniel Peña Fernández,a0951b7e-c309-4775-a108-a45604213878
Daniel Radío,374ffd04-9916-4cdf-ad0b-b1a68d2db348
Darcy Amaury de los Santos Severgnini,9b8f008d-421e-413a-a585-89858ab27a4b
Dianne Martínez,da36fc09-9547-4843-ad7e-68527a156cbe
Edgardo Rodríguez,af6b73bf-0d05-42e4-91a9-16a2f4f26ca7
Eduardo Márquez,59dea6da-a191-4642-a252-ca99232e30e4
Egardo Dionisio Mier Estades,841be29f-c062-47c4-98e0-46684ac064cf
Elisabeth Arrieta,da87de73-0f90-4c60-ad50-1a81f010344d
Enrique Antía,54b2c8fe-6b59-41cf-b0d2-607a8561ea3f
Enzo Malán,9a27ab4a-40c8-49af-b01c-f3671621529e
Federico Casaretto,6a04ad70-7b94-4a15-a1c0-a2f5010a49bf
Felipe Carballo,8695fdc1-8fe6-4348-ace3-e5c0dc3c2f4e
Felipe Carballo Da Costa,8695fdc1-8fe6-4348-ace3-e5c0dc3c2f4e
Fernando Amado,325dc6e7-7001-4266-a4da-db1698b10fc7
Fernando José Lorenzo Estefan,23d2b2d1-2658-4e91-9be7-97b4e5d322e2
Gabriel Gianoli,93a801a1-fc54-41f7-bc86-8f6dbd8d8444
Gabriela Barreiro,eaa2aee7-516d-4b58-951f-0ee259595e0a
Gabriela Perdomo,e5230a16-3b0d-41ad-b7a2-f7f148dfb79f
Germán Cardoso,0e446779-33a7-4755-996a-ddeb916526c1
Gloria Rodríguez,0c0da44b-4d75-495c-a9e2-3fe1323fa7ef
Gonzalo Civila,a4217ee0-56a1-43a3-96ff-7d4c6b7f84ec
Gonzalo Martín Civila López,a4217ee0-56a1-43a3-96ff-7d4c6b7f84ec
Gonzalo Mujica,8c5ba0be-b44a-4ad2-83cc-af45e1bd5b53
Graciela Bianchi,18e2aae9-6b36-4d56-b169-9f7f082169c5
Graciela Matiaude,d41dfca3-3a10-4b9f-9ac1-49802c00bda2
Guillermo Besozzi,9de69cd6-448a-4798-857f-ba1cb05bd551
Guillermo Facello,c4767126-531f-4e1d-89c0-4947fb9a8a68
Gustavo Penadés,97e98dee-c69c-4b17-b29c-6c89226c96f0
Gustavo Penadés Etchebarne,97e98dee-c69c-4b17-b29c-6c89226c96f0
Ignacio Estrada,70659765-68d4-420b-ac30-c8abd8c16b34
Ivonne Passada,465e9473-122b-4c99-a877-2f51680e2ccb
Iván Posada,d49ded15-1f7d-4c9e-8be0-63076073576c
Javier García,6f3886ad-eb90-4352-b3d2-d8a4525fbb4d
Javier García Duchini,6f3886ad-eb90-4352-b3d2-d8a4525fbb4d
Javier Umpiérrez,215ce19a-fc2e-4755-87da-4e43c322c9e5
Jorge Gandini,c533fd3d-fe22-4de6-bb8f-aa90ebaa54ea
Jorge Meroni,0c34750a-93ab-45ad-816f-27dc8bd33869
José Amorín,fee01fd3-3ae4-4034-9336-b54966a30466
José Amorín Batlle,fee01fd3-3ae4-4034-9336-b54966a30466
José Carlos Cardoso,bdd56861-04be-4f4d-ae99-8ca1d7881879
José Gerardo Amorín Batlle,fee01fd3-3ae4-4034-9336-b54966a30466
José Luis Acosta,1f385773-6aea-41e7-955d-dd2c0afad655
José Yurramendi Pérez,b3a24d0b-7d30-4786-b3ac-50abdb861884
Juan Federico Ruiz,103852df-0a95-4905-a71d-79b4a625b2e2
Julio Battistoni,7783f964-9b05-40c2-ac6f-31a345e1e63c
Lilián Galán,4b9459f1-0ff8-453c-8d35-0f06e36336c8
Lilián Raquel Galán Pérez,4b9459f1-0ff8-453c-8d35-0f06e36336c8
Luis Enrique Gallo Cantera,b75be475-13cf-489b-9d40-e3aff5eb6834
Luis Puig,18bdb1c7-4ede-458b-9eda-627457598246
Luis Silva,8e0f6eaa-e482-4e5b-995f-4b1ed8c5f577
Macarena Gelman,3f7c7576-8113-4c20-8025-1e01901c7f9e
Marcelo Bacigalupi,a8c7897f-2a83-48ec-a052-2f8228233eeb
Marcelo Bistolfi,dd31816e-194a-4307-90e2-1d1de877ed50
Marcos Javier Otheguy Vega,e03aa528-2e7c-454f-8cc3-1301db5156b4
Margarita Libschitz,aace633f-26b1-4586-a554-a005508be012
Mario Ayala,24b63339-b029-4893-97db-d57696d753f3
Mario García,0e083d62-9870-4bcc-9b46-3c4f928543f7
Martha Montaner,80c8f042-e03d-415e-986b-10ae456862dc
Martín Lema,4731f6b6-37aa-40ed-82fe-b3619497a404
Martín Tierno,71a691ef-6917-45af-8b38-16a636d5e0ca
María Cristina Lústemberg Haro,808aff52-9c35-47ab-a3ed-52ba63d820c1
María Dolores Álvarez López,52c6ee2e-1c04-4685-8fda-d7baa9b4cb08
María Pía Viñales,e74ec41a-7bcd-4f08-8394-97345180ae59
Nelson Leodato Agüero Demetrio,b996c598-1af3-4b0d-be2d-b796498d2a95
Nibia Reisch,82ec4ba1-8d94-4a6d-9dfb-87e056a93501
Nicolás Urrutia,b3e6b0a7-38ce-417c-a86a-ef7082b37b93
Nicolás Viera,3bd8f5fd-c0ab-4bd0-a50b-3baca2c24f8c
Néstor Otero,fb94fe84-ec77-4316-b2d5-c617f6941295
Omar Lafluf,14ee3ac9-c876-4921-938c-940c412c4b2a
Oscar Andrade,037d8102-5ba4-41e7-b38a-a68a8c94a567
Oscar De los Santos,90d7c7a5-97f0-4d7d-8247-5971bc764ec9
Oscar Groba Arriondo,b7ec4f0d-e268-4467-8b06-f6d007ad6269
Pablo Ferreri,7180120e-ff25-48f6-b078-95b8593a46db
Pablo González,eeb76f65-fbf1-4441-90e4-1dae03829708
Pablo Iturralde,b7fbff36-b6e9-4bda-b8e3-10983ccaa329
Pablo Iturralde Viñas,b7fbff36-b6e9-4bda-b8e3-10983ccaa329
Paula Pérez,8286afd2-1c8f-4118-a28f-5d047d04b9b7
Paulino Delsa,5bd7b2ae-1cd6-48a6-8f50-56bad1fe42d6
Roberto Chiazzaro,9f06bdc7-9102-4f7f-9454-4f4acc64c3d1
Roque Fabián Ramos Espíndola,cc9d8b2c-7606-4ebd-b061-847114ecd3b5
Rubén Aníbal Bacigalupe Aunés,e19d67dd-1740-4b2c-a4c7-fe353b5fb8aa
Sebastián Andújar,8c7d6893-a7ea-48bc-b3f8-53f215250fcf
Sebastián Sabini,50a42ffe-6bfc-45bc-becf-23a2dbea3436
