statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q10694-092C6437-1360-49B6-9F0B-D78828D61706,Q10694,Leanne Wood,Q7321386,Rhondda,Q10691,Plaid Cymru,2016-05-05,"",5
Q10694-A091FE85-67C7-40FF-9FFB-FE831A0A3B36,Q10694,Leanne Wood,Q7568764,South Wales Central,Q10691,Plaid Cymru,2011-05-05,2016-04-06,4
Q10694-B687DEFD-F8B5-4639-BC38-BE6405DFA8BD,Q10694,Leanne Wood,Q7568764,South Wales Central,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q10694-EBA432C3-880C-4B31-AC36-C4488CC061AB,Q10694,Leanne Wood,Q7568764,South Wales Central,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q11001680-FCDF0DF3-55EA-4554-BB3C-A965FCA9977E,Q11001680,Helen Mary Jones,Q6661286,Llanelli,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q11001680-b53f4fbf-4195-7ac7-ba59-5780e5d3153a,Q11001680,Helen Mary Jones,Q6841063,Mid and West Wales,Q10691,Plaid Cymru,2018-08-02,"",5
Q11001680-1FCDB500-FAAC-4327-A9C5-A449431E1686,Q11001680,Helen Mary Jones,Q6841063,Mid and West Wales,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q11001680-36B7903C-F511-4220-ADD4-68C884CAF245,Q11001680,Helen Mary Jones,Q6661286,Llanelli,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q11162843-815E5E3F-C7F6-462D-8B43-F6A84C05A70E,Q11162843,Jonathan Morgan,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,1999-05-06,2003-04-02,1
Q11162843-F76B8E8E-AE6D-4C97-8908-A69766444150,Q11162843,Jonathan Morgan,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2003-05-01,2007-03-28,2
Q11162843-7C108C64-2A63-4230-A02B-2D24554BA2F4,Q11162843,Jonathan Morgan,Q5038453,Cardiff North,Q7981882,Welsh Conservative Party,2007-05-03,2011-03-30,3
Q111840-FB6E9FE5-3B9F-48C2-B0F6-3D1E573F183B,Q111840,Carwyn Jones,Q4966526,Bridgend,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q111840-5FB260E6-E741-4102-9930-0DC8C5CE10F1,Q111840,Carwyn Jones,Q4966526,Bridgend,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q111840-50069997-630B-480E-89FA-3E1A2214E7DC,Q111840,Carwyn Jones,Q4966526,Bridgend,Q832685,Welsh Labour,2016-05-05,"",5
Q111840-439AA840-DEF5-4DFC-B60C-40F2FA7A7E0E,Q111840,Carwyn Jones,Q4966526,Bridgend,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q111840-693F97BA-023D-440A-9151-977C7E96A7A4,Q111840,Carwyn Jones,Q4966526,Bridgend,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q117720-98FDF60D-87C8-42F2-BD16-F76FC4FC2A8C,Q117720,Gwenda Thomas,Q6984487,Neath,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q117720-DC0581E1-F475-4650-9A7A-1F7DC50AC5C3,Q117720,Gwenda Thomas,Q6984487,Neath,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q117720-A7E9750C-DB42-48B7-9BF8-480DE6EEDB95,Q117720,Gwenda Thomas,Q6984487,Neath,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q117720-EE7D5B0A-9BE7-417A-9D91-6BAD08ADDBF6,Q117720,Gwenda Thomas,Q6984487,Neath,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q13129493-C4AD1FE3-7081-4573-BC3F-B4478BB3B0F8,Q13129493,Laura Anne Jones,Q7568768,South Wales East,Q7981882,Welsh Conservative Party,2003-05-01,2007-03-28,2
Q14420732-0AB90318-4083-432F-82F5-724D39C5C847,Q14420732,Rhun ap Iorwerth,Q8054067,Ynys Môn,Q10691,Plaid Cymru,2013-08-01,2016-04-06,4
Q14420732-DB334A40-1F74-4AE8-A2D1-A1C7CAEB4FCF,Q14420732,Rhun ap Iorwerth,Q8054067,Ynys Môn,Q10691,Plaid Cymru,2016-05-05,"",5
Q16144618-18134811-0903-4D13-989E-9F11329D7BEF,Q16144618,Lorraine Barrett,Q5038472,Cardiff South and Penarth,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q16144618-1D0727E8-DA52-4B8B-9755-8CFC1932A297,Q16144618,Lorraine Barrett,Q5038472,Cardiff South and Penarth,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q16144618-349C0C69-D9F9-4AE7-A533-5461854607E7,Q16144618,Lorraine Barrett,Q5038472,Cardiff South and Penarth,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q16191105-56BF1019-7EF1-4AFB-810E-465B0628A752,Q16191105,Jenny Rathbone,Q5038385,Cardiff Central,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q16191105-C2A7A9A2-FEBA-473C-AB6A-8BB61C592C69,Q16191105,Jenny Rathbone,Q5038385,Cardiff Central,Q832685,Welsh Labour,2016-05-05,"",5
Q16191114-609FD8AB-D351-442E-BED1-10550901EBC4,Q16191114,David Rees,Q4666775,Aberavon,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q16191114-EA6C7DB3-47F7-4813-9058-651851FAFD6C,Q16191114,David Rees,Q4666775,Aberavon,Q832685,Welsh Labour,2016-05-05,"",5
Q16734718-1187447F-DC35-46A0-BB0E-61F2FD2210FE,Q16734718,Gwyn R Price,Q6084441,Islwyn,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q16735288-0B97E550-DE99-45CF-B1E8-7765C811A5F3,Q16735288,Aled Roberts,Q7057143,North Wales,Q7981939,Welsh Liberal Democrats,2011-07-06,2016-04-06,4
Q1687064-105453A1-B0F5-4F30-8F26-E44A517FF297,Q1687064,Jenny Randerson,Q5038385,Cardiff Central,Q7981939,Welsh Liberal Democrats,2003-05-01,2007-03-28,2
Q1687064-A335535E-57B9-4DAC-BCE2-5E6A2D4C55C9,Q1687064,Jenny Randerson,Q5038385,Cardiff Central,Q7981939,Welsh Liberal Democrats,1999-05-06,2003-04-02,1
Q1687064-73DDDFA6-1BC3-4EB5-A9BF-BE5F71FC3237,Q1687064,Jenny Randerson,Q5038385,Cardiff Central,Q7981939,Welsh Liberal Democrats,2007-05-03,2011-03-30,3
Q16945593-4650ec97-40b5-6903-4c0f-dcbdd169bf3c,Q16945593,Nathan Gill,Q7057143,North Wales,Q327591,independent politician,2016-08-17,2017-12-27,5
Q16945593-DFAB414B-FDBF-4D20-888B-00603CCC5E79,Q16945593,Nathan Gill,Q7057143,North Wales,Q10647,UK Independence Party,2016-05-05,2016-08-17,5
Q19397-F820D5EF-2B44-4FE5-BA5D-6E2C80F4ABF2,Q19397,Alun Michael,Q6841063,Mid and West Wales,Q832685,Welsh Labour,1999-05-06,2000-05-01,1
Q19958045-58590734-019E-4558-ADB8-FA790A622989,Q19958045,Janet Haworth,Q7057143,North Wales,Q7981882,Welsh Conservative Party,2015-05-27,2016-04-06,4
Q20065239-47DB255D-86A5-4054-A35E-A2E05E2AE0BA,Q20065239,Altaf Hussain,Q7568795,South Wales West,Q7981882,Welsh Conservative Party,2015-05-19,2016-04-06,4
Q20570139-01B1D5F7-665F-43D5-AF2B-8EF4F5F527F4,Q20570139,Siân Gwenllian,Q4789158,Arfon,Q10691,Plaid Cymru,2016-05-05,"",5
Q24035607-B9398F80-5CE4-47C1-9381-71A51AB58F5D,Q24035607,Rhianon Passmore,Q6084441,Islwyn,Q832685,Welsh Labour,2016-05-05,"",5
Q24039145-4ED1724E-2B3A-41C3-977B-238629EEFDD2,Q24039145,Hannah Blythyn,Q5254972,Delyn,Q832685,Welsh Labour,2016-05-05,"",5
Q24039661-B22AFA08-60A8-42A2-B6EC-EC9362D374F8,Q24039661,Lee Waters,Q6661286,Llanelli,Q832685,Welsh Labour,2016-05-05,"",5
Q24040034-3731622D-436C-425F-B9CC-D599C63F5366,Q24040034,Hefin David,Q5016924,Caerphilly,Q832685,Welsh Labour,2016-05-05,"",5
Q24041564-D368B903-9B51-4964-B6D4-1CEECC0D87EB,Q24041564,Neil McEvoy,Q7568764,South Wales Central,Q10691,Plaid Cymru,2016-05-05,2018-01-16,5
