id,name,position,start_date,end_date,type
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,First Minister of Wales,2009-12-10,"",cabinet
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,Minister for Agriculture and Rural Development,2000-02-09,2003-05-01,cabinet
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,Minister for Environment and Rural Affairs,2003-05-01,2007-05-25,cabinet
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,"Minister for Education, Culture and the Welsh Language",2007-05-25,2007-07-19,cabinet
b5d68df4-eb41-4b57-95de-86fa18cb798b,Jenny Randerson,Minister for Culture,2000-02-09,2003-05-01,cabinet
b5d68df4-eb41-4b57-95de-86fa18cb798b,Jenny Randerson,Deputy First Minister for Wales,2001-07-06,2002-06-13,cabinet
91dbd70b-defd-4e2b-8ff3-f86a470c9c73,Alun Michael,First Minister of Wales,1999-05-12,2000-02-09,cabinet
8b68531a-c67a-428d-b222-4122b73540c3,Rhodri Morgan,First Minister of Wales,2000-02-09,2009-12-10,cabinet
8b68531a-c67a-428d-b222-4122b73540c3,Rhodri Morgan,Secretary for Economic Development and European Affairs,1999-05-12,2000-02-09,cabinet
ea97327c-1146-4153-a8bb-3f3a5490687c,"Mike German, Baron German",Minister for Economic Development,2000-02-09,2003-05-01,cabinet
ea97327c-1146-4153-a8bb-3f3a5490687c,"Mike German, Baron German",Deputy First Minister for Wales,2000-10-16,2001-07-06,cabinet
ea97327c-1146-4153-a8bb-3f3a5490687c,"Mike German, Baron German",Deputy First Minister for Wales,2002-06-13,2003-05-01,cabinet
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,"Minister for Business, Enterprise, Technology and Science",2007-01-01,2011-01-01,cabinet
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,Deputy First Minister for Wales,2007-07-11,2011-05-13,cabinet
52d4caab-a7c7-418a-856a-8b4caa349a96,Ieuan Wyn Jones,Minister for the Economy and Transport,2007-07-19,2011-05-11,cabinet
c5fb67d9-dde7-40ae-8edc-3a107360adca,Alun Ffred Jones,Minister for Heritage,2008-07-22,2011-01-01,cabinet
6b1fa908-a30b-4e5a-ae0a-4934ac55df54,Alun Davies,Cabinet Secretary for Local Government and Public Services,2017-11-03,"",cabinet
384f69d2-8aa4-482c-b1a4-654180147e61,Alun Pugh,"Minister for Culture, Welsh Language and Sport",2003-01-01,2007-01-01,cabinet
aca58088-331d-4a2b-a67e-cb039da371d4,Andrew Davies,Minister for Assembly Business,2000-02-09,2003-05-01,cabinet
aca58088-331d-4a2b-a67e-cb039da371d4,Andrew Davies,Minister for Social Justice and Public Service Delivery,2007-05-31,2007-07-19,cabinet
aca58088-331d-4a2b-a67e-cb039da371d4,Andrew Davies,Minister for Economic Development and Transport,2003-05-01,2007-05-25,cabinet
aca58088-331d-4a2b-a67e-cb039da371d4,Andrew Davies,Minister for Finance and Public Service Delivery,2007-07-19,2009-12-09,cabinet
a7ff1985-8c81-49de-9913-8a05f0472293,Brian Gibbons,Minister for Social Justice and Local Government,2007-07-19,2009-12-09,cabinet
a7ff1985-8c81-49de-9913-8a05f0472293,Brian Gibbons,Minister for Health and Social Services,2005-01-10,2007-05-25,cabinet
a7ff1985-8c81-49de-9913-8a05f0472293,Brian Gibbons,Minister for the Economy and Transport,2007-05-25,2007-07-19,cabinet
68d2723c-5d88-4c0a-9cfb-baffc7db528d,Carl Sargeant,Minister for Social Justice and Local Government,2009-12-09,2011-05-11,cabinet
68d2723c-5d88-4c0a-9cfb-baffc7db528d,Carl Sargeant,Minister for Local Government and Communities,2011-05-13,2013-01-01,cabinet
68d2723c-5d88-4c0a-9cfb-baffc7db528d,Carl Sargeant,Cabinet Secretary for Communities and Children,2016-05-19,2017-11-03,cabinet
a75d1ae0-7c37-4e85-9886-691000439fdc,Christine Gwyther,Secretary for Agriculture and the Rural Economy,1999-05-12,2000-02-15,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,"Minister for Business, Enterprise, Technology and Science",2011-05-13,2016-05-07,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Secretary for Finance,1999-05-12,2000-02-09,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Minister for Finance and Local Government,2000-02-09,2003-05-01,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Minister for Social Justice and Regeneration,2003-05-01,2007-05-25,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Minister for Finance,1999-01-01,2003-01-01,cabinet
52c8ed62-459c-4da6-874f-b527b3624e76,Edwina Hart,Minister for Health and Social Services,2007-05-04,2011-05-11,cabinet
22f2adad-3eca-4e5d-a946-7bea3174ef29,Elin Jones,Minister for Rural Affairs,2007-07-19,2011-05-11,cabinet
4f3c08a4-e462-40cb-9a07-bb00017c38e8,Kirsty Williams,Minister for Education and Skills,2016-05-19,2017-11-03,cabinet
4f3c08a4-e462-40cb-9a07-bb00017c38e8,Kirsty Williams,Cabinet Secretary for Education,2017-11-03,"",cabinet
92600914-3867-4f97-9b79-efe99292e882,Huw Lewis,Minister for Education and Skills,2013-06-26,2016-05-07,cabinet
ffa299a9-a58a-4e4f-a4bb-15556e482e60,Jane Davidson,Minister for Sustainability and Rural Development,2007-05-31,2007-07-19,cabinet
ffa299a9-a58a-4e4f-a4bb-15556e482e60,Jane Davidson,"Minister for Environment, Sustainability and Housing",2007-07-19,2011-05-11,cabinet
ffa299a9-a58a-4e4f-a4bb-15556e482e60,Jane Davidson,Minister for Education,2000-02-09,2007-05-25,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Minister for Education and Skills,2007-07-19,2010-12-09,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Minister for Budget and Business Management,2007-05-25,2007-07-19,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,"Minister for Children, Education, Lifelong Learning and Skills",2007-07-19,2009-12-01,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Secretary for Health & Social Services,1999-05-12,2000-02-09,cabinet
