name,id
Atoloto Kolokilagi,27a7925a-8a28-48f6-bd70-e2f5ec326beb
BAUDRY Frédéric,27da5858-53fe-4e9f-b132-c51af634e3d5
David Vergé,8277e5e2-5983-4f6f-8553-97af9a89aebb
FELEU Yannick,d674f7fb-51e8-4228-94aa-a7c7700038cf
Frédéric Baudry,27da5858-53fe-4e9f-b132-c51af634e3d5
ILOAI Nivaleta,8e96f804-14ba-4e54-8254-3ca5b40fecff
KOLOKILAGI Atoloto,27a7925a-8a28-48f6-bd70-e2f5ec326beb
KULIMOETOKE Mikaele,226a2eee-70a5-4c46-8fcb-51dc7c429d59
Lafaele Tukumuli,2bd9aee7-1524-4478-b878-2740b89e545b
LAUFILITOGA Mireille,c4409077-d6dc-459a-a04d-fa64166d4cc8
Lavinia Tagane,52a8ce1a-9de6-427d-a7d0-ee8aba3f4090
Marie-Louise Selui,e81cf2bd-12db-433e-b248-e8f1db16276a
Mikaele Kulimoetoke,226a2eee-70a5-4c46-8fcb-51dc7c429d59
Mikaele Seo,f2e679d5-dd5b-47e9-9fcc-ad6f6d0a7258
Mireille Laufilitoga,c4409077-d6dc-459a-a04d-fa64166d4cc8
MULIAKAAKA Munipoese,d3004f1c-3337-40ee-9df2-724d66a18060
Munipoese Muliakaaka,d3004f1c-3337-40ee-9df2-724d66a18060
Napole Polutélé,774d466c-1c40-4720-87cf-edcd28c001ad
Nivaleta Iloai,8e96f804-14ba-4e54-8254-3ca5b40fecff
SAVEA Toma Akino,a6274631-0ee9-4446-bb00-30db59151434
Savelina Vea,9b72848f-83e1-44df-9552-52ca9f1c5352
Soane-Paulo Mailagi,6a04bc41-440f-4046-b987-d296f0ae60df
Sylvain Brial,fc64fdc8-40aa-4d2c-9468-f910a1a08f4b
Toma Savea,a6274631-0ee9-4446-bb00-30db59151434
Tui Asoa Sosefo Motuku,d468aed0-6a95-45c6-8db4-2d2f5e71d767
Tui Mata Utu André Vaitotai,41097d84-010a-42b8-b824-47fd6ed0b721
Tuliano Talomafaia,e909305f-85b9-4518-8d03-48f21671877f
VEA Savelina,9b72848f-83e1-44df-9552-52ca9f1c5352
VERGE David,8277e5e2-5983-4f6f-8553-97af9a89aebb
Yannick Feleu,d674f7fb-51e8-4228-94aa-a7c7700038cf
