id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
f73faf82-a2c9-44a4-b7c9-b119d3d47f5a,Alberto Cardemil Herrera,Cardemil,,,,Renovación Nacional,RN,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Alberto_Cardemil_Herrera.jpg,male,Q5662871,Q1422826,
3f50dcc0-daed-4745-83f9-8ab53a78e6c6,Alberto Espina Otero,Espina,,,,Renovación Nacional,RN,21,21,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Alberto_Espina_Otero.jpg,male,Q5663007,Q1422826,
f46cef09-93b6-4bf8-856c-5ab3ffc339ab,Aldo Cornejo González,Cornejo,,,,Partido Demócrata Cristiano,DC,13,13,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Aldo_Cornejo_González.jpg,male,Q5664433,Q1395049,
e99263ca-b67a-46ea-b04b-ae02dba67c5a,Alejandro García-Huidobro Sanfuentes,García-Huidobro,,,,Unión de Centro Progresista,UCCP,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Alejandro_García_Huidobro_Sanfuentes.jpg,male,Q5665033,Q7248821,
b88fcc21-6421-4c92-9417-700aa8a9af33,Alejandro Navarro Brain,Navarro,,,,Partido Socialista,PS,,,National Congress,2,,,,male,Q4714618,Q823648,
991b9a76-4140-4e40-9e7b-8096b342cf47,Alfonso Vargas Lyng,Vargas,,,,Renovación Nacional,RN,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Alfonso_Vargas.jpg,male,Q5406435,Q1422826,
87c38081-1d88-4bbd-b7af-8f384b18e223,Andrés Allamand Zavala,Allamand,,,,Renovación Nacional,RN,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Andrés_Allamand.jpg,male,Q4760139,Q1422826,
2299334e-4ade-4962-a81e-c33b3aa21093,Andrés Aylwin Azocar,Aylwin,,,,Partido Demócrata Cristiano,DC,30,30,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Andrés_Aylwin_Azócar.jpg,male,Q5675566,Q1395049,
fdec2a4f-a8df-40aa-a37b-8a80851778b7,Andrés Chadwick Piñera,Chadwick,,,,Unión Demócrata Independiente,UDI,33,33,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Ministro_Andrés_Chadwick.jpg,male,Q4760169,Q602131,
a43d429c-8654-4587-85b8-a1ca9d1ac8a8,Andrés Palma Irarrázaval,Palma,,,,Partido Demócrata Cristiano,DC,25,25,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Andrés_Palma_Irarrázaval.jpg,male,Q5676013,Q1395049,
b6acd064-25e3-46ab-9293-b55652b2e3d4,Aníbal Pérez Lobos,Pérez,,,,Partido Por la Democracia,PPD,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Aníbal_Pérez_Lobos.jpg,male,Q4778513,Q1759292,
08f03cc6-2a7e-42b1-9960-f3a50baa7b58,Armando Arancibia Calderón,Arancibia,,,,Partido Socialista,PS,6,6,National Congress,2,,,,male,Q23071124,Q823648,
21204e67-b315-4878-9b5d-a53e2c07b5ef,Arturo Longton Guerrero,Longton,,,,Renovación Nacional,RN,12,12,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/6/66/Arturo_Longton_Guerrero.jpg,male,Q5707321,Q1422826,
fb7c32eb-79da-42be-a003-03b6748e72b1,Baldo Prokuriça Prokuriça,Prokuriça,,,,Renovación Nacional,RN,6,6,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Baldo_Prokurica_Prokurica.jpg,male,Q4850447,Q1422826,
4dd5555f-2599-46e0-a197-4090bbe44627,Camilo Escalona Medina,Escalona,,,,Partido Socialista,PS,27,27,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Camilo_Escalona_Medina.jpg,male,Q1628673,Q823648,
e9909c84-67f9-4ab6-9804-1f8ddac60eab,Carlos Bombal Otaegui,Bombal,,,,Unión Demócrata Independiente,UDI,22,22,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Carlos_Bombal_Otaegui.jpg,male,Q5749863,Q602131,
2c2770e0-5bbb-42c8-96f7-cdbdaeb57e24,Carlos Caminondo Sáez,Caminondo,,,,Renovación Nacional,RN,54,54,National Congress,2,,,,male,,Q1422826,
34737795-6a3e-41ab-acea-832bc7a34179,Carlos Cantero Ojeda,Cantero,,,,Renovación Nacional,RN,3,3,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Carlos_Cantero_Ojeda.jpg,male,Q5749950,Q1422826,
123bbaad-2773-4539-acf6-900c29dff23c,Carlos Dupré Silva,Dupré,,,,Partido Demócrata Cristiano,DC,20,20,National Congress,2,,,,male,Q5750170,Q1395049,
4fb989ed-a307-498b-93e8-5425868b2a0b,Carlos Kuschel Silva,Kuschel,,,,Renovación Nacional,RN,57,57,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Carlos_Ignacio_Kuschel_Silva.jpg,male,Q5750685,Q1422826,
e7bb844b-6886-4f76-bbd1-6ebd5cccff68,Carlos Montes Cisternas,Montes,,,,Partido Socialista,PS,26,26,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Carlos_Montes_Cisternas.jpg,male,Q5751049,Q823648,
c0f5c8a5-eafc-44de-b40a-48b57df42cd3,Carlos Valcarce Medina,Valcarce,,,,Renovación Nacional,RN,1,1,National Congress,2,,,,male,Q5752011,Q1422826,
b3a32549-b33c-4a5f-875a-cbd10139e49c,Carlos Vilches Guzmán,Vilches,,,,Renovación Nacional,RN,5,5,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Carlos_Alfredo_Vilches.jpg,male,Q5752094,Q1422826,
99e02765-f57d-42f4-b234-075cf81ae20a,Claudio Alvarado Andrade,Alvarado,,,,Unión Demócrata Independiente,UDI,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Claudio_Alvarado.jpg,male,Q5771849,Q602131,
471b8ee0-6f5c-49b3-8345-b46f5b95273f,Claudio Rodríguez Cataldo,Rodríguez,,,,Renovación Nacional,RN,11,11,National Congress,2,,,,male,,Q1422826,
bdcb23ee-6905-4dcd-9ee8-ddcd120cea4d,Cristián Leay Morán,Leay,,,,Unión Demócrata Independiente,UDI,19,19,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Cristian_Leay.jpg,male,Q24263712,Q602131,
9bcc5c12-4b2d-41dd-9dbc-a92e9cbbf590,Darío Paya Mira,Paya,,,,Unión Demócrata Independiente,UDI,,,National Congress,2,,,https://upload.wikimedia.org/wikipedia/commons/7/78/Darío_Paya_Mira.jpg,male,Q5799538,Q602131,
