id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
55e8bf62-2fd5-4e8f-8375-f52380a72411,ABIGUIME Petik-Abalo,ABIGUIME Petik-Abalo,,,,UNIR,unir,binah,BINAH,National Assembly,2013,,,,male,,Q22080618,
b1e498d5-d0ac-482f-ac91-48ce6951a953,ABOLU Yawo Afelete,ABOLU Yawo Afelete,,,,UNIR,unir,ave,AVE,National Assembly,2013,,,,male,,Q22080618,
2b7fafe6-99eb-4bbb-beaa-91e19ad9eeb3,ADJAMAGBO Ayélo Okpé,ADJAMAGBO Ayélo Okpé,,,,UNIR,unir,ogou-anie,OGOU-ANIE,National Assembly,2013,,,,female,,Q22080618,
7e840c5a-8734-47a3-bfe4-ed10201ceb48,ADJOR Akofi,ADJOR Akofi,,,,ANC,anc,ave,AVE,National Assembly,2013,,,,male,,Q2838206,
72475611-f569-481c-9dfc-329bc4180db7,AFO ALEDJOU Mawé,AFO ALEDJOU Mawé,,,,UNIR,unir,tchamba,TCHAMBA,National Assembly,2013,,,,male,,Q22080618,
9feaea61-527e-44c4-a8af-4bc4f332d7dd,AGBO KOMLAN,AGBO KOMLAN,,,,UNIR,unir,est-mono,EST-MONO,National Assembly,2013,,,,male,,Q22080618,
a2d1d07e-549c-42f3-878d-7f7def4650ca,AGBO Kokou,AGBO Kokou,,,,ARC-EN-CIEL,arc-en-ciel,yoto,YOTO,National Assembly,2013,,,,male,,Q22080518,
3d19716b-d953-4468-8c6d-b86412dc198b,AGBOKOU Kossiwa M. F.,AGBOKOU Kossiwa M. F.,,,,ANC,anc,grand_lome,GRAND LOME,National Assembly,2013,,,,female,,Q2838206,
b0e413be-ccd3-4eee-8f4a-ee0f3470b9f9,ALONOU Kokou,ALONOU Kokou,,,,UNIR,unir,blitta,BLITTA,National Assembly,2013,,,,male,,Q22080618,
6cbbf98a-f7f4-4dcd-86dd-8e971e646418,AMEDJOGBE Akossiwa Olivia,AMEDJOGBE Akossiwa Olivia,,,,UNIR,unir,grand_lome,GRAND LOME,National Assembly,2013,,,,female,,Q22080618,
0247e713-cca6-42c8-a6be-e60e310ecc5c,AMEGANVI M.Isabelle D.,AMEGANVI M.Isabelle D.,,,,ANC,anc,kloto-kpele,KLOTO-KPELE,National Assembly,2013,,,,female,,Q2838206,
e1462499-d7d4-411e-9a44-afaff8daf96e,AMENYO Afi Ntifa,AMENYO Afi Ntifa,,,,UNIR,unir,agou,AGOU,National Assembly,2013,,,,female,,Q22080618,
036b8624-a1dc-4181-88ad-376109198f40,AMETODJI Yawovi,AMETODJI Yawovi,,,,UNIR,unir,ogou-anie,OGOU-ANIE,National Assembly,2013,,,,male,,Q22080618,
944789b2-ff52-423d-8e82-8b122ade2deb,AMOUZOU DJAKE Kossiwa,AMOUZOU DJAKE Kossiwa,,,,UNIR,unir,haho,HAHO,National Assembly,2013,,,,female,,Q22080618,
92b4efb0-ec70-41e5-aa4c-b392f01b3a2c,AMOUZOU Kodjovi,AMOUZOU Kodjovi,,,,UNIR,unir,haho,HAHO,National Assembly,2013,,,,male,,Q22080618,
aa468f53-55e2-41f7-bb32-6985bba7718b,APEKEY Assewouwokan,APEKEY Assewouwokan,,,,ANC,anc,vo,VO,National Assembly,2013,,,,male,,Q2838206,
969e01c9-3d9c-4e4e-b023-d3caae4e58ee,APEVON Kokou Dodji,APEVON Kokou Dodji,,,,ARC-EN-CIEL,arc-en-ciel,grand_lome,GRAND LOME,National Assembly,2013,,,,male,,Q22080518,
58e9a2ff-774c-442d-b2bc-8565c7fdb6e4,APEZOUKE Jean-Marie,APEZOUKE Jean-Marie,,,,UNIR,unir,vo,VO,National Assembly,2013,,,,male,,Q22080618,
c140a579-7cca-4231-83f9-6436aefc3e2d,ARZOUMA Natchadja,ARZOUMA Natchadja,,,,UNIR,unir,kpendjal,KPENDJAL,National Assembly,2013,,,,male,,Q22080618,
58979bb4-4d3d-4681-badd-e8478f3e7a3c,ARZOUMA Pomong Wuinekouma,ARZOUMA Pomong Wuinekouma,,,,UNIR,unir,tone-cinkasse,TONE-CINKASSE,National Assembly,2013,,,,female,,Q22080618,
4a966504-da0b-4558-86ab-12a39319ecaf,ASSOUMA Derman,ASSOUMA Derman,,,,UNIR,unir,tchamba,TCHAMBA,National Assembly,2013,,,,male,,Q22080618,
6864efa3-097b-4c9a-8975-a11e85d98f8f,ATAKPAMEY Kodjo,ATAKPAMEY Kodjo,,,,ANC,anc,ogou-anie,OGOU-ANIE,National Assembly,2013,,,,male,,Q2838206,
b75fc918-ddaa-4d98-b60a-2a006fe70b9b,ATCHI N’Bouké Yao,ATCHI N’Bouké Yao,,,,UNIR,unir,moyen-mono,MOYEN-MONO,National Assembly,2013,,,,male,,Q22080618,
08269001-d034-41bf-bff6-2eb1aae8e9d4,AWATE Simala,AWATE Simala,,,,UNIR,unir,est-mono,EST-MONO,National Assembly,2013,,,,male,,Q22080618,
0aec0480-1fc2-4b84-aa83-781b38db35a7,BANKATI Bolagbédé,BANKATI Bolagbédé,,,,UNIR,unir,oti,OTI,National Assembly,2013,,,,male,,Q22080618,
fa812a52-5133-4b9b-aa5d-3d2413f2f71e,BARITSE Dametoti,BARITSE Dametoti,,,,UNIR,unir,kpendjal,KPENDJAL,National Assembly,2013,,,,male,,Q22080618,
6bcfdd4b-ac6a-4aeb-b36c-a91ba5f8e85f,BEGUEM Nakodja,BEGUEM Nakodja,,,,UNIR,unir,dankpen,DANKPEN,National Assembly,2013,,,,male,,Q22080618,
