id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
57ddc7c1-0ce4-4716-9e1e-4642cfb69ed4,ABARIBE ENYNNAYA,ABARIBE ENYNNAYA,,,,Peoples Democratic Party,PDP,"area/abia-south,_abia_state","Abia-South, Abia State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/808.jpg,
b2a7f72a-9ecf-4263-83f1-cb0f8783053c,ABDUKADIR RAHIS,ABDUKADIR RAHIS,,,,All Progressives Congress,APC,"area/maiduguri_(metropolitan),_borno_state","Maiduguri (Metropolitan), Borno State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/546.jpg,
8ab0069f-7c0f-4fcb-8b93-486432b7520a,ABDUL-MALIK ZUBAIRU,ABDUL-MALIK ZUBAIRU,,,,All Progressives Congress,APC,"area/bungudu/maru,_zamfara_state","Bungudu/Maru, Zamfara State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/581.jpg,
764fce72-c12a-42ad-ba84-d899f81f7a77,ABDULAHI FARUK,ABDULAHI FARUK,,,,All Progressives Congress,APC,"area/b/kebbi/kalgo/bunza,_kebbi_state","B/Kebbi/Kalgo/Bunza, Kebbi State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/685.jpg,
ecb45f53-eb9e-4d50-b8d9-23f726dc15d4,ABDULFATAI BUHARI,ABDULFATAI BUHARI,,,,All Progressives Congress,APC,"area/oyo_north,_oyo_state","Oyo North, Oyo State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/avatar.jpg,
c01a0e80-3ce8-4db9-8eaa-08fa4aa7f7ed,ABDULLAHI ADAMU,ABDULLAHI ADAMU,,,,All Progressives Congress,APC,"area/nasarawa_west,_nassarawa_state","Nasarawa West, Nassarawa State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/852.jpg,
9cac82e2-515f-492b-90f5-343530a48f0a,ABDULLAHI HASSAN,ABDULLAHI HASSAN,,,,All Progressives Congress,APC,"area/bagudo/suru,_kebbi_state","Bagudo/Suru, Kebbi State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/733.jpg,
ae7595bd-e53a-41da-a1dd-4f05ce1a6850,ABDULLAHI IBRAHIM,ABDULLAHI IBRAHIM,,,,All Progressives Congress,APC,"area/sokoto_south,_sokoto_state","Sokoto South, Sokoto State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/avatar.jpg,
1acd5fb5-c9ee-41e2-8236-8e7e64ba5207,ABDULLAHI MOHAMMED,ABDULLAHI MOHAMMED,,,,All Progressives Congress,APC,"area/kware/wamakko,_sokoto_state","Kware/Wamakko, Sokoto State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/921.jpg,
dfeacf04-9bd5-4f12-8440-2cb91b58ac9a,ABDULMUMIN JIBRIN,ABDULMUMIN JIBRIN,,,,All Progressives Congress,APC,"area/bebeji/kiru,_kano_state","Bebeji/Kiru, Kano State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/923.jpg,
8643dbb1-57e4-4c5a-a34d-dcc76eb18a0c,ABDULRAZAK NAMDAS,ABDULRAZAK NAMDAS,,,,All Progressives Congress,APC,"area/jada/ganye/mayo_belwa/toungo,_adamawa_state","Jada/Ganye/Mayo Belwa/Toungo, Adamawa State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/723.jpg,
b62f18fc-dd29-4b02-a5f7-95a42f956543,ABDUSSAMAD DASUKI,ABDUSSAMAD DASUKI,,,,All Progressives Congress,APC,"area/kebbe/tambuwal,_sokoto_state","Kebbe/Tambuwal, Sokoto State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/932.jpg,
bffbd228-beea-4d86-a37c-e2b6c3c05780,ABU IBRAHIM,ABU IBRAHIM,,,,All Progressives Congress,APC,"area/katsina_south,_katsina_state","Katsina South, Katsina State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/879.jpg,
50cb2a99-49a0-4ea7-b5a5-65a0bd7ede30,ABUBAKAR AMUDA-KANNIKE,ABUBAKAR AMUDA-KANNIKE,,,,All Progressives Congress,APC,"area/ilorin_east/south,_kwara_state","Ilorin East/South, Kwara State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/598.jpg,
58a2855c-7b99-4837-b234-deed1fc2404a,ABUBAKAR DAHIRU,ABUBAKAR DAHIRU,,,,All Progressives Congress,APC,"area/lafia/obi,_nassarawa_state","Lafia/Obi, Nassarawa State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/586.jpg,
5535d8e2-9fef-4133-b42c-7a73e0ab0e73,ABUBAKAR KYARI,ABUBAKAR KYARI,,,,All Progressives Congress,APC,"area/borno_north,_borno_state","Borno North, Borno State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/avatar.jpg,
d1b39c93-9087-4da4-adc4-e1ae99b35fc3,ABUBAKAR LADO,ABUBAKAR LADO,,,,All Progressives Congress,APC,"area/gurara/suleja/tafa,_niger_state","Gurara/Suleja/Tafa, Niger State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/656.jpg,
5198eacc-97f8-4eb1-9ad9-1895cb5cb979,ABUBAKAR LAWAL,ABUBAKAR LAWAL,,,,All Progressives Congress,APC,"area/yola_north/yola_south/girei,_adamawa_state","Yola North/Yola South/Girei, Adamawa State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/642.jpg,
a7be4eac-1004-41b0-894a-27100827d083,ABUBAKAR SANI,ABUBAKAR SANI,,,,Peoples Democratic Party,PDP,"area/taraba_north,_taraba_state","Taraba North, Taraba State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/811.jpg,
543f5de3-208e-40fb-8925-a3717d098ab0,ACHARU OCHIJENU,ACHARU OCHIJENU,,,,Peoples Democratic Party,PDP,"area/,_state",", State",House of Representatives,2015,,,http://www.nass.gov.ng/images/mps/avatar.jpg,
