id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
04f75375-7c3c-4840-ab87-80176a16854b,Allan Peachey,"Peachey, Allan",,,,National,national,area/tamaki,Tamaki,New Zealand Parliament,48,,,,male,Q4730906,Q204716,
3fa22c6f-8f2d-4d0b-9234-ae9aa2ac1aeb,Ann Hartley,"Hartley, Ann",,,,Labour,labour,area/list,List,New Zealand Parliament,48,,,,female,Q4766440,Q1048192,
ebd6bf2a-4ea1-4bd5-a1fd-b64692267d85,Anne Tolley,"Tolley, Anne",anne.tolley@parliament.govt.nz,AnneTolleyMP,honannetolley,National,national,area/east_coast,East Coast,New Zealand Parliament,48,,,https://www.parliament.nz/media/1400/tolley-anne.DmxLCg.jpg,female,Q540420,Q204716,Q5328100
4a629361-b148-439f-b874-af88c9ff8c8c,Annette King,"King, Annette",annette.king@parliament.govt.nz,annetterongotai,annette.king.of.rongotai,Labour,labour,area/rongotai,Rongotai,New Zealand Parliament,48,,,https://www.parliament.nz/media/1332/king-annette.DmxK8w.jpg,female,Q4769089,Q1048192,Q7365666
6af85147-568d-422b-b510-83343a2c7c65,Ashraf Choudhary,"Choudhary, Ashraf",,,,Labour,labour,area/list,List,New Zealand Parliament,48,,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Ashraf_Choudhary.jpg,male,Q4805872,Q1048192,
dd826092-7cbf-4791-a77b-e77602967b58,Aupito Su’a William Sio,"Sio, William",Aupito.william.sio@parliament.govt.nz,aupitowsio_mp,aupitowilliamsio,Labour,labour,area/list,List,New Zealand Parliament,48,2008-03-29,,https://www.parliament.nz/media/1378/sio-aupito-william.DmxLBQ.jpg,male,Q16208070,Q1048192,
b6cbfeda-17fc-4aa8-aec5-a7c4a08eae74,Barbara Stewart,"Stewart, Barbara",barbara.stewart@parliament.govt.nz,BStewartMP,barbarastewartmp,NZ First,nz_first,area/list,List,New Zealand Parliament,48,,,https://www.parliament.nz/media/1382/stewart-barbara.DmxLBg.jpg,female,Q10987432,Q180059,
6a93d08c-85ee-43f0-9226-d516257a348b,Bill English,"English, Bill",bill.english@parliament.govt.nz,pmbillenglish,pmbillenglish,National,national,area/clutha-southland,Clutha-Southland,New Zealand Parliament,48,,,https://www.parliament.nz/media/1286/english-bill5.DmxK6Q.jpg,male,Q4384608,Q204716,Q5136749
2d0cceb1-d72c-4cfe-b80f-faaa32a3d891,Bob Clarkson,"Clarkson, Bob",,,,National,national,area/tauranga,Tauranga,New Zealand Parliament,48,,,,male,Q4932085,Q204716,Q16934070
09a81d64-ac1e-47f1-b1e2-81b334848f4a,Brian Connell,"Connell, Brian",,,,National,national,area/rakaia,Rakaia,New Zealand Parliament,48,,,,male,Q4963418,Q204716,Q7286532
d53514ce-39fa-46b9-9725-523a13ee6eaf,Brian Donnelly,"Donnelly, Brian",,,,NZ First,nz_first,area/list,List,New Zealand Parliament,48,,,,male,Q4963589,Q180059,
635a72a6-684d-4782-8d31-5f330df67b5f,Charles Chauvel,Charles Chauvel,,charleschauvel,,Labour,labour,area/list,List,New Zealand Parliament,48,2006-08-01,,https://upload.wikimedia.org/wikipedia/commons/1/13/Charles_Chauvel.jpg,male,Q4507790,Q1048192,
04c5b13a-a2d0-4737-aa7d-0d51140d7274,Chester Borrows,"Borrows, Chester",chester.borrows@parliament.govt.nz,ChesterBorrows,chesterborrows,National,national,area/whanganui,Whanganui,New Zealand Parliament,48,,,https://www.parliament.nz/media/1269/chester-borrows-cropped.DmxK5Q.jpg,male,Q5093475,Q204716,Q7990611
94085681-d2c9-4d0a-b0f4-f6e36dcd0b38,Chris Auchinvole,"Auchinvole, Chris",,,,National,national,area/list,List,New Zealand Parliament,48,,,,male,Q3729808,Q204716,
80c291a2-5395-4f43-9902-7b5047359354,Chris Carter,"Carter, Chris",,,,Labour,labour,area/te_atatu,Te Atatu,New Zealand Parliament,48,,,https://upload.wikimedia.org/wikipedia/commons/2/27/Chris_Carter.jpg,male,Q355398,Q1048192,
