id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
b07972d0-fd83-4101-a06b-760e6604ba7a,ADJOUROUVI Yawovi Missiame Amenyo,ADJOUROUVI Yawovi Missiame Amenyo,,,,INDEPENDANT/AVE EN MARCHE,ave_en_marche,ave,AVE,2018,2018-12-21,,,,,
57465bf8-2ac9-46e3-8233-572e8827ec94,ADZOYI Kodzotse,ADZOYI Kodzotse,,,,UFC,ufc,ave,AVE,2018,2018-12-21,,,,Q2494775,
c79c752e-d2d1-4cce-8250-869975caecc3,AFETSE Yawo Dotse,AFETSE Yawo Dotse,,,,UNIR,unir,agou,AGOU,2018,2018-12-21,,,,Q22080618,
acc37217-00bf-4e86-b2c5-50b2f375e366,AGBANU Komi,AGBANU Komi,,,,UFC,ufc,zio,ZIO,2018,2018-12-21,,,,Q2494775,
379858f9-d44a-4e3f-bf3c-42d76dda82b0,AGBEKO Andre,AGBEKO Andre,,,,UNIR,unir,blitta,BLITTA,2018,2018-12-21,,,,Q22080618,
d13385a7-aeae-47ce-a49f-b4f9b3d82329,AGOGNO SODJEDO Messan,AGOGNO SODJEDO Messan,,,,INDEPENDANTS/(CRAD),(crad),zio,ZIO,2018,2018-12-21,,,,,
88672fe6-e70d-471c-86e4-bee0fac4e729,AHOOMEY-ZUNU Doh Gaétan Mawukplonam,AHOOMEY-ZUNU Doh Gaétan Mawukplonam,,,,UFC,ufc,golfe-agoe-nyive,GOLFE-AGOE-NYIVE,2018,2018-12-21,,,,Q2494775,
0cb259a1-9142-43af-bcea-783f19445b82,AKODA Tchiko Koffi Joseph,AKODA Tchiko Koffi Joseph,,,,UNIR,unir,est-mono,EST-MONO,2018,2018-12-21,,,,Q22080618,
6290cb2b-e392-454d-8d4f-04d3d41afa8a,ALASSANI Nakpale,ALASSANI Nakpale,,,,UNIR,unir,tone-cinkasse,TONE-CINKASSE,2018,2018-12-21,,,,Q22080618,
1f974404-bd07-48dc-80a6-221a05e6d073,ALIPUI Senanu Koku,ALIPUI Senanu Koku,,,,UFC,ufc,ogou-anie,OGOU-ANIE,2018,2018-12-21,,,,Q2494775,
