id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
61e9f2d9-67fb-4756-9da3-e247ca6afed8,أنيسة محمد عصام الدين حسونه,أنيسة محمد عصام الدين حسونه,,,,مستقل,مستقل,,,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4638,female,,,
e06f8634-e481-431c-8953-96ac9f40b3db,ابتسام ابراهيم ابو رحاب محمد,ابتسام ابراهيم ابو رحاب محمد,,,,مستقل,مستقل,الثانية,الثانية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4215,female,,,
aea3359a-b781-44f7-bf5e-d8cce7c3b2b3,ابراهيم احمد احمد حمودة,ابراهيم احمد احمد حمودة,,,,مستقبل وطن,مستقبل_وطن,الجيزة,الجيزة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4324,male,,,
375ae407-4af3-43f6-94c7-880e61c751c5,ابراهيم عبد العزيز محمد اسماعيل,ابراهيم عبد العزيز محمد اسماعيل,,,,مستقل,مستقل,كفر_الشيخ,كفر الشيخ,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4556,male,,,
d7d266c5-65c2-4c57-9a19-85023f34b57e,ابراهيم عبد العزيز محمد حجازى,ابراهيم عبد العزيز محمد حجازى,,,,مستقل,مستقل,القاهرة,القاهرة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4438,male,,,
9f3a652e-ff5c-491c-a6be-ca0b89b0c62f,ابراهيم عبد النظير عبد الرحيم مصطفى,ابراهيم عبد النظير عبد الرحيم مصطفى,,,,مستقل,مستقل,أسيوط,أسيوط,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4309,male,,,
6fac324d-3648-4026-bbdf-69207f769c93,ابراهيم عبد الوهاب محي الدين ابو احمد,ابراهيم عبد الوهاب محي الدين ابو احمد,,,,المصريين الاحرار,المصريين_الاحرار,الاسكندرية,الاسكندرية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4057,male,Q12181798,,
250fd1b5-a8ef-44b7-ac44-1e4e45edd66e,ابراهيم محمد ابراهيم محمد,ابراهيم محمد ابراهيم محمد,,,,مستقل,مستقل,شمال_سيناء,شمال سيناء,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4375,male,,,
ca8bf56d-eb30-483d-8ba1-fe0d46b7c088,ابراهيم يحيى محمد خليف,ابراهيم يحيى محمد خليف,,,,مصر بلدى,مصر_بلدى,المنوفية,المنوفية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4586,male,,,
581b941c-e7c7-4ea5-a84d-0602dd7c52de,ابو العباس فرحات محمود محمد تركى,ابو العباس فرحات محمود محمد تركى,,,,مستقل,مستقل,الاسكندرية,الاسكندرية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4165,male,,,
0876e4eb-037b-485a-a4cd-e240c4378d29,ابو المعاطى مصطفى ابو المعاطى مصطفى,ابو المعاطى مصطفى ابو المعاطى مصطفى,,,,مستقل,مستقل,دمياط,دمياط,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4544,male,,,
f5c7cda9-2686-4f1d-8f5c-3d7695e27da8,ابو بكر على ابو بكر غريب,ابو بكر على ابو بكر غريب,,,,مستقل,مستقل,الجيزة,الجيزة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4333,male,,,
93f9d86f-1b7f-4209-9c14-04c64b7e5c37,احمد ابراهيم الضوى عابد,احمد ابراهيم الضوى عابد,,,,مستقل,مستقل,البحر_الأحمر,البحر الأحمر,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4292,male,,,
bd227f6b-5180-40a1-b336-b3082e0238df,احمد ابراهيم محمد العوضى,احمد ابراهيم محمد العوضى,,,,حماة الوطن,حماة_الوطن,الدقهلية,الدقهلية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4532,male,,,
91c0aa38-9290-4754-bfca-fb706ae24168,احمد احمد اسماعيل احمد ابو كريشة,احمد احمد اسماعيل احمد ابو كريشة,,,,مستقل,مستقل,الثانية,الثانية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4219,male,,,
0b2307ea-1a04-4d34-8f9b-198442ba751c,احمد احمد شكر عثمان,احمد احمد شكر عثمان,,,,مستقل,مستقل,أسيوط,أسيوط,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4185,male,,,
4aa6af91-baef-441c-ab7e-805238b311bf,احمد احمد يوسف عبد الدايم,احمد احمد يوسف عبد الدايم,,,,المصريين الاحرار,المصريين_الاحرار,الجيزة,الجيزة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4190,male,,,
2176b77c-55f9-44a7-8768-a14c34ce37f9,احمد اسماعيل محمد احمد,احمد اسماعيل محمد احمد,,,,unknown,unknown,,,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4442,male,,,
4be1ecf0-85db-4d32-baef-f6c8b225b3b5,احمد امبابى لملوم,احمد امبابى لملوم,,,,مستقبل وطن,مستقبل_وطن,المنيا,المنيا,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=469,male,,,
0400b99e-696f-4b8c-b95e-78155516944f,احمد جمال حافظ السجينى,احمد جمال حافظ السجينى,,,,الوفد الجديد,الوفد_الجديد,الرابعة,الرابعة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4250,male,,,
55ec481f-fd71-4c41-961d-df19a143e2ad,احمد حسن حلمى سعيد,احمد حسن حلمى سعيد,,,,مستقل,مستقل,الأولى,الأولى,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4382,male,Q4695848,,
ecb3855d-376e-4c02-b6b9-a53cfea694a1,احمد حسن حلمي سعيد,احمد حسن حلمي سعيد,,,,مستقل,مستقل,الأولى,الأولى,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4035,male,,,
84bebeb2-3f13-4daa-bb89-7ae332888bba,احمد حسن عطيت الله فرشوطى,احمد حسن عطيت الله فرشوطى,,,,الشعب الجمهورى,الشعب_الجمهورى,الاقصر,الاقصر,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4364,male,,,
6a75efba-d8be-472e-9de9-965649f2ed7a,احمد حسين السعيد الخشب,احمد حسين السعيد الخشب,,,,مستقل,مستقل,الدقهلية,الدقهلية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4546,male,,,
70aa25be-3194-4645-a514-e8a9e7576073,احمد خليل عبد العزيز خير الله,احمد خليل عبد العزيز خير الله,,,,النور,النور,الاسكندرية,الاسكندرية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4140,male,Q22928583,,
f8d94d4b-72c1-4481-8aa6-5accced0fc74,احمد رجب شحات محمد بدوى,احمد رجب شحات محمد بدوى,,,,مستقل,مستقل,القليوبية,القليوبية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4485,male,,,
a123b08b-b34c-4320-ba52-118c5638c8ef,احمد رفعت محمد سعيد,احمد رفعت محمد سعيد,,,,المصريين الاحرار,المصريين_الاحرار,المنوفية,المنوفية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4050,male,,,
54c1809e-5802-4a69-8279-b2811762c952,احمد سعد الدين احمد محمد درويش,احمد سعد الدين احمد محمد درويش,,,,المصريين الاحرار,المصريين_الاحرار,أسـوان,أسـوان,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=3321,male,,,
6d18b18f-bc34-4392-8331-62fda0b8f2c0,احمد سعيد شعيب عبد الله,احمد سعيد شعيب عبد الله,,,,المؤتمر,المؤتمر,الاسماعيلية,الاسماعيلية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4478,male,,,
86cf1049-446a-4fa3-8449-b13b49960c5e,احمد سليمان احمد عبد الله خليل,احمد سليمان احمد عبد الله خليل,,,,المصريين الاحرار,المصريين_الاحرار,البحيرة,البحيرة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4279,male,,,
beb230a5-8065-4a3a-959d-5946216b4d1d,احمد سميح جلال الدين درويش,احمد سميح جلال الدين درويش,,,,مستقل,مستقل,الجيزة,الجيزة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=460,male,,,
e92d9ee5-78b7-4933-9725-f65b95600aa2,احمد سمير محمود علي,احمد سمير محمود علي,,,,مستقبل وطن,مستقبل_وطن,الجيزة,الجيزة,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4177,male,,,
d50c57ab-56a3-48b6-a340-658c57202da5,احمد شعراوى ابراهيم شعراوى,احمد شعراوى ابراهيم شعراوى,,,,مستقل,مستقل,المنيا,المنيا,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4338,male,,,
c89bdaf2-93b4-4031-9298-7f139862bd89,احمد عبد التواب محمد عبد الجليل,احمد عبد التواب محمد عبد الجليل,,,,مستقل,مستقل,الفيوم,الفيوم,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4236,male,,,
eb538d62-6f09-405e-bd8c-5193751f3cc0,احمد عبد الحميد عبد الحميد سيد احمد,احمد عبد الحميد عبد الحميد سيد احمد,,,,النور,النور,الاسكندرية,الاسكندرية,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4117,male,,,
670696ed-3917-4235-9200-a3c0d40ccae9,احمد عبد الرحمن ابراهيم محمد برديس,احمد عبد الرحمن ابراهيم محمد برديس,,,,مستقل,مستقل,المنيا,المنيا,2015,2016-01-10,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4302,male,,,
