id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
45b1d413-c111-4e9d-90a4-35cb8943c1a9,Billy Graham Talagi,Billy Graham Talagi,,,,Independent,independent,area/avatele,Avatele,Assembly,16,,,,,,Q327591,
895e393d-ad87-44d8-9d25-19fb2325f216,Dalton Tagelagi,Dalton Tagelagi,,,,Independent,independent,area/alofi_south,Alofi South,Assembly,16,,,,male,Q19876617,Q327591,
95471f12-f133-4f46-b650-a31d2017f85b,Dion Paki Taufitu,Dion Paki Taufitu,,,,Independent,independent,area/toi,Toi,Assembly,16,,,,,,Q327591,
524373b5-8380-4712-93df-cbe2afd7b314,Esa Mona Ainu'u,Esa Mona Ainu'u,,,,Independent,independent,area/tuapa,Tuapa,Assembly,16,,,,,,Q327591,
eb9f6d25-0749-470d-8c87-7fc0670e5dac,"Jack Willie Lipitoa, QSM","Jack Willie Lipitoa, QSM",,,,Independent,independent,area/namukulu,Namukulu,Assembly,16,,,,,,Q327591,
2825c176-23e5-4252-90f2-b07790e6482c,Joan Sisiata Tahafa Viliamu,Joan Sisiata Tahafa Viliamu,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,,female,Q16730306,Q327591,
3a98d3d6-42a2-4d3c-ba87-e831cf2986ae,Kupa Magatogia,Kupa Magatogia,,,,Independent,independent,area/lakepa,Lakepa,Assembly,16,,,,,,Q327591,
68aa4f8f-aa4a-44da-9cde-d0c60e382db9,Maureen Melekitama,Maureen Melekitama,,,,Independent,independent,area/mutalau,Mutalau,Assembly,16,,,,,,Q327591,
b36186d5-2ff6-4314-b71e-bd545d6f20fc,Naea Michael Jackson,Naea Michael Jackson,,,,Independent,independent,area/hakupu,Hakupu,Assembly,16,,,,male,Q3308266,Q327591,
1b493731-f45d-4b7a-83d4-8eacebba2e9a,O'love Jacobsen,O'love Jacobsen,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,,female,Q7071866,Q327591,
68f60167-934b-41d7-89b7-23c8cd22dbbf,Opili Talafasi,Opili Talafasi,,,,Independent,independent,area/hikutavake,Hikutavake,Assembly,16,,,,,,Q327591,
86205035-9a47-40d7-94fd-204bd43e162c,Peter Andrew Funaki,Peter Andrew Funaki,,,,Independent,independent,area/tamakautoga,Tamakautoga,Assembly,16,,,,,,Q327591,
65f769e8-1fdb-4dec-9972-3becd2f646e3,Pokotoa Sipeli,Pokotoa Sipeli,,,,Independent,independent,area/liku,Liku,Assembly,16,,,,male,Q251952,Q327591,
97b1bda1-748a-4be5-b931-a860ea92a4f2,Stanley Atuvaha Kalauni,Stanley Atuvaha Kalauni,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,,,,Q327591,
48353385-ca1e-4746-924f-192f47340bfe,Talaititama Talaiti,Talaititama Talaiti,,,,Independent,independent,area/vaiea,Vaiea,Assembly,16,,,,,,Q327591,
50df47f9-e1e8-4654-a5e0-36a8f7e3b581,Terry Coe,Terry Coe,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,,,,Q327591,
80aa531f-d157-4cbf-b5d4-4b91a99054ca,Terry Donald Coe,Terry Donald Coe,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,,male,Q7704226,Q327591,
477030f6-fd85-44d8-9f75-118e1d0dd9e5,Tofua Puletama,Tofua Puletama,,,,Independent,independent,area/makefu,Makefu,Assembly,16,,,,,,Q327591,
e8756496-590f-4fe7-aca5-2445161df2d2,Toke Tufukia Talagi,Toke Tufukia Talagi,,,,Independent,independent,area/common_roll,Common Roll,Assembly,16,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Toke_Talagi.jpg,male,Q785548,Q327591,
ad03c9ec-fc45-4581-85b1-2e7dabd37cc0,Va’aiga Tukuitoga,Va’aiga Tukuitoga,,,,Independent,independent,area/alofi_north,Alofi North,Assembly,16,,,,female,Q16886221,Q327591,
