id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
7866b6a0-4b65-4025-a6cd-5c305580e402,Adraktas Panagiotis,Adraktas Panagiotis,,,,N.D. (New Democracy),nd,area/ileia,Ileia,Hellenic Parliament,12,,,,male
6f4486b8-945c-49e0-afda-4f935afb976a,Agorastos Konstantinos,Agorastos Konstantinos,,,,N.D. (New Democracy),nd,area/larissa,Larissa,Hellenic Parliament,12,,,,
9c465d85-6fe2-44bd-84a7-2e2c1da22358,Aidonis Christos,Aidonis Christos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/drama,Drama,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Christos_Aidonis.jpg,male
43323b8c-fca5-4402-bb75-0781d1836c31,Aivaliotis Konstantinos,Aivaliotis Konstantinos,,,,LA.O.S.,laos,area/athens_b,Athens B,Hellenic Parliament,12,,,,male
d05b3564-4719-44d6-bb7b-677648e4b353,Alavanos Nikolaou Alexandros,Alavanos Nikolaou Alexandros,,,,SYRIZA (Coalition of the Radical Left),syriza,area/iraklio,Iraklio,Hellenic Parliament,12,,,,
6625292b-8450-480d-b1f1-e69d2b749b60,Alevras Athanasios (Nasos),Alevras Athanasios (Nasos),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/athens_a,Athens A,Hellenic Parliament,12,,,,male
c56e98ec-a0b9-459b-a91e-0723facae267,Alogoskoufis Spyridon Georgios,Alogoskoufis Spyridon Georgios,,,,N.D. (New Democracy),nd,area/athens_a,Athens A,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/9/93/GAlogoskoufis_Nov06_(original_size).JPG,male
d94e4925-5f61-42e2-8bfc-2a35f47fe1be,Alysandrakis Konstantinos,Alysandrakis Konstantinos,,,,K.K.E. (Communist Party of Greece),kke,area/ioannina,Ioannina,Hellenic Parliament,12,,,,
26a6f2af-4645-402e-a809-4a154a9c557b,Ammanatidou - (Paschalidou) Evangelia (Litsa),Ammanatidou - (Paschalidou) Evangelia (Litsa),,,,SYRIZA (Coalition of the Radical Left),syriza,area/thessaloniki_b,Thessaloniki B,Hellenic Parliament,12,,,,female
aa374b18-f8a9-4eeb-9e17-33bfdc3cbf9b,Amoiridis Ioannis,Amoiridis Ioannis,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/pieria,Pieria,Hellenic Parliament,12,,,,male
4432f0a2-89e7-41e1-9a2d-ebb601e865a0,Anagnostopoulos Theodorou Georgios,Anagnostopoulos Theodorou Georgios,,,,N.D. (New Democracy),nd,area/karditsa,Karditsa,Hellenic Parliament,12,,,,male
3dffb907-8dab-4660-bfb9-f17a8c0d4b2f,Andriopoulou Sofia,Andriopoulou Sofia,,,,SYRIZA (Coalition of the Radical Left),syriza,area/athens_b,Athens B,Hellenic Parliament,12,2009-05-26,,,
73985686-c3d6-4156-8d0a-87c2b7e99812,Androulakis Dimitrios (Mimis),Androulakis Dimitrios (Mimis),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/athens_b,Athens B,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Mimis_Androulakis_in_2008.JPG,male
1ceee23b-1444-4d2e-aa92-6c489a335bad,Antoniou Antonia (Tonia),Antoniou Antonia (Tonia),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/fthiotida,Fthiotida,Hellenic Parliament,12,,,,female
ce4d73a8-2447-4295-9256-a0544d300d42,Apostolaki Eleni-Maria (Milena),Apostolaki Eleni-Maria (Milena),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/athens_b,Athens B,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Milena_Apostolaki_in_Komotini.jpg,female
ec15239d-f1dc-4a13-8f3a-adfb6115cbc2,Apostolakos Grigorios,Apostolakos Grigorios,,,,N.D. (New Democracy),nd,area/lakonia,Lakonia,Hellenic Parliament,12,,,,male
ae67a916-2da9-4e16-b0c7-f1cb190cf616,Apostolatos Vaitsis,Apostolatos Vaitsis,,,,LA.O.S.,laos,area/piraeus_a,Piraeus A,Hellenic Parliament,12,,,,male
b336baec-0f36-4cd4-824b-a943cd6defa5,Arapoglou Chrysi,Arapoglou Chrysi,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/thessaloniki_a,Thessaloniki A,Hellenic Parliament,12,,,,female
0a413a4a-e637-4085-a954-8e7a90befc44,Arapoglou Dimitra,Arapoglou Dimitra,,,,LA.O.S.,laos,area/piraeus_b,Piraeus B,Hellenic Parliament,12,,,,female
4fb74696-57c9-4005-852e-87d481369736,Argyris Evangelos,Argyris Evangelos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/ioannina,Ioannina,Hellenic Parliament,12,,,,male
f698afa8-b33d-4775-93cc-d028828e670b,Athanasiadis Alexandros,Athanasiadis Alexandros,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/kozani,Kozani,Hellenic Parliament,12,,,,male
39d19be5-85bd-493c-8dab-335d01332f4e,Avgenakis Eleftherios,Avgenakis Eleftherios,info@avgenakis.gr,,,N.D. (New Democracy),nd,area/iraklio,Iraklio,Hellenic Parliament,12,,,http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/avgenakis.jpg,male
bd275f55-7f77-4006-ad82-0ee910e1a64c,Avramopoulos Dimitrios,Avramopoulos Dimitrios,,avramopoulos,,N.D. (New Democracy),nd,area/athens_a,Athens A,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/6/69/Dimitris_Avramopoulos_at_the_Pentagon_April_2012.jpg,male
5658fa48-7e49-4dae-afc0-05bf565371a6,Bakoyannis Theodora (Dora),Bakoyannis Theodora (Dora),gram@dorabak.gr,dora_bakoyannis,DoraBakoyannis,N.D. (New Democracy),nd,area/athens_a,Athens A,Hellenic Parliament,12,,,http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/MPAKOGIANNH.jpg,female
469217fb-2662-459e-8ced-e1ec90bb7310,Banias Vasileiou Ioannis,Banias Vasileiou Ioannis,,,,SYRIZA (Coalition of the Radical Left),syriza,area/state,State,Hellenic Parliament,12,,,,
007ea143-3d80-4b8d-bdfb-cb00209a22d6,Bantouvas Konstantinou Konstantinos,Bantouvas Konstantinou Konstantinos,,,,N.D. (New Democracy),nd,area/iraklio,Iraklio,Hellenic Parliament,12,,,,
ad89b0a5-063d-4308-9e5f-07404288ac27,Basiakos Evangelos,Basiakos Evangelos,,,,N.D. (New Democracy),nd,area/viotia,Viotia,Hellenic Parliament,12,,,,male
1efae87d-37c6-4030-bb3d-8411e4a3ba9e,Beglitis Panagiotis,Beglitis Panagiotis,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/korinthia,Korinthia,Hellenic Parliament,12,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Panagiotis_Beglitis.jpg,male
b82c35fb-1ed2-497d-8bf5-6951f4f8721f,Bekiris Michail,Bekiris Michail,,,,N.D. (New Democracy),nd,area/achaia,Achaia,Hellenic Parliament,12,,,,male
a2503eb2-c8a5-4137-98a7-719f52dceb24,Benaki - Psarouda Evangelou Anna,Benaki - Psarouda Evangelou Anna,,,,N.D. (New Democracy),nd,area/athens_a,Athens A,Hellenic Parliament,12,,,,female
f45f75d4-7b75-43a1-9e83-87cf65b66ed1,Beriatos Tilemachou Ilias,Beriatos Tilemachou Ilias,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/state,State,Hellenic Parliament,12,2009-02-16,,,
853ed865-a3e1-4eb2-9d72-f7004e3218d5,Bezas Antonios,Bezas Antonios,,,,N.D. (New Democracy),nd,area/thesprotia,Thesprotia,Hellenic Parliament,12,,,,male
90d415ad-eee5-4a27-bca0-409758a71de3,Bolaris Markos,Bolaris Markos,bolaris@parliament.gr,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/serres,Serres,Hellenic Parliament,12,,,http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/mpolaris.jpg,male
3259ae2c-4b4a-4bc1-912c-3e53ba239905,Bougas Ioannis,Bougas Ioannis,,,,N.D. (New Democracy),nd,area/fokida,Fokida,Hellenic Parliament,12,,,,
17f0f8f7-0f91-4c4c-9fec-d30202f398af,Bouras Athanasios,Bouras Athanasios,bouras@parliament.gr,,,N.D. (New Democracy),nd,area/of_attica_(rest),Of Attica (rest),Hellenic Parliament,12,,,http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/bouras.jpg,male
f83a20e7-3f51-426a-b46e-edbdfee8ab0a,Bouzali Vasileiou Paraskevi,Bouzali Vasileiou Paraskevi,,,,N.D. (New Democracy),nd,area/kastoria,Kastoria,Hellenic Parliament,12,,,,
bb4be514-8962-414e-b55c-2def591ed2e4,Chaidos Christos,Chaidos Christos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/trikala,Trikala,Hellenic Parliament,12,,,,male
903f494e-7ebf-4998-8ed5-44371a44f6ec,Chalkidis Michail,Chalkidis Michail,,,,N.D. (New Democracy),nd,area/imathia,Imathia,Hellenic Parliament,12,,,,male
695f7ad8-38f6-4499-94ad-4f83d135ba59,Chalvatzis Spyridon,Chalvatzis Spyridon,,,,K.K.E. (Communist Party of Greece),kke,area/athens_b,Athens B,Hellenic Parliament,12,,,,male
8c301581-83db-40f3-86fe-cc03a5d006fa,Charakopoulos Maximos,Charakopoulos Maximos,maximos@parliament.gr,pantamaximos,,N.D. (New Democracy),nd,area/larissa,Larissa,Hellenic Parliament,12,,,http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/harakopoulosmaximos_1.JPG,male
074da681-80b0-4a32-a776-4ad3fe9d756c,Charalampous Charalampos,Charalampous Charalampos,,,,K.K.E. (Communist Party of Greece),kke,area/corfu,Corfu,Hellenic Parliament,12,,,,male
2b180e1e-4c3d-4a91-88fa-eb8cdc6fff25,Chatzi Osman Achmet,Chatzi Osman Achmet,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/rodopi,Rodopi,Hellenic Parliament,12,,,,male
