id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
481b6504-cba6-449c-a47e-5678315d5785,آل حسن بري,آل حسن بري,,,,مستقل,مستقل,حلب,حلب,2016,2016-06-06,,,,,
052e06ed-4194-4717-8d0c-f11bea3d7060,أحمد العلي,أحمد العلي,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,حمص,حمص,2016,2016-06-06,,,,,
6d391e5d-5d43-4639-b177-a0c1604ed520,أحمد العلي الحمرا,أحمد العلي الحمرا,,,,مستقل,مستقل,مناطق_محافظة_حلب,مناطق محافظة حلب,2016,2016-06-06,,,,,
7ae81686-84c8-4770-b5f4-e2475b6c089d,أحمد المحمود الدرويش,أحمد المحمود الدرويش,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,الرقة,الرقة,2016,2016-06-06,,,,,
93bc70e5-688b-4468-887f-24e6b922e4ef,أحمد الهلال,أحمد الهلال,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,إدلب,إدلب,2016,2016-06-06,,,,,
dc90b0cb-8f73-4226-b449-b2f01593d1fc,أحمد زيتون,أحمد زيتون,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,ريف_دمشق,ريف دمشق,2016,2016-06-06,,,,,
dd8569e5-c2a9-4917-817e-3f2f6f0c5a81,أحمد قباني,أحمد قباني,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,إدلب,إدلب,2016,2016-06-06,,,,,
07df3a08-4cb2-4b6f-84ed-27e1b934c0e3,أحمد كزبري,أحمد كزبري,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,دمشق,دمشق,2016,2016-06-06,,,,,
493de01f-75ef-4610-8375-20049eb6ff92,أحمد مرعي,أحمد مرعي,,,,الحزب السوري القومي الاجتماعي,الحزب_السوري_القومي_الاجتماعي,مناطق_محافظة_حلب,مناطق محافظة حلب,2016,2016-06-06,,,,,
1159985d-85de-4eae-ae92-5d72bf54f59e,أسامة مصطفى,أسامة مصطفى,,,,حزب البعث العربي الاشتراكي,حزب_البعث_العربي_الاشتراكي,ريف_دمشق,ريف دمشق,2016,2016-06-06,,,,,
