id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
11929,Adam Afriyie,,,Conservative,conservative,Windsor,House of Commons,56,2015-05-08,,,
11599,Adam Holloway,,,Conservative,conservative,Gravesham,House of Commons,56,2015-05-08,,,
10683,Adrian Bailey,,,Labour/Co-operative,labourco-operative,West Bromwich West,House of Commons,56,2015-05-08,,,
25268,Alan Brown,,,Scottish National Party,scottish-national-party,Kilmarnock and Loudoun,House of Commons,56,2015-05-08,,,
10086,Alan Campbell,,,Labour,labour,Tynemouth,House of Commons,56,2015-05-08,,,
10179,Alan Duncan,,,Conservative,conservative,Rutland and Melton,House of Commons,56,2015-05-08,,,
10263,Alan Haselhurst,,,Conservative,conservative,Saffron Walden,House of Commons,56,2015-05-08,,,
10314,Alan Johnson,,,Labour,labour,Kingston upon Hull West and Hessle,House of Commons,56,2015-05-08,,,
25285,Alan Mak,,,Conservative,conservative,Havant,House of Commons,56,2015-05-08,,,
10428,Alan Meale,,,Labour,labour,Mansfield,House of Commons,56,2015-05-08,,,
10630,Alan Whitehead,,,Labour,labour,"Southampton, Test",House of Commons,56,2015-05-08,,,
11402,Alasdair McDonnell,,,Social Democratic and Labour Party,social-democratic-and-labour-party,Belfast South,House of Commons,56,2015-05-08,,,
11148,Albert Owen,,,Labour,labour,Ynys Môn,House of Commons,56,2015-05-08,,,
25413,Alberto Costa,,,Conservative,conservative,South Leicestershire,House of Commons,56,2015-05-08,,,
24893,Alec Shelbrooke,,,Conservative,conservative,Elmet and Rothwell,House of Commons,56,2015-05-08,,,
25340,Alex Chalk,,,Conservative,conservative,Cheltenham,House of Commons,56,2015-05-08,,,
24742,Alex Cunningham,,,Labour,labour,Stockton North,House of Commons,56,2015-05-08,,,
10525,Alex Salmond,,,Scottish National Party,scottish-national-party,Gordon,House of Commons,56,2015-05-08,,,
24897,Alison McGovern,,,Labour,labour,Wirral South,House of Commons,56,2015-05-08,,,
25327,Alison Thewliss,,,Scottish National Party,scottish-national-party,Glasgow Central,House of Commons,56,2015-05-08,,,
10770,Alistair Burt,,,Conservative,conservative,North East Bedfordshire,House of Commons,56,2015-05-08,,,
10785,Alistair Carmichael,,,Liberal Democrat,liberal-democrat,Orkney and Shetland,House of Commons,56,2015-05-08,,,
24902,Alok Sharma,,,Conservative,conservative,Reading West,House of Commons,56,2015-05-08,,,
24740,Alun Cairns,,,Conservative,conservative,Vale of Glamorgan,House of Commons,56,2015-05-08,,,
25350,Amanda Milling,,,Conservative,conservative,Cannock Chase,House of Commons,56,2015-05-08,,,
25436,Amanda Solloway,,,Conservative,conservative,Derby North,House of Commons,56,2015-05-08,,,
24795,Amber Rudd,,,Conservative,conservative,Hastings and Rye,House of Commons,56,2015-05-08,,,
25431,Andrea Jenkyns,,,Conservative,conservative,Morley and Outwood,House of Commons,56,2015-05-08,,,
24829,Andrea Leadsom,,,Conservative,conservative,South Northamptonshire,House of Commons,56,2015-05-08,,,
24748,Andrew Bingham,,,Conservative,conservative,High Peak,House of Commons,56,2015-05-08,,,
24741,Andrew Bridgen,,,Conservative,conservative,North West Leicestershire,House of Commons,56,2015-05-08,,,
24826,Andrew Griffiths,,,Conservative,conservative,Burton,House of Commons,56,2015-05-08,,,
11531,Andrew Gwynne,,,Labour,labour,Denton and Reddish,House of Commons,56,2015-05-08,,,
24758,Andrew Jones,,,Conservative,conservative,Harrogate and Knaresborough,House of Commons,56,2015-05-08,,,
11115,Andrew Mitchell,,,Conservative,conservative,Sutton Coldfield,House of Commons,56,2015-05-08,,,
11132,Andrew Murrison,,,Conservative,conservative,South West Wiltshire,House of Commons,56,2015-05-08,,,
24832,Andrew Percy,,,Conservative,conservative,Brigg and Goole,House of Commons,56,2015-05-08,,,
11199,Andrew Rosindell,,,Conservative,conservative,Romford,House of Commons,56,2015-05-08,,,
11216,Andrew Selous,,,Conservative,conservative,South West Bedfordshire,House of Commons,56,2015-05-08,,,
11559,Andrew Slaughter,,,Labour,labour,Hammersmith,House of Commons,56,2015-05-08,,,
10545,Andrew Smith,,,Labour,labour,Oxford East,House of Commons,56,2015-05-08,,,
24759,Andrew Stephenson,,,Conservative,conservative,Pendle,House of Commons,56,2015-05-08,,,
11291,Andrew Turner,,,Conservative,conservative,Isle of Wight,House of Commons,56,2015-05-08,,,
10613,Andrew Tyrie,,,Conservative,conservative,Chichester,House of Commons,56,2015-05-08,,,
10766,Andy Burnham,,,Labour,labour,Leigh,House of Commons,56,2015-05-08,,,
25169,Andy McDonald,,,Labour,labour,Middlesbrough,House of Commons,56,2015-05-08,,,
25295,Angela Crawley,,,Scottish National Party,scottish-national-party,Lanark and Hamilton East,House of Commons,56,2015-05-08,,,
10182,Angela Eagle,,,Labour,labour,Wallasey,House of Commons,56,2015-05-08,,,
25429,Angela Rayner,,,Labour,labour,Ashton-under-Lyne,House of Commons,56,2015-05-08,,,
11814,Angela Smith,,,Labour,labour,Penistone and Stocksbridge,House of Commons,56,2015-05-08,,,
11308,Angela Watkinson,,,Conservative,conservative,Hornchurch and Upminster,House of Commons,56,2015-05-08,,,
12004,Angus MacNeil,,,Scottish National Party,scottish-national-party,Na h-Eileanan an Iar,House of Commons,56,2015-05-08,,,
