id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
63e2e41e-1fbd-4396-8aa5-6138b15ebd0a,Abram Kesupile,Abram Kesupile,,,,UDC,Q18347306,kanye_south,Kanye South,11,2014-10-29,,male,,,
5165b97d-5bc8-4d9a-8635-03961c0b17af,Alfred Madigele,Alfred Madigele,,,,BDP,Q859825,mmathethe-molapowabojang,Mmathethe-Molapowabojang,11,2014-10-29,,male,,,
309ded7b-5651-4a3b-9bc3-20291c844168,Athaliah Molokomme,Athaliah Molokomme,,,,unknown,unknown,,,11,2014-10-29,"https://upload.wikimedia.org/wikipedia/commons/b/b9/Athalia_Molokomme,_Attorney_General_for_Botswana_speaking_at_The_London_Conference_on_Cyberspace,_2_November_2011_(cropped).jpg",female,Q17513548,,
f7469ab5-25cb-4a91-bfcb-8904e29a6d14,Bagalatia Arone,Bagalatia Arone,barone@gov.bw,,,BDP,Q859825,okavango,Okavango,11,2014-10-29,,male,,,
ce1831ae-72b7-4f3a-b2e1-26232dd7f71d,Biggie Butale,Biggie Butale,,,,BDP,Q859825,tati_west,Tati West,11,2014-10-29,,male,,,
25989c87-1596-4ef6-9e2b-93bfad647faa,Botlogile Tshireletso,Botlogile Tshireletso,,,,BDP,Q859825,mahalapye_east,Mahalapye East,11,2014-10-29,,female,Q51552139,,
916434b4-69aa-446d-b3ee-89c0f4ee5710,Buti Billy,Buti Billy,,,,BDP,Q859825,francistown_east,Francistown East,11,2014-10-29,,male,,,
7e15645a-f5a6-4139-9f5c-b69ad74ba682,Christian de Graaff,Christian de Graaff,,,,BDP,Q859825,ghanzi_south,Ghanzi South,11,2014-10-29,,male,Q28434823,,
32dbf538-0bb9-47ed-9e50-f2e76c48f682,Dikgang Phillip Makgalemele,Dikgang Phillip Makgalemele,dmakgalemele@gov.bw,,,BDP,Q859825,shoshong,Shoshong,11,2014-10-29,,,,,
703650cc-c61b-4380-bb5b-a765fca752c0,Dithapelo Keorapetse,Dithapelo Keorapetse,,,,UDC,Q18347306,selibe_phikwe_west,Selibe Phikwe West,11,2014-10-29,,,,,
